,t,rollMed,perc25,perc75
0,-12.5,-0.799008604326275,-1.2728456390897556,0.19927414974853686
1,-12.0,-0.8618497508933558,-1.252124199418148,0.008087504662568412
2,-11.5,-0.8821456655448401,-1.2221487687332506,-0.127393395517312
3,-11.0,-0.9230141232618152,-1.2221487687332506,-0.30669353813008815
4,-10.5,-0.8750995252950857,-1.1595661059646138,-0.3741930224186638
5,-10.0,-0.8718719815466898,-1.1386414838987549,-0.4455359736864075
6,-9.5,-0.8471769312791366,-1.0719825716083413,-0.4568344071526438
7,-9.0,-0.8011043498109407,-1.0249172662722295,-0.4571487317054821
8,-8.5,-0.7406719295972571,-0.9321250572573971,-0.5058740759188347
9,-8.0,-0.6687482788716466,-0.8537214608719257,-0.45766165651487123
10,-7.5,-0.5969568876375086,-0.774249039600863,-0.4431609650639654
11,-7.0,-0.5275953584906574,-0.7041590691637021,-0.38486211731380937
12,-6.5,-0.4619926434829188,-0.6261786061463771,-0.3105585353587724
13,-6.0,-0.3961400999216238,-0.5288481559620535,-0.26229412024054355
14,-5.5,-0.3379720136296053,-0.46105441142217246,-0.22292756030182304
15,-5.0,-0.28029194991268014,-0.39577834565306347,-0.1833692446234581
16,-4.5,-0.22649425343323415,-0.3308266688592565,-0.14912361825782267
17,-4.0,-0.18043431276500232,-0.26553795163624727,-0.12106959178359489
18,-3.5,-0.1367617584043619,-0.22292756030182304,-0.08810659759961759
19,-3.0,-0.10313589627634505,-0.1740430752526581,-0.06039684664924422
20,-2.5,-0.0752783689022487,-0.12787801644787056,-0.039204185980087014
21,-2.0,-0.05208439880186333,-0.09047909538919763,-0.023061145469188193
22,-1.5,-0.031167189176505516,-0.060152061579969995,-0.008980680430285659
23,-1.0,-0.013866298563294244,-0.039185222146013665,-0.0018643001094915401
24,-0.5,-0.005493714571416453,-0.022910596249935224,-0.0007789967465661254
25,0.0,-0.005099982744214415,-0.013095176916334897,-0.0008189677285822192
26,0.5,-0.005138532491670844,-0.013173054523305971,-0.000838953219590266
27,1.0,-0.005952621803102298,-0.0225827762361151,-0.000851685671508895
28,1.5,-0.015548240581320205,-0.038915025174652756,-0.0029765270060788662
29,2.0,-0.029574373010769595,-0.05949698657760366,-0.010077526745001335
30,2.5,-0.0509257283252218,-0.08877862138126846,-0.02344236587119558
31,3.0,-0.07389843677112662,-0.11996132139414328,-0.03913549402095312
32,3.5,-0.10072622588726876,-0.1542867430544359,-0.05880522498233248
33,4.0,-0.13541716555143068,-0.19554480264494034,-0.08523399049223301
34,4.5,-0.17313449951869941,-0.24097418462470088,-0.11556130568232525
35,5.0,-0.21275050557104058,-0.2900657506027693,-0.1486759655362544
36,5.5,-0.2554685055287272,-0.33856448745835305,-0.1828664989709453
37,6.0,-0.29987055001417834,-0.38953264239153584,-0.22251166175268133
38,6.5,-0.3489632498822841,-0.4406350280094765,-0.26589029949710774
39,7.0,-0.4030643716985456,-0.5012289069496249,-0.30896468557830414
40,7.5,-0.45988679824319645,-0.5591990305949924,-0.3553802019048339
41,8.0,-0.5222458685994544,-0.6150664892824792,-0.4071879389496996
42,8.5,-0.5818638134277551,-0.6714502168579913,-0.4612377746762093
43,9.0,-0.6393964255649296,-0.7320148051683179,-0.5147885845465913
44,9.5,-0.6971664406739424,-0.8016413678732089,-0.5678796674599257
45,10.0,-0.7535010295549511,-0.8649414036636035,-0.6190216881032504
46,10.5,-0.8122781062100548,-0.9239555278945193,-0.6728932063269626
47,11.0,-0.8703135234498307,-0.9851950305242764,-0.7265274996445996
48,11.5,-0.9256606036079014,-1.0450577738844133,-0.7774154307076968
49,12.0,-0.9823968443141302,-1.1010568718282148,-0.836198389388787
50,12.5,-1.0385984393963679,-1.1564941436529046,-0.8963091045000235
51,13.0,-1.096470121483143,-1.209816346637457,-0.9567162875196853
52,13.5,-1.1496001534631808,-1.2643520809656397,-1.013181948837747
53,14.0,-1.2032882570199626,-1.3221167443648634,-1.060939615219628
54,14.5,-1.2550608815760793,-1.3814558559794614,-1.117621616242724
55,15.0,-1.3071858143051276,-1.430998208636761,-1.1705728163735887
56,15.5,-1.3533800584673281,-1.4923619035180575,-1.1987913906052161
57,16.0,-1.4054408219974022,-1.5362766823521792,-1.2500171996136378
58,16.5,-1.4552991664610495,-1.5848809404109672,-1.3017304508073646
59,17.0,-1.502305908558422,-1.633892310263498,-1.3551200339347025
60,17.5,-1.5512777429470528,-1.6774896106816044,-1.4067578321855505
61,18.0,-1.5947394972312443,-1.7161341783302253,-1.4611164394395755
62,18.5,-1.635902686683065,-1.754162953991368,-1.5115252304605926
63,19.0,-1.6771937819752418,-1.7930840485847535,-1.5596795339455323
64,19.5,-1.715100201641962,-1.8323466666607817,-1.5998462074744326
65,20.0,-1.7499485366577454,-1.8662182085798378,-1.6391861699041925
66,20.5,-1.7824382352517008,-1.9066724789800993,-1.6749077844510487
67,21.0,-1.8178499447644942,-1.9338727195940628,-1.7104100354063525
68,21.5,-1.8484034389301645,-1.959462677169543,-1.7445823037425834
69,22.0,-1.8783911968194633,-1.987378005183462,-1.7683543123362162
70,22.5,-1.9091322387779477,-2.0097912679949257,-1.7930500166463412
