,t,rollMed,perc25,perc75
0,-12.5,-0.4519868628650572,-0.5000074964964889,-0.40359950997467575
1,-12.0,-0.41888123284030987,-0.4685526347783513,-0.3688040297277829
2,-11.5,-0.37814329356265164,-0.4339303179817434,-0.3289732358182482
3,-11.0,-0.33919933007682457,-0.3959193144930215,-0.29354136300886563
4,-10.5,-0.2975119625134912,-0.35997759082684455,-0.2593742697426138
5,-10.0,-0.26543986519720486,-0.3246496347683776,-0.2148542763559798
6,-9.5,-0.23379034826991463,-0.2897935012795548,-0.1829380153720152
7,-9.0,-0.19876556822845481,-0.25362044914657383,-0.1581375624658536
8,-8.5,-0.18086824079044606,-0.2205424353714246,-0.1409903714091585
9,-8.0,-0.15688775485234197,-0.19529472986963659,-0.1225641144114673
10,-7.5,-0.13570164866649526,-0.18086824079044606,-0.10926872694879197
11,-7.0,-0.11642598874595167,-0.15719683194065526,-0.09461110068974132
12,-6.5,-0.09805159064352842,-0.13516489117411157,-0.07761649550023442
13,-6.0,-0.08367698813572588,-0.11482170285424476,-0.0642293396462123
14,-5.5,-0.0680551882554209,-0.09619648215557108,-0.051951679974308496
15,-5.0,-0.05450536517189386,-0.07930231429102241,-0.040142270883971876
16,-4.5,-0.04354371412474922,-0.06413785974002334,-0.02995945667948624
17,-4.0,-0.03382435835792652,-0.05068900792913239,-0.02158582620629379
18,-3.5,-0.024609258154828062,-0.038930464216559935,-0.0150901228623459
19,-3.0,-0.016908341585380793,-0.029204151553511692,-0.009248244503077985
20,-2.5,-0.011014465061737866,-0.021194568296573124,-0.004869006812358245
21,-2.0,-0.0064333112807895,-0.014757636772878668,-0.0019135810895088978
22,-1.5,-0.0030896940036968523,-0.008936717983215714,-0.0003138751548386609
23,-1.0,-0.0010234438253569067,-0.004617943840867722,-0.0002746999061855604
24,-0.5,-0.0010234438253569067,-0.003073066576465111,-0.0002746999061855604
25,0.0,-0.0010234438253569067,-0.003073066576465111,-0.0002746999061855604
