,t,rollMed,perc25,perc75
0,-15.0,-0.8675561719570735,-0.9927461623469764,-0.6282761484739732
1,-14.5,-0.8554715158060997,-0.9533469783996718,-0.611728389579712
2,-14.0,-0.8365752413508023,-0.9249775140457182,-0.582126707074484
3,-13.5,-0.8197011811181225,-0.8885384530630602,-0.5501278811287316
4,-13.0,-0.764858762918296,-0.8531427833070819,-0.5537095108113315
5,-12.5,-0.6996129313272377,-0.8199521452908637,-0.5118187723931262
6,-12.0,-0.6346047119236662,-0.7621831212600148,-0.4727235090525239
7,-11.5,-0.5741109424244368,-0.7026318955482562,-0.4505616579714298
8,-11.0,-0.5313427855493131,-0.6494601115694234,-0.4305941736959724
9,-10.5,-0.4849197923740334,-0.599260241223032,-0.4022389812183247
10,-10.0,-0.4391177913649389,-0.5512184298722881,-0.3762657018895328
11,-9.5,-0.40264609779137883,-0.5045068547373401,-0.34398438334538395
12,-9.0,-0.368464729029796,-0.4537407349828806,-0.31345485922196303
13,-8.5,-0.3423996716627835,-0.40773344994949523,-0.2744248919813028
14,-8.0,-0.3025736736263076,-0.3655887877779306,-0.23756316685340018
15,-7.5,-0.264777177131271,-0.3291573630197604,-0.20349836005712296
16,-7.0,-0.2328584928210451,-0.2897877063558807,-0.1732844824767712
17,-6.5,-0.2010706785414751,-0.25719789324503367,-0.14617404744230145
18,-6.0,-0.17157096366290414,-0.22120508191759558,-0.12234614541283095
19,-5.5,-0.14363032086529914,-0.1882903999335711,-0.10029737345456091
20,-5.0,-0.11728612082397216,-0.15840808571851628,-0.07663166455115977
21,-4.5,-0.09330266015491584,-0.1252593667777302,-0.0575924471943976
22,-4.0,-0.07185432192462038,-0.10148835537588363,-0.042143571894478704
23,-3.5,-0.05272522341855779,-0.08180654118040076,-0.029156733399162915
24,-3.0,-0.037275559987059115,-0.060991483733912055,-0.018568869893235584
25,-2.5,-0.026176622670203153,-0.04556108295655559,-0.010511803227864158
26,-2.0,-0.01593971340171141,-0.030230915242646095,-0.004622239926261207
27,-1.5,-0.00851421929230245,-0.01774975766617537,-0.0009933118102645189
28,-1.0,-0.003389628457546756,-0.010279971814298738,-0.000684568515509909
29,-0.5,-0.0022602131967197625,-0.005611970405566491,-0.000684568515509909
30,0.0,-0.0022602131967197625,-0.004952157483500308,-0.000684568515509909
31,0.5,-0.0022602131967197625,-0.009252517649188219,-0.000684568515509909
32,1.0,-0.005906116462330413,-0.016163052020633284,-0.0010000562382687095
33,1.5,-0.010982977386222004,-0.024038494223794116,-0.004088330357361114
34,2.0,-0.018532439665543077,-0.035024427381203704,-0.009608226442993084
35,2.5,-0.030165640153321682,-0.04910216395350786,-0.016390791592506115
36,3.0,-0.03974801938202743,-0.06411172820375,-0.024098286055207696
37,3.5,-0.0504583520500097,-0.07928365385458536,-0.03314231502690079
