,t,rollMed,perc25,perc75
0,-8.5,-0.20273040875510073,-0.2535771660737101,-0.17278012181725622
1,-8.0,-0.18300015565279582,-0.2268732721314488,-0.15554507630775993
2,-7.5,-0.15939562001073565,-0.20103827317740058,-0.1359249003173118
3,-7.0,-0.13985899720870076,-0.1713291136302098,-0.11608794814545659
4,-6.5,-0.12288264310727293,-0.14986966950091984,-0.09833249338445386
5,-6.0,-0.11021444762590704,-0.13487807862124157,-0.08227970350730285
6,-5.5,-0.09525609518667588,-0.11718273626501521,-0.07087311399019214
7,-5.0,-0.07692881798943851,-0.09801547172870564,-0.05703784499339237
8,-4.5,-0.06349612105850275,-0.085347758073824,-0.044710484072443935
9,-4.0,-0.0494830169649072,-0.07087311399019214,-0.033459490515544046
10,-3.5,-0.03769918673417441,-0.05697447934131383,-0.0235205581294477
11,-3.0,-0.027229180053406132,-0.04220032008250896,-0.015379278415172226
12,-2.5,-0.018017027244265904,-0.030502188510768233,-0.008644504681634343
13,-2.0,-0.010989708142995713,-0.02128069778981173,-0.0035602857023351586
14,-1.5,-0.004660776935203614,-0.012967975934251141,-0.0009763379471942613
15,-1.0,-0.0025286463759681688,-0.008644504681634343,-0.0004398937104540396
16,-0.5,-0.0016848969562541782,-0.005052019252202555,-0.0004443328856237605
17,0.0,-0.001951847770896048,-0.004860376123508953,-0.0004487720607934814
18,0.5,-0.0022187985855379178,-0.00956458270544866,-0.00045321123596320234
19,1.0,-0.005569354274426619,-0.01493530659931272,-0.0007515572806060522
20,1.5,-0.012976531550951353,-0.023555511778503346,-0.004860376123508953
21,2.0,-0.020249646430049617,-0.03233114174749996,-0.0092211301422696
22,2.5,-0.028762572300889896,-0.04522551228265692,-0.014821108970843794
23,3.0,-0.03800065890275919,-0.06037627283814628,-0.02152681196997111
24,3.5,-0.04762469565278832,-0.07616562082478284,-0.029153327676838543
25,4.0,-0.058086734088619904,-0.09261767705554702,-0.03879833100806129
26,4.5,-0.06931785053398834,-0.10988093564632306,-0.04938808189219701
27,5.0,-0.08230780164350149,-0.12759971256426117,-0.06096642521237139
28,5.5,-0.09721299993015098,-0.1457017377993597,-0.07291567990769016
29,6.0,-0.11394160479581172,-0.16411684490838307,-0.08516332993763534
30,6.5,-0.1306494210777737,-0.18277726566302743,-0.09840693087600538
31,7.0,-0.1467748314872606,-0.20161787682597376,-0.11376208839601915
32,7.5,-0.16353028731224903,-0.2205764023937259,-0.1299791873307115
33,8.0,-0.1795402925188284,-0.23959357466998443,-0.14655008018808707
34,8.5,-0.1958963778294187,-0.2586132575125828,-0.16229629412268826
35,9.0,-0.21425706461661465,-0.2782523741658278,-0.17785041229234233
36,9.5,-0.23289739909048235,-0.2991498587458866,-0.19333285520895502
37,10.0,-0.25259742968880294,-0.32085774407269196,-0.20908416698458168
38,10.5,-0.2745180149072737,-0.34319623860619675,-0.22773796232177368
39,11.0,-0.29674698128867827,-0.3636421027131782,-0.24711007647212724
40,11.5,-0.3192193562472958,-0.385007896213172,-0.2648550219177044
41,12.0,-0.3418736978755452,-0.4067460209135769,-0.2818160368955701
42,12.5,-0.36465212782319156,-0.42327848532386503,-0.29836617561280093
43,13.0,-0.3875003375858106,-0.43996941517107235,-0.3149777062996571
44,13.5,-0.4103675712424444,-0.4579882639682983,-0.3316337664233898
45,14.0,-0.4332065874865838,-0.48068292735082674,-0.3483198319607189
46,14.5,-0.454653258504673,-0.4956706799650389,-0.36502354677521015
47,15.0,-0.4721363854615732,-0.5141357343329448,-0.381734553264949
48,15.5,-0.4721363854615732,-0.5279349531645714,-0.3984443255861048
49,16.0,-0.4829986152983321,-0.5366286823586854,-0.41142984615490974
50,16.5,-0.5012517376556882,-0.5617193462699026,-0.42748788206111415
51,17.0,-0.5079377964121279,-0.5871045197610532,-0.44399477855614145
52,17.5,-0.5251614051804879,-0.6118593865836441,-0.4607974924929155
53,18.0,-0.5309159009488509,-0.6342252411786937,-0.47705438584259596
54,18.5,-0.563249424751441,-0.6570627128673803,-0.4896616732913822
55,19.0,-0.5836821734928317,-0.6756021195413333,-0.5062382841627148
56,19.5,-0.6039851053140506,-0.6956081670372892,-0.5227938224664344
57,20.0,-0.6241401714341342,-0.7162209373978792,-0.5393292456087317
58,20.5,-0.6416770222560507,-0.7364447219230394,-0.5558460247205032
59,21.0,-0.6616807922155419,-0.756263672916894,-0.5723460456538807
60,21.5,-0.6801144516291882,-0.7751807443366162,-0.5888315172643407
61,22.0,-0.6977606214908683,-0.7924601607696591,-0.6053048868523414
62,22.5,-0.7152773169582654,-0.8094516318481099,-0.6217687625982029
63,23.0,-0.7326713279273479,-0.8261626757587384,-0.6382258427907421
64,23.5,-0.7499500697597322,-0.8426015911616475,-0.6546788516226022
65,24.0,-0.7671214756289675,-0.8587773455445814,-0.6711327263696604
66,24.5,-0.7841938955232025,-0.8745548665353078,-0.688343948238493
67,25.0,-0.8011760018282966,-0.8903719018933194,-0.7055694936761692
68,25.5,-0.8180767013824454,-0.9065325035353801,-0.7228115533491295
69,26.0,-0.8349050538646708,-0.9222266535455476,-0.7400722842160632
70,26.5,-0.8516701963557747,-0.9374530924543455,-0.7573537733143675
71,27.0,-0.8683812738904291,-0.952211570185286,-0.7746580053133916
72,27.5,-0.8850473758031429,-0.9664360820538843,-0.7919868336497362
73,28.0,-0.9016774776577946,-0.9799290168036948,-0.8093419550587202
74,28.5,-0.9182803885408358,-0.9942031807400473,-0.8267248873164286
75,29.0,-0.9348647034907714,-1.008320608759328,-0.8441042902973479
76,29.5,-0.9514387608318774,-1.0222920377157219,-0.8602446545177598
77,30.0,-0.9680106041770343,-1.035053508220255,-0.8768173732974934
78,30.5,-0.9830699246921777,-1.046132527083072,-0.8934026670195403
79,31.0,-0.9969764909065338,-1.0555795725498216,-0.9099993367368879
80,31.5,-1.0106071285226388,-1.0643835677496774,-0.9243858349260671
81,32.0,-1.0229097486386536,-1.069169663172411,-0.9397343255399562
82,32.5,-1.0345162601956062,-1.0818993150538248,-0.9560799050167119
83,33.0,-1.04572716142098,-1.0857226052293387,-0.9709326152607227
84,33.5,-1.0575310137339278,-1.0965899299395676,-0.9848016046362839
85,34.0,-1.068368523995007,-1.1098714658694133,-0.9973451625958603
86,34.5,-1.0818993150538248,-1.1277523108053407,-1.0106071285226388
87,35.0,-1.089918791210542,-1.146873201459268,-1.0280222913090769
88,35.5,-1.0997193353697363,-1.1705483288814902,-1.0429346249054845
89,36.0,-1.1208021619651187,-1.1902662200150598,-1.0575310137339278
90,36.5,-1.1381159396050289,-1.2080460885977102,-1.071508889777868
91,37.0,-1.1578385883932223,-1.2272528176145125,-1.0866731529008495
92,37.5,-1.1754370530747162,-1.2478074234268406,-1.1030831749988486
