,t,rollMed,perc25,perc75
0,-15.0,-1.0067213890081632,-1.198938305767932,-0.8790570016389205
1,-14.5,-1.0067213890081632,-1.1494228492456235,-0.8261276377960778
2,-14.0,-0.9703080925469623,-1.0875248443105576,-0.7705521563959365
3,-13.5,-0.9454671978760771,-1.058426920119481,-0.7136941690882299
4,-13.0,-0.8845084199124007,-1.013234228442716,-0.628909218535438
5,-12.5,-0.8396721554356223,-0.9959276403326811,-0.6142178948387182
6,-12.0,-0.7777762971605977,-0.9434202106936063,-0.5696810469062861
7,-11.5,-0.7230186969135204,-0.8899598381858809,-0.5454998676673428
8,-11.0,-0.6686989772217773,-0.8479516955506341,-0.521297210833614
9,-10.5,-0.6316935177264966,-0.8121899349247261,-0.48368526469631945
10,-10.0,-0.5767500845911009,-0.7452893699860392,-0.44496458130704863
11,-9.5,-0.5231436042766688,-0.6791074590082133,-0.42404892774818315
12,-9.0,-0.4702086624581021,-0.6304647029884878,-0.3895750560236484
13,-8.5,-0.42507739577731907,-0.5492361036035112,-0.35322192486088355
14,-8.0,-0.38830864884370797,-0.491786009985103,-0.31632568714491205
15,-7.5,-0.34735080136582663,-0.42777344579046883,-0.27643017849674667
16,-7.0,-0.30088333324307825,-0.38071616672489417,-0.236912073347468
17,-6.5,-0.2595258281760664,-0.3365303807908784,-0.2002038299348039
18,-6.0,-0.22144430226850598,-0.2861210679969455,-0.1648491199126323
19,-5.5,-0.18491308421456676,-0.2423720890345763,-0.13368863562256683
20,-5.0,-0.15467434410876146,-0.20445672656193659,-0.10479027436622912
21,-4.5,-0.12127083321152021,-0.16642278401531163,-0.08183436626890783
22,-4.0,-0.09553189620688762,-0.1345075335577688,-0.06201068036834312
23,-3.5,-0.07107135080405236,-0.10611637196305967,-0.04541126845443255
24,-3.0,-0.04980650503313999,-0.08063020399955656,-0.02748593096818297
25,-2.5,-0.03311001039295469,-0.06055883708579457,-0.015467025800760537
26,-2.0,-0.021550064073892372,-0.04518889695827344,-0.0076800192991628435
27,-1.5,-0.011434551132699422,-0.026808909631782285,-0.002488106323156103
28,-1.0,-0.005211508562640077,-0.015063946461355338,-0.0009873167814709038
29,-0.5,-0.0031769980304385825,-0.009426409291529936,-0.0007237645176969565
30,0.0,-0.003020205105210394,-0.006809456419315962,-0.0007237645176969565
31,0.5,-0.003020205105210394,-0.008946564871714191,-0.0007237645176969565
32,1.0,-0.00460638247868661,-0.015007658985703998,-0.0009292358223591535
33,1.5,-0.011423090640635403,-0.02571475670279688,-0.0034188156412828796
34,2.0,-0.019928846872180994,-0.03673334598773703,-0.008577843123640072
35,2.5,-0.029601163084620907,-0.05100163149761716,-0.015643798655989194
36,3.0,-0.04437901276105727,-0.06759974829576265,-0.02402033290600869
37,3.5,-0.06056600159443626,-0.08798052938887868,-0.03425072321380629
38,4.0,-0.07639681368178053,-0.10878644829020034,-0.045988918844286575
39,4.5,-0.09153570687142976,-0.12936836718478517,-0.06107476925664734
40,5.0,-0.10900161459987867,-0.15922210979071139,-0.07649822110539262
41,5.5,-0.13005277535044435,-0.18873544470220072,-0.09171640916599055
42,6.0,-0.15168324317026283,-0.21621193928071936,-0.10811136352880357
43,6.5,-0.174291967900011,-0.24223969940735124,-0.12537592376117646
44,7.0,-0.19773294869850488,-0.2689263499227108,-0.1445543924078343
45,7.5,-0.22133698452116546,-0.29621993613883246,-0.16696898369003543
46,8.0,-0.245483070311588,-0.3240145279394029,-0.19114071601861848
47,8.5,-0.2732692611123906,-0.35221044019174164,-0.21620873346392244
48,9.0,-0.3016240901061401,-0.3807143728509659,-0.23813076961257318
49,9.5,-0.32761634050347554,-0.4094394761347573,-0.2601352648141042
50,10.0,-0.3507578482214617,-0.43830534923519116,-0.28233193981077753
51,10.5,-0.37606743207006943,-0.4685025381376007,-0.3046380170478298
52,11.0,-0.40284174825924524,-0.49922640677209973,-0.3263457232918834
53,11.5,-0.4318349643977353,-0.5290686234376438,-0.3476750124010759
54,12.0,-0.4608456719970153,-0.5578629816662346,-0.3689982439391568
55,12.5,-0.48979513993033486,-0.5863032177221426,-0.39027178742509894
56,13.0,-0.5186412178363051,-0.6143455498384607,-0.4116932206811428
57,13.5,-0.5481218417384552,-0.6419530046752921,-0.43357960078851243
58,14.0,-0.5774308684633687,-0.6691048670157587,-0.4553754310360054
59,14.5,-0.6101398773788205,-0.6982528266577788,-0.47902802306717307
60,15.0,-0.6391747360423476,-0.7255479442651476,-0.5034798023973712
61,15.5,-0.6638073839195531,-0.7704551738832853,-0.5370872426878339
62,16.0,-0.6931602268800994,-0.795989287232838,-0.5615286191730138
63,16.5,-0.7206617989161046,-0.819337683254691,-0.5869605756843213
64,17.0,-0.7493065203270675,-0.8428933461213433,-0.6073038295307294
65,17.5,-0.7752396475115564,-0.867450086919892,-0.6284210870225009
66,18.0,-0.800353800420267,-0.8898057756150015,-0.6473052591522557
67,18.5,-0.8263115525409415,-0.9116256904126137,-0.6662213438141049
68,19.0,-0.851782611569706,-0.9316016834085943,-0.6847579606799759
69,19.5,-0.8767584258512129,-0.9535621280056406,-0.7029430107938448
70,20.0,-0.9000172253242327,-0.9755364382589389,-0.7189217158041104
71,20.5,-0.9116545663273383,-1.0008498931705363,-0.7410658624362807
72,21.0,-0.9322594193683784,-1.0213952757063458,-0.756922844662409
73,21.5,-0.9540728039542774,-1.0393271411988811,-0.7721586393382383
74,22.0,-0.9757433571336316,-1.0557579167990152,-0.7863291296353051
75,22.5,-0.9945252585448543,-1.073546706319604,-0.8001943605832121
76,23.0,-1.0131539396664695,-1.0897526089735425,-0.8137629070868417
77,23.5,-1.0312956773977473,-1.1094280464597523,-0.8285312905379207
78,24.0,-1.0487719928171586,-1.1275387719137118,-0.8416775125684395
79,24.5,-1.067347911068314,-1.1413859851352868,-0.8528452154294968
80,25.0,-1.0802627512383864,-1.1524574136370331,-0.8652501004449837
81,25.5,-1.0931356999702206,-1.1639511246852878,-0.8771388154017831
82,26.0,-1.110758069962822,-1.1766186316864362,-0.8894233753716787
83,26.5,-1.1249070960874406,-1.1906900381613132,-0.9017376977225058
84,27.0,-1.1396043410423076,-1.2017162336064116,-0.9127250594518077
85,27.5,-1.143657203870473,-1.2144532955661658,-0.9291670567067729
86,28.0,-1.1584103698751624,-1.2282780330604721,-0.9397160970280646
87,28.5,-1.1736053599708307,-1.2386247494068827,-0.9488381271283781
88,29.0,-1.186809313333228,-1.2507739109552105,-0.957116956072865
89,29.5,-1.1964956983675803,-1.2647938096245304,-0.9684861940032807
90,30.0,-1.209943887306582,-1.2775670332152107,-0.9801100494282147
91,30.5,-1.2219794914092859,-1.2890053440534868,-0.991643519503004
92,31.0,-1.2330904276296906,-1.3046090529150922,-1.0029410540537067
93,31.5,-1.2440878547378347,-1.3171608288051868,-1.0140140201834198
94,32.0,-1.2549858544429071,-1.3294085808226173,-1.024694547392732
95,32.5,-1.2670506397073682,-1.3415935918148771,-1.0342509428232232
96,33.0,-1.2774942786728332,-1.3526372303945688,-1.043696376734696
97,33.5,-1.287208047050008,-1.3621530480565385,-1.0530390792756978
98,34.0,-1.2965390496723472,-1.3727887079184846,-1.0611781146622423
99,34.5,-1.3065878420922523,-1.3780206178239995,-1.0689683136549135
100,35.0,-1.3172041884103152,-1.3866455976053662,-1.077378335470363
101,35.5,-1.3183859892016763,-1.39904434746322,-1.0875641864474872
