,t,rollMed,perc25,perc75
0,-11.5,0.5643184857793533,-0.2320696031550824,0.811956740781218
1,-11.0,0.23856884828742764,-0.3531081914784693,0.6596674525640801
2,-10.5,-0.04045469720670436,-0.5208820753061332,0.562735924060574
3,-10.0,-0.15834768111890618,-0.6385371946826126,0.47185247776592876
4,-9.5,-0.2405676171815534,-0.7789281614676622,0.3987160032717628
5,-9.0,-0.5507706400491656,-0.8021713528170814,0.35378257366017296
6,-8.5,-0.6153692234621477,-0.8095897715476438,0.29867878047368146
7,-8.0,-0.6248333454038857,-0.798324232024233,0.2576709582492308
8,-7.5,-0.5938884147890349,-0.7547316367125898,0.2300744245754216
9,-7.0,-0.5480441395663149,-0.6844977599195635,0.10479193135983189
10,-6.5,-0.4840220061396693,-0.6441378966392698,-0.10173177377199227
11,-6.0,-0.416365984887183,-0.5910791959449923,-0.17652252373695573
12,-5.5,-0.3446641819694054,-0.5086276291089884,-0.1480969185277202
13,-5.0,-0.27675724468553664,-0.43778076198127935,-0.1225719453468759
14,-4.5,-0.2208983365665781,-0.35868569678959084,-0.0988442721951781
15,-4.0,-0.17502803987490984,-0.29824638631369593,-0.07825999983711672
16,-3.5,-0.1248169512394881,-0.23209490427579627,-0.04964656205525596
17,-3.0,-0.08648410998275655,-0.1680637815786655,-0.02648018576619822
18,-2.5,-0.051697746624663865,-0.11855230641346681,-0.017578810273980894
19,-2.0,-0.029028470176919702,-0.07891177840596242,-0.00805275121808506
20,-1.5,-0.015856319000477015,-0.04940446830038542,-0.0019094306680979
21,-1.0,-0.006527973189105474,-0.02831081763843392,0.0
22,-0.5,-0.00393079647980199,-0.017792954717973097,0.0
23,0.0,-0.004768465470433247,-0.014504097872971355,-8.127903350452215e-05
24,0.5,-0.005722038264707685,-0.018068949414774188,-0.0008174952029410543
25,1.0,-0.009325093375434967,-0.03258061690225539,-0.0010968782986018333
26,1.5,-0.022596215010378534,-0.0571540024426862,-0.0039600899204326745
27,2.0,-0.03915591485181347,-0.09280963337150286,-0.013523515998945301
28,2.5,-0.06338666429057843,-0.12724555741659074,-0.02829962627748328
29,3.0,-0.09475298764953677,-0.1675472550137966,-0.04688269332431161
30,3.5,-0.12894035272295423,-0.21546580597171117,-0.0691001296882121
31,4.0,-0.1675479517900511,-0.26664279150543,-0.09937969821184461
32,4.5,-0.2150840306739945,-0.3201389426838872,-0.12908226923792687
33,5.0,-0.2601675459480495,-0.37564946240937847,-0.16285590096060404
34,5.5,-0.3106448509763471,-0.43755527516271275,-0.19723827918793435
35,6.0,-0.3675532284561698,-0.5070898572204421,-0.23612376314948874
36,6.5,-0.42460349955519305,-0.5820074177853833,-0.2698731421845301
37,7.0,-0.4750692371953399,-0.6654093583079153,-0.3089795517837245
38,7.5,-0.5282155771937035,-0.747765612492047,-0.34840814202806114
39,8.0,-0.5864755170897689,-0.831412722660596,-0.3968178806237447
40,8.5,-0.6661126018978756,-0.9115888609795157,-0.4388991477229198
41,9.0,-0.7482419079663158,-0.9897084364898004,-0.4726268334904642
42,9.5,-0.8264109960326944,-1.0698684557060285,-0.5057035155360461
43,10.0,-0.89594934884631,-1.145264762330786,-0.5379766468166897
44,10.5,-0.9621914657035646,-1.2193329847698946,-0.5718110915642678
45,11.0,-1.0281369464218713,-1.2891736498080637,-0.6083554528257713
46,11.5,-1.0942988668859224,-1.3572931403460442,-0.6389998333374182
47,12.0,-1.1735819908867593,-1.440214268573626,-0.65978640558063
48,12.5,-1.2355851186431304,-1.5216485599530631,-0.6890585949536536
49,13.0,-1.3270209763151337,-1.6042276412999885,-0.7209689061203994
50,13.5,-1.4137573195932305,-1.7007966605367812,-0.7548970284005918
51,14.0,-1.522814824130049,-1.789668221179709,-0.7770827443852917
52,14.5,-1.6234149842701422,-1.914140438466405,-1.3174388178569219
53,15.0,-1.716499096972604,-2.0226521058172713,-1.456997007296819
54,15.5,-1.794664659514869,-2.146494268603052,-1.5287439149554383
55,16.0,-1.8637814375733628,-2.2272405178523873,-1.6225583631216618
56,16.5,-1.9532088876536795,-2.3226124455981134,-1.7248339878240615
57,17.0,-2.021418572571328,-2.3979373076495865,-1.8051461013517458
58,17.5,-2.1066378341141316,-2.471250536829933,-1.8862935308465536
59,18.0,-2.1637776660325354,-2.534632300915275,-1.9524304199038185
60,18.5,-2.227713389908722,-2.590660394298712,-2.013051919356057
61,19.0,-2.3127072644072464,-2.63765997979309,-2.0654338182892147
62,19.5,-2.381153698985443,-2.6741792211447546,-2.108787411971904
63,20.0,-2.4394581521334757,-2.7125562188914785,-2.1612312544260432
64,20.5,-2.470173809288441,-2.7429334693712883,-2.2036568579470908
65,21.0,-2.5166468633215953,-2.7582260319594525,-2.243738673079009
66,21.5,-2.5660584021667354,-2.772574938411365,-2.281476006470185
67,22.0,-2.607115737356647,-2.774237647494516,-2.3168754408004864
68,22.5,-2.643983780972741,-2.7781161813150845,-2.3499502313011646
69,23.0,-2.676283300740842,-2.780434047080931,-2.380719724998638
70,23.5,-2.707219008778866,-2.809934878485806,-2.4070410093786867
71,24.0,-2.7333003849725372,-2.841969400841178,-2.4309472805105723
72,24.5,-2.7369360181203177,-2.8713807126186115,-2.4530214500849232
73,25.0,-2.7392616485822225,-2.8969102292268287,-2.472981405024287
74,25.5,-2.7429790778238123,-2.9191762704189728,-2.4908713894696524
75,26.0,-2.7498499581947007,-2.9387995475480855,-2.5087412741872894
76,26.5,-2.7498499581947007,-2.955297450486121,-2.5253828210738853
77,27.0,-2.7498499581947007,-2.969583119867342,-2.5355148264043224
78,27.5,-2.7498499581947007,-2.984661022287965,-2.5445083372291912
79,28.0,-2.7498499581947007,-2.985774447222849,-2.5528827537891767
80,28.5,-2.7520187754230623,-2.987440895065486,-2.555077188408896
81,29.0,-2.75334348409912,-2.990586404741164,-2.555795315959813
82,29.5,-2.7568367218319576,-2.9920736878498397,-2.556303298791814
83,30.0,-2.7638988638000406,-2.9940218697325935,-2.5573454853823425
84,30.5,-2.7682321510223993,-2.9946164971374696,-2.5663267978916835
85,31.0,-2.7734495056298343,-2.996768898487118,-2.573876917269674
86,31.5,-2.7734495056298343,-3.0001632531131257,-2.568469075540927
87,32.0,-2.7734495056298343,-3.0020285186662172,-2.5613349983525104
88,32.5,-2.7734495056298343,-2.9973184239190394,-2.556303298791814
89,33.0,-2.7734495056298343,-2.990737875729612,-2.5549095668234614
90,33.5,-2.770986953369345,-2.975134523265199,-2.5508709519750505
91,34.0,-2.7696908660932813,-2.9569702736738197,-2.5415905357085404
