,t,rollMed,perc25,perc75
0,-15.0,-0.9023379940995397,-1.5437848561118912,0.06424939583293465
1,-14.5,-0.9321827162810621,-1.4555000656029726,-0.0018534358808874885
2,-14.0,-0.9985489392236246,-1.3820210288419261,-0.1047009726752357
3,-13.5,-1.0674947039236855,-1.3390301824588553,-0.3239823339672899
4,-13.0,-1.0137975791596574,-1.2901917154205975,-0.47141083095359027
5,-12.5,-1.0010788625688365,-1.2176751377273263,-0.5150139048597324
6,-12.0,-0.9678353116232117,-1.143612564252634,-0.543317727260934
7,-11.5,-0.9128799741087192,-1.0866946442998353,-0.5540094844348
8,-11.0,-0.8515359435855956,-1.0137975791596574,-0.5564079661527508
9,-10.5,-0.7849674480164133,-0.9624490086180977,-0.5540094844348
10,-10.0,-0.6999900376985697,-0.8676676954565803,-0.5045278760892629
11,-9.5,-0.6212218148907169,-0.7991568587053806,-0.43576587053117066
12,-9.0,-0.5565319022397475,-0.732548856463465,-0.3840483843687337
13,-8.5,-0.5020624858681799,-0.6635753165765799,-0.37800251274506724
14,-8.0,-0.4467363119248553,-0.6041665959709288,-0.3570071544263692
15,-7.5,-0.4034641020152785,-0.5534163699478304,-0.32507062407586695
16,-7.0,-0.36741452936772845,-0.5017118575567938,-0.28581224113644144
17,-6.5,-0.3268676073474417,-0.43911206277687675,-0.24909613011661946
18,-6.0,-0.28242020271720597,-0.3774206823347163,-0.21417655542006564
19,-5.5,-0.24274916535993052,-0.3207085793604234,-0.18030591521449518
20,-5.0,-0.19611377064764923,-0.2762332703503625,-0.15067800161046754
21,-4.5,-0.16558137504943993,-0.23038623243547307,-0.11750335366262965
22,-4.0,-0.13393652467502637,-0.19007296181064381,-0.09140908410967852
23,-3.5,-0.10206316736150889,-0.1529845712271296,-0.06634930627558155
24,-3.0,-0.07446474577761375,-0.12039782194767401,-0.04592432096152921
25,-2.5,-0.05279360060999494,-0.09159075039435066,-0.02897101750807124
26,-2.0,-0.03332572947935741,-0.06636086127385621,-0.01427882059793717
27,-1.5,-0.019239472919365785,-0.04649722799475109,-0.005864834210036474
