,t,rollMed,perc25,perc75
0,-12.5,-1.06730202471622,-1.3010079124209684,-0.5504328169014086
1,-12.0,-1.0698632546172488,-1.2950476031051654,-0.8919440051509904
2,-11.5,-1.057585697940599,-1.2771666751577566,-0.8773324510580061
3,-11.0,-1.0017222383245077,-1.218864865733492,-0.8177383388185924
4,-10.5,-0.9492854181368098,-1.1906539824353521,-0.7710170354722718
5,-10.0,-0.889982256003667,-1.1731000887885823,-0.734671937224387
6,-9.5,-0.816054599395269,-1.067697128943575,-0.6710718064476497
7,-9.0,-0.7527644791396352,-0.9671134804250288,-0.5982503285540848
8,-8.5,-0.6865019396379051,-0.8714616686046011,-0.5271871530583692
9,-8.0,-0.6158977321510055,-0.7807999854609786,-0.4700548497804019
10,-7.5,-0.5504491174676787,-0.6934818954002017,-0.4054864431792671
11,-7.0,-0.4752194877236169,-0.6301980191233287,-0.3739929696218248
12,-6.5,-0.4054864431792671,-0.5504491174676787,-0.3301966505952798
13,-6.0,-0.38510348589377696,-0.47932647068209977,-0.2808737553987656
14,-5.5,-0.3301966505952798,-0.4054864431792671,-0.23112162573869044
15,-5.0,-0.27824014174184575,-0.36146726974701987,-0.18654701133639467
16,-4.5,-0.2198775988752102,-0.317836922732738,-0.1495042885315127
17,-4.0,-0.17245618152665898,-0.2533439030207827,-0.11549985313114675
18,-3.5,-0.13676089677411518,-0.19930074552668842,-0.08359808635139954
19,-3.0,-0.10128318869171338,-0.1541283488789471,-0.05803734853485365
20,-2.5,-0.06983683080468772,-0.11549985313114675,-0.038471946525586165
21,-2.0,-0.042652018547425286,-0.08359808635139954,-0.020809610003858836
22,-1.5,-0.02543050406686298,-0.0579238968871989,-0.00904343792583484
23,-1.0,-0.012889370233468256,-0.03926582216779284,-0.002895687110342493
24,-0.5,-0.006452397976254964,-0.021136891050338752,-0.0010671906432071498
25,0.0,-0.006434493381031636,-0.010543041718324764,-0.0010671906432071498
26,0.5,-0.006457265156091907,-0.011340476988958903,-0.0010671906432071498
27,1.0,-0.0066343351035889064,-0.018894672365810994,-0.0012632476839802287
28,1.5,-0.016387946218570093,-0.03478138818307275,-0.0019263474371409295
29,2.0,-0.03061515016809435,-0.053382357804943714,-0.008141088600111868
30,2.5,-0.04711293933192373,-0.07781823240865582,-0.01916904198639502
31,3.0,-0.06683959834693709,-0.10434532782855177,-0.03572003883400465
32,3.5,-0.09034344531920235,-0.13142847794875623,-0.053991558178820176
33,4.0,-0.11973721189076691,-0.15948832336094942,-0.07906384896570051
34,4.5,-0.1521348185820779,-0.19666338582201703,-0.10701876772275698
35,5.0,-0.18403781124325747,-0.23903699622536845,-0.1342886446173086
36,5.5,-0.21836516306267884,-0.28072304071342447,-0.16252361473845034
37,6.0,-0.25434949629810966,-0.3211994820660803,-0.19996195513470827
38,6.5,-0.2930270145956495,-0.3630170082932642,-0.2413843719075559
39,7.0,-0.33505998625865185,-0.4070757728435292,-0.2821806118724224
40,7.5,-0.3797193038725677,-0.4499279781211915,-0.3247941475182462
41,8.0,-0.42817259017348874,-0.49369481019803607,-0.36468180420357016
42,8.5,-0.47396889445981283,-0.5407581017463932,-0.40519851917505495
43,9.0,-0.5171392234451648,-0.5924023687286027,-0.4436218959819015
44,9.5,-0.5655785879044872,-0.6458061776814501,-0.4819228197677383
45,10.0,-0.6146666201813842,-0.6949415479064331,-0.5268273105645336
46,10.5,-0.6638704166196305,-0.7441199495834345,-0.571932301653062
47,11.0,-0.7116687070831857,-0.7936749972847161,-0.6165532375748983
48,11.5,-0.7602351435798775,-0.8439617527415983,-0.6660779102728434
49,12.0,-0.8071021018033666,-0.8936000040782872,-0.7109515795022288
50,12.5,-0.8543382426167887,-0.9411862427509647,-0.7590283202789943
51,13.0,-0.9011542110607085,-0.9875507398050636,-0.8067011518361786
52,13.5,-0.9474417574310552,-1.034453132604429,-0.8529200680778826
53,14.0,-0.9919659081888534,-1.0809771315766237,-0.8985217408505757
54,14.5,-1.0373695004963897,-1.128732040846241,-0.9434529069183233
55,15.0,-1.0822014114536511,-1.1736447899022693,-0.9876207959394838
56,15.5,-1.1292052281432614,-1.2296395108601477,-1.0064572203837137
57,16.0,-1.1742217643950958,-1.2755599880568025,-1.052193604793923
58,16.5,-1.217280331077534,-1.31838270588086,-1.0972905174578733
59,17.0,-1.255406795693352,-1.3582853808482498,-1.1416737533669108
60,17.5,-1.2945645620585164,-1.3972521227639747,-1.1799256305546888
61,18.0,-1.3324571497142426,-1.4358156934288193,-1.2172573003703757
62,18.5,-1.370248337480386,-1.4696714159351076,-1.2539209362521717
63,19.0,-1.4067324432284587,-1.5040397079503687,-1.2926030758932705
64,19.5,-1.4419466924015052,-1.5378741535057385,-1.3311352658308115
65,20.0,-1.4771254595060803,-1.5702132175678352,-1.3672002364734595
66,20.5,-1.510279334367905,-1.6121056349315612,-1.3976072633680054
67,21.0,-1.5471601715186774,-1.6393688025162505,-1.4352552040891569
68,21.5,-1.5803729425876814,-1.6734978405244414,-1.4713775997886516
69,22.0,-1.60939412647717,-1.703523915375199,-1.5047102318453938
70,22.5,-1.6378931405804948,-1.726685366089697,-1.5359567629022237
71,23.0,-1.663242505832462,-1.75301897714322,-1.5770592016538418
72,23.5,-1.6853878123605743,-1.7798804151920624,-1.6057631709512301
73,24.0,-1.7173785562629151,-1.8006889583818886,-1.63182576341246
74,24.5,-1.7421684587570923,-1.8227333197187825,-1.6602403646916866
75,25.0,-1.7653967975514124,-1.844307288564488,-1.6839299070466713
76,25.5,-1.7885706582409713,-1.8668422833884093,-1.7076167957857449
77,26.0,-1.8063859761150214,-1.883312870494886,-1.7303036340703781
78,26.5,-1.8216794621612733,-1.9000714790230524,-1.7467661255877054
79,27.0,-1.840731911583362,-1.9153489739985075,-1.7691614865323557
80,27.5,-1.8571474071246592,-1.9316501647581912,-1.7849391143316409
81,28.0,-1.8740237511218503,-1.9414088850862754,-1.8000108870351115
82,28.5,-1.8883218331249014,-1.9463987628309454,-1.8179551316281035
83,29.0,-1.90348210629935,-1.9539295978117446,-1.8338266429166317
84,29.5,-1.917660978627211,-1.9681015625189258,-1.8475458324854341
85,30.0,-1.930069457140851,-1.978926923072791,-1.8574615951515723
86,30.5,-1.9386477316895625,-1.9905431640571662,-1.8755751052899998
87,31.0,-1.9446948921451845,-2.0029159688644755,-1.8869830677292012
88,31.5,-1.9504948663416286,-2.0133770697940125,-1.8979968843982857
89,32.0,-1.96354631908887,-2.0200814542873884,-1.9089311297464269
90,32.5,-1.9757971625286932,-2.032486316428831,-1.9170073708021091
91,33.0,-1.9875103532850993,-2.0428759051853396,-1.9259212595885913
92,33.5,-1.9989414311792286,-2.0551363479148037,-1.932686631757562
93,34.0,-2.0087445571681117,-2.0683457046061235,-1.9349895185458799
94,34.5,-2.019243382121976,-2.080506080574338,-1.943688959378695
95,35.0,-2.0250154641096003,-2.0904946966532716,-1.9512572505698422
96,35.5,-2.0292556053244666,-2.091309440020267,-1.9552915509033155
97,36.0,-2.0328965892968007,-2.097033280599513,-1.9610561725772966
98,36.5,-2.034770731984725,-2.1047980833132836,-1.9636430833529426
99,37.0,-2.0358280494942873,-2.1110911564583255,-1.9684847125936287
100,37.5,-2.0361714870585095,-2.1173302526969984,-1.9719348217355792
101,38.0,-2.039406717632166,-2.1209924554304016,-1.9747488328550005
102,38.5,-2.042488746726413,-2.1259987163198426,-1.9786257375192937
103,39.0,-2.0478664895310614,-2.1309804515749775,-1.9809577823812723
104,39.5,-2.052037665891328,-2.1325724270507798,-1.9835688771371696
105,40.0,-2.0580911421775454,-2.134434762205002,-1.9875325815629736
106,40.5,-2.0617664165954617,-2.134930442191034,-1.9911782526123254
107,41.0,-2.0647885008949416,-2.135369159602843,-1.9970294574651053
108,41.5,-2.066639897869095,-2.1362788414325045,-1.9969573920480457
109,42.0,-2.07047026762649,-2.1365758408090114,-1.9930990099452064
110,42.5,-2.074068603858799,-2.1375085898994444,-1.9930990099452064
111,43.0,-2.0774409220696617,-2.1386958978181303,-1.9930990099452064
112,43.5,-2.077716076515108,-2.140013165028053,-1.9930990099452064
113,44.0,-2.074335059893704,-2.1412931058523945,-1.9930990099452064
114,44.5,-2.070607144864498,-2.1457824874024665,-1.9930990099452064
115,45.0,-2.069128585062526,-2.150064648731288,-1.9930990099452064
116,45.5,-2.0691317844898336,-2.1583350005414936,-1.9946063317028222
117,46.0,-2.0720825052391625,-2.1646654457443453,-1.9960491437814207
118,46.5,-2.0720825052391625,-2.166361643771682,-1.9960491437814207
119,47.0,-2.0720825052391625,-2.168711157747597,-1.9960491437814207
120,47.5,-2.0720825052391625,-2.170531851742899,-1.9960491437814207
121,48.0,-2.0720825052391625,-2.1720871793808185,-1.9960491437814207
122,48.5,-2.0720825052391625,-2.174528229689995,-1.9960491437814207
123,49.0,-2.0720825052391625,-2.1779448795134844,-1.9960491437814207
124,49.5,-2.0720825052391625,-2.182513021006418,-1.9974558024940423
