,t,rollMed,perc25,perc75
0,-15.0,-1.1286978417676288,-1.2966488076913336,-1.0785659599328732
1,-14.5,-1.0903496061634292,-1.273999439259132,-1.043577617083189
2,-14.0,-1.0842846971407738,-1.2513500708269305,-1.0092467360846373
3,-13.5,-1.0784167017011663,-1.1694035841049415,-0.9502884577163788
4,-13.0,-1.0078635024593383,-1.0953879832974875,-0.8689550265579169
5,-12.5,-0.9175510011608283,-1.0429483597675953,-0.7798285318357389
6,-12.0,-0.8368909016391899,-0.9583316114290059,-0.6770184907647021
7,-11.5,-0.7391972596275753,-0.9001199178241737,-0.6022315508137908
8,-11.0,-0.6593848484420164,-0.8368909016391899,-0.5129768762459541
9,-10.5,-0.5919899807770073,-0.754076903334992,-0.46667947016977873
10,-10.0,-0.5196158330258888,-0.6726418032541027,-0.4172298109987178
11,-9.5,-0.4683992951614528,-0.6069300879427709,-0.35865626933347716
12,-9.0,-0.41985517017526774,-0.5536687458954568,-0.32266898950149514
13,-8.5,-0.36226956978424263,-0.4777205143828358,-0.2830835141537009
14,-8.0,-0.3109719038628058,-0.4126938983483065,-0.2577388035434204
15,-7.5,-0.27412979081461675,-0.3612418155929372,-0.2269751219140734
16,-7.0,-0.2395384873650226,-0.3075409318242148,-0.1892729089048526
17,-6.5,-0.20308752198148383,-0.26517167061770064,-0.16117751468596353
18,-6.0,-0.17340474967369346,-0.23200089406112134,-0.13279730672106804
19,-5.5,-0.14887865661645983,-0.19759957419224994,-0.10618023608695593
20,-5.0,-0.12067057009478788,-0.16314475662537475,-0.08551397776044922
21,-4.5,-0.09727540754681208,-0.13543371908717994,-0.06735187470473569
22,-4.0,-0.073253017470023,-0.10881453981945022,-0.048825006081328504
23,-3.5,-0.05319055941432893,-0.0840245241299441,-0.03201879751156331
24,-3.0,-0.03700537132940218,-0.06480610178723961,-0.01924326105101057
25,-2.5,-0.023652228541326537,-0.046224551179245094,-0.009666743440270437
26,-2.0,-0.013672394158689372,-0.03153540431696636,-0.004161577629384183
27,-1.5,-0.006476171118626084,-0.01924326105101057,-0.0010220232624015835
28,-1.0,-0.0027379020355553507,-0.00972383748216854,-0.0005729060591559421
29,-0.5,-0.002663703336664991,-0.005513234597582906,-0.0005804049563237768
30,0.0,-0.002663703336664991,-0.005751820715167999,-0.0005804049563237768
31,0.5,-0.0028141894853424,-0.008832461713926598,-0.0005804049563237768
32,1.0,-0.007392826028020494,-0.016505018860291543,-0.0008543568188252859
33,1.5,-0.013659734617992747,-0.026194981847456056,-0.0038471666778075453
34,2.0,-0.021124572536698416,-0.036363767991799564,-0.008953487148300798
35,2.5,-0.030121455535382813,-0.04869787218645816,-0.016738546594736725
36,3.0,-0.042490111095645045,-0.06299576756784386,-0.025751262819498244
37,3.5,-0.055104307849898504,-0.07876138486352247,-0.03613684193133494
38,4.0,-0.06930717783917784,-0.09579590325298071,-0.04865777168411056
39,4.5,-0.08435021519636798,-0.11404786126162847,-0.06220625253641032
40,5.0,-0.1016514095567117,-0.13362857451493682,-0.0754587701377124
41,5.5,-0.11998602788592838,-0.15320615958209416,-0.09001479537066981
42,6.0,-0.13782416145133336,-0.17422631961843504,-0.10596824977067731
43,6.5,-0.15671304444983747,-0.19485367596697323,-0.12381485595977693
44,7.0,-0.17695597121059103,-0.21599365339579224,-0.1433201062542857
45,7.5,-0.1966059332441079,-0.23755402048985386,-0.16455860071136375
46,8.0,-0.21654089231875617,-0.2608317270775744,-0.18189761527550175
47,8.5,-0.23735884267783147,-0.2862562812908278,-0.20035146344357968
48,9.0,-0.26008999828017304,-0.31203858216324826,-0.22203484208474578
49,9.5,-0.2822358042374753,-0.3380827225051061,-0.24234179364619096
50,10.0,-0.30439054990672465,-0.3642989603754686,-0.26243774867887
51,10.5,-0.32637198014932656,-0.3905601317389501,-0.2828331630031941
52,11.0,-0.35125302631898236,-0.41556871718672583,-0.3043075530634242
53,11.5,-0.3745409684657508,-0.44126837968757693,-0.3258814920815387
54,12.0,-0.39691637998540896,-0.46797498303746987,-0.34943393062452555
55,12.5,-0.4198566589796764,-0.4945461061275891,-0.37204007344725165
56,13.0,-0.4451498402141496,-0.5199869065921588,-0.39306651966336636
57,13.5,-0.46932346302572725,-0.5385033447502847,-0.41314784900483525
58,14.0,-0.4924223232096008,-0.5549532850625787,-0.43371839312858895
59,14.5,-0.5141728442242623,-0.5870139227717903,-0.4544348028631209
60,15.0,-0.5307190215136584,-0.6167955164815124,-0.47499410600376857
61,15.5,-0.5516572620682183,-0.6428698209673002,-0.49519101313997327
62,16.0,-0.5737186483417105,-0.6672939357634675,-0.5159695693641098
63,16.5,-0.5969335734043124,-0.692428435286064,-0.5357771714305084
64,17.0,-0.6178916443034574,-0.7171798109563585,-0.5567934245019988
65,17.5,-0.6386560071710796,-0.7411005626652355,-0.5768799179061102
66,18.0,-0.6591934843648701,-0.7645549846752191,-0.5965890976383126
67,18.5,-0.6770359086412223,-0.7857865003285978,-0.6173010092903454
68,19.0,-0.6945529802492127,-0.8077582141911215,-0.6369994470263347
69,19.5,-0.7124603308223136,-0.833436543564118,-0.6558449393018566
70,20.0,-0.7306550618757817,-0.8560714618873773,-0.6744061766430658
71,20.5,-0.7568362783557965,-0.8781458361772847,-0.6859561010946597
72,21.0,-0.7746587937829916,-0.8974479667036603,-0.706135176986826
73,21.5,-0.7942675009442783,-0.9163774743410074,-0.7243446244228988
74,22.0,-0.8131462918503853,-0.9381658819432611,-0.741420629761361
75,22.5,-0.8289098274428295,-0.9551149805437706,-0.7570758127827484
76,23.0,-0.8442528141509719,-0.9716300617944074,-0.7748956609509957
77,23.5,-0.8605754597800315,-0.9906790533624152,-0.7924580257239968
78,24.0,-0.8767937947675506,-1.011932157477105,-0.8083101125097332
79,24.5,-0.8942057554911984,-1.0296503817405602,-0.8234402695608534
80,25.0,-0.9086411913798358,-1.0490448098981835,-0.8411734692570789
81,25.5,-0.9233321131672625,-1.0612551340980152,-0.8535314320046445
82,26.0,-0.9367966690115139,-1.073689616746784,-0.8662312768661926
83,26.5,-0.9520533420282646,-1.0875954544034818,-0.8819898348773276
84,27.0,-0.966341398651636,-1.0981425123534514,-0.896928907929258
