,t,rollMed,perc25,perc75
0,-15.0,-1.0992198542981129,-1.2153892491176972,-1.0138117061919356
1,-14.5,-1.0611220266159327,-1.1886887207322006,-1.0081366190035261
2,-14.0,-1.043452148380556,-1.1463635403881334,-0.9863674570450911
3,-13.5,-1.0086135893172177,-1.1286951501302638,-0.9504121496132398
4,-13.0,-0.9947264741374191,-1.0766001288166707,-0.9011901460508839
5,-12.5,-0.952220941506971,-1.0449439157565379,-0.8452276459961409
6,-12.0,-0.8948533526191843,-1.0000055094955664,-0.7910590654947607
7,-11.5,-0.8197519744434629,-0.9588798466711739,-0.7108718928596156
8,-11.0,-0.752281071246901,-0.8793753546376575,-0.6279324341060213
9,-10.5,-0.6817303910928008,-0.8117926100861759,-0.5659868182691146
10,-10.0,-0.6164452757059076,-0.7385603869296173,-0.5043054802401482
11,-9.5,-0.5598493651044896,-0.6770332533650838,-0.45072339828885577
12,-9.0,-0.5039072734682741,-0.6153945750700006,-0.3991927546449519
13,-8.5,-0.4493124559052255,-0.5606069255128743,-0.35046597380601985
14,-8.0,-0.3992928864540014,-0.5043054802401482,-0.3240975095675065
15,-7.5,-0.35071533799947563,-0.45072339828885577,-0.29438082763646634
16,-7.0,-0.3099003114682084,-0.3994931500721004,-0.2553804685215937
17,-6.5,-0.26931998002470436,-0.35021660961256407,-0.21727562195109718
18,-6.0,-0.22145899576660133,-0.3028308930144341,-0.1784081502778605
19,-5.5,-0.18715880357450665,-0.2581960380377142,-0.13851623878524322
20,-5.0,-0.15234487437614241,-0.21821353355969464,-0.11029196106983363
21,-4.5,-0.12563883475091586,-0.1831914786826303,-0.08743474790922035
22,-4.0,-0.10352498308050428,-0.14828644813640968,-0.06711700680544475
23,-3.5,-0.07992706982327036,-0.11498053789406093,-0.049720451272381894
24,-3.0,-0.057815412327225424,-0.08968479918511141,-0.03420461764820015
25,-2.5,-0.03862683574031678,-0.06959729425158656,-0.02111841802394565
26,-2.0,-0.025333637798242492,-0.05205572257703883,-0.01120906033218505
27,-1.5,-0.01392480021686282,-0.03455900970039116,-0.003722205283446023
28,-1.0,-0.005470341444578253,-0.02056164601934718,-0.0007701607650036912
29,-0.5,-0.003408574210888915,-0.010256973645408785,-0.0007425922585611033
30,0.0,-0.003665446431590169,-0.007321218245657235,-0.0007543509876626331
