,t,rollMed,perc25,perc75
0,-8.5,-1.441668364949618,-1.7700580042683696,-0.5053012302727007
1,-8.0,-1.2812052411013863,-1.6150064252365077,-0.49933756160069853
2,-7.5,-1.1247181721959936,-1.4573097427317578,-0.486095653569119
3,-7.0,-0.9740316952437387,-1.2995807606814223,-0.46627576387738756
4,-6.5,-0.8307525961055995,-1.144219256452523,-0.4407102852207059
5,-6.0,-0.6962718255961811,-0.9933937544266322,-0.41032761522453853
6,-5.5,-0.5717685437868316,-0.8490300924812819,-0.37611839095224786
7,-5.0,-0.4582161104328084,-0.7128059795373289,-0.33153586828629544
8,-4.5,-0.35638983116140155,-0.5861507527269605,-0.25947324069874456
9,-4.0,-0.28610128066824503,-0.4702495644567033,-0.20349750972234482
10,-3.5,-0.21157262740343796,-0.35638983116140155,-0.13568231911675666
11,-3.0,-0.15577393371549508,-0.25947324069874456,-0.08395583215378499
12,-2.5,-0.10504913217582867,-0.17936177010695253,-0.055148254062683755
13,-2.0,-0.07343931516813207,-0.12986186567133928,-0.032324039586177244
14,-1.5,-0.03994065770057631,-0.08258746307757203,-0.013792975597333612
15,-1.0,-0.01469622496127343,-0.055148254062683755,-0.00039850511319983184
16,-0.5,-0.011863175691285699,-0.031000931110739982,-0.0005835491051873198
17,0.0,-0.011817206081641718,-0.02242838704154604,-0.0007685930971748078
18,0.5,-0.011863175691285699,-0.023135520177965496,-0.0009536370891622958
19,1.0,-0.013473463612230674,-0.039178464068958974,-0.0011386810811497838
20,1.5,-0.03380509987997604,-0.06866353100944744,-0.008763516996812992
21,2.0,-0.06361213231057317,-0.11168510854550373,-0.023135520177965496
22,2.5,-0.09764124784088946,-0.15804209955634674,-0.042764455729684236
23,3.0,-0.13652799035145158,-0.211456882069199,-0.07284423062078282
24,3.5,-0.18128163822885646,-0.2736440987894092,-0.11494483614869377
25,4.0,-0.2400149054899916,-0.3423432566473217,-0.16100918389472563
26,4.5,-0.304914613679522,-0.41831473166074673,-0.21208956264525636
27,5.0,-0.36953469689889085,-0.5025450335866826,-0.26524730711041133
28,5.5,-0.4315982058906054,-0.5864050426619793,-0.32322683649165596
29,6.0,-0.5066296880017931,-0.6702667056317627,-0.3902169023787372
30,6.5,-0.5817068343693725,-0.7569805145624996,-0.458784871861039
31,7.0,-0.6597371401674297,-0.8460035855034242,-0.5310832400214363
32,7.5,-0.7494418612126308,-0.936810600917485,-0.6066560907692267
33,8.0,-0.8416294553633041,-1.0333662957100467,-0.6850483333272055
34,8.5,-0.9293441319090288,-1.1329251143273888,-0.7658097619087774
35,9.0,-1.015076348222383,-1.2349589533508465,-0.8447403897652888
36,9.5,-1.1124127635505197,-1.338819796935016,-0.9190529178234211
37,10.0,-1.2105619970367973,-1.4421022500796006,-0.9937313643863384
38,10.5,-1.3090609915031717,-1.5443374245603323,-1.0686359602789435
39,11.0,-1.4074727292204097,-1.6450954807687483,-1.1434716956731847
40,11.5,-1.5053872485810942,-1.7403456197565028,-1.217960234526775
41,12.0,-1.602422316988883,-1.831817811866955,-1.2918404491152695
42,12.5,-1.690944770027495,-1.920686840557685,-1.363591521789246
43,13.0,-1.7747956096569588,-2.006698794301175,-1.433742098244567
44,13.5,-1.8566599609886936,-2.0900181230646626,-1.5023528262084545
45,14.0,-1.9363221020262804,-2.175651614279856,-1.5692399684135228
46,14.5,-2.0135890168670105,-2.2578762979410074,-1.6342387778682197
47,15.0,-2.1249785133833825,-2.3366389642266086,-1.6908340803902306
48,15.5,-2.1898183995940217,-2.437230776386331,-1.7416845822677218
49,16.0,-2.262716494888425,-2.529414540921298,-1.8206913478565463
50,16.5,-2.3322176201574996,-2.6075689128484303,-1.9004864511641815
51,17.0,-2.4401303496296873,-2.6913830473056057,-1.9744712980048527
52,17.5,-2.564032959876902,-2.755585431910282,-2.042501662629687
53,18.0,-2.659439545685089,-2.822193282863934,-2.104489189447819
54,18.5,-2.744275753640572,-2.883647649838082,-2.133459639139357
55,19.0,-2.801297520369297,-2.9226434807665465,-2.1604076181626835
56,19.5,-2.841113834248584,-2.9620435531772644,-2.1943247101309584
57,20.0,-2.873144930530047,-3.020771314544916,-2.2255724747960737
58,20.5,-2.9013369235881887,-3.0487106165692026,-2.26750019312121
