,t,rollMed,perc25,perc75
0,-12.0,-1.3439274085559063,-1.9463815505026787,-0.8034980426510998
1,-11.5,-1.2462243770441646,-1.8249823570986958,-0.8030703049441712
2,-11.0,-1.1485213455324228,-1.789850840404533,-0.7602459260246945
3,-10.5,-0.9483987398268829,-1.5725946558358839,-0.6752008485380532
4,-10.0,-0.8155737527962899,-1.330578388899978,-0.620728358714816
5,-9.5,-0.7504361093136431,-1.1468449390105597,-0.5838223544854815
6,-9.0,-0.6900837352620606,-1.02071924487473,-0.5254168573175841
7,-8.5,-0.6371573090522915,-0.9433432460265339,-0.48010262308270746
8,-8.0,-0.5820849226291465,-0.8167802582065455,-0.4264546167192592
9,-7.5,-0.5169129535831112,-0.7383715240985635,-0.3874884586988502
10,-7.0,-0.459917516206783,-0.6627048158407547,-0.3369527047781049
11,-6.5,-0.4084222643224651,-0.5848055097551708,-0.29143770279401604
12,-6.0,-0.3507722091504526,-0.5127058040786867,-0.24685620884879567
13,-5.5,-0.29808361722281873,-0.4378961047377927,-0.21161475639182253
14,-5.0,-0.24696171675912426,-0.36528432193859395,-0.17788179589231246
15,-4.5,-0.2047682427071229,-0.3087733695141528,-0.1390791410126404
16,-4.0,-0.17451041861207273,-0.2651350101426939,-0.11058883165435951
17,-3.5,-0.13637734193954199,-0.20891194636974608,-0.08447281628003378
18,-3.0,-0.10184639045301047,-0.1685122168992661,-0.05917348330460294
19,-2.5,-0.07055709192901172,-0.11995470656011342,-0.03677882864292226
20,-2.0,-0.04518841339980484,-0.08740684747213567,-0.01877228583281887
21,-1.5,-0.026944464865427786,-0.05917348330460294,-0.008240358459794095
22,-1.0,-0.014073958128403063,-0.03539504393476456,-0.0016551925030210413
23,-0.5,-0.005354728797387409,-0.018190635293588997,-0.001009905837904057
24,0.0,-0.005140421978446774,-0.013061962412849376,-0.0010570183238485242
25,0.5,-0.005157168785729027,-0.012728792428275293,-0.0011786159255109396
26,1.0,-0.005634558144244295,-0.020979136795676562,-0.001300213527173355
27,1.5,-0.0138408092920006,-0.035977278190977735,-0.002303989875741763
28,2.0,-0.027252959176181313,-0.056081017180675374,-0.008711866134280793
29,2.5,-0.043894348774343145,-0.08176195070572145,-0.021199293885994112
30,3.0,-0.06260573712403805,-0.10663959929345679,-0.03563626674583187
31,3.5,-0.0877202158695507,-0.14266233800141506,-0.05400979081517431
32,4.0,-0.11867170503166746,-0.1799422440869276,-0.07427881068349085
33,4.5,-0.14629039327414972,-0.22342394563031154,-0.0965666571615659
34,5.0,-0.17926559745536474,-0.27191676825287026,-0.12197226515381576
35,5.5,-0.21586476832633128,-0.3238233339728236,-0.15114069459616614
36,6.0,-0.2606522404751246,-0.37558461194369563,-0.18039974773329548
37,6.5,-0.2988981219294733,-0.43383633628499396,-0.20880402281880628
38,7.0,-0.3412414349342612,-0.4965082930413254,-0.2378289496073832
39,7.5,-0.384589353642568,-0.5600109735610788,-0.26814009432720354
40,8.0,-0.4284024001935286,-0.6221790207360618,-0.3054979898525024
41,8.5,-0.4805391214215122,-0.685254470800186,-0.34274608819748187
42,9.0,-0.5404057888852409,-0.7523480405369032,-0.385798492231857
43,9.5,-0.5994471933905716,-0.8118682851612469,-0.4256263092527275
44,10.0,-0.6494517438422416,-0.8741204261478095,-0.4694477674423275
45,10.5,-0.7098406025922066,-0.931389855946885,-0.5139171761416056
46,11.0,-0.7673682706451523,-0.9844479235862131,-0.5559936397970873
47,11.5,-0.8277871599515136,-1.049549805602838,-0.6030376076724318
48,12.0,-0.8867421711451247,-1.1174824194899335,-0.6457492269480336
49,12.5,-0.940959933819574,-1.181557628057828,-0.6872877225466874
50,13.0,-0.9933757923423072,-1.2426565729400907,-0.7302383992808218
51,13.5,-1.0456581147442314,-1.301132549246689,-0.7718281345402924
52,14.0,-1.102702376502874,-1.3570081571165706,-0.813577421602274
53,14.5,-1.1543207427325388,-1.4106863095628501,-0.8539647945998423
54,15.0,-1.1910710638184474,-1.4597990887288699,-0.8884002070275022
55,15.5,-1.2192505788313994,-1.5087083952981373,-0.9317590974318932
56,16.0,-1.256019480717672,-1.5561214926653224,-0.9643193501775047
57,16.5,-1.302432786733685,-1.6067760603617074,-1.0084128386517837
58,17.0,-1.3457609676542592,-1.643868429047058,-1.0503137915556429
59,17.5,-1.384417946274045,-1.6886994990128388,-1.0888799492456545
60,18.0,-1.4264478663122446,-1.7410766633012635,-1.1323459937055917
61,18.5,-1.467769065715276,-1.789910942098836,-1.1743831630035193
62,19.0,-1.505369367854148,-1.8355836578945464,-1.2161290641123452
63,19.5,-1.546601695064763,-1.873453292670907,-1.2579875793257282
64,20.0,-1.5866916395553807,-1.905824858506691,-1.3026139472805274
65,20.5,-1.6284557102073265,-1.9440961329022484,-1.3401209787864472
66,21.0,-1.6683597853596255,-1.977642131908354,-1.3764537258707286
67,21.5,-1.7005618061641954,-2.0096700602357203,-1.409461717412535
68,22.0,-1.7334716125854435,-2.042049424167434,-1.44859063908136
69,22.5,-1.7678119201510434,-2.0732045089007407,-1.4824668302299306
70,23.0,-1.7977101411902048,-2.1019927936156986,-1.510120283645048
71,23.5,-1.8259893214602698,-2.1290371668490735,-1.5512487015551173
72,24.0,-1.8536070901585582,-2.1577677501789605,-1.5785740745473475
73,24.5,-1.889629818934102,-2.185218968470595,-1.6041601690911407
74,25.0,-1.921994957100413,-2.2064326021794285,-1.6301071587749716
75,25.5,-1.964125801063009,-2.2325926373107743,-1.6552353149121757
76,26.0,-1.9954320156514145,-2.2501463079786737,-1.6830152574760184
77,26.5,-2.031215059035269,-2.268008229272819,-1.7120839576127014
78,27.0,-2.0553059599474532,-2.2894532645177517,-1.7405250489532995
79,27.5,-2.0748930191475203,-2.3055863588964867,-1.762648161953744
80,28.0,-2.095811784462697,-2.32400181267203,-1.785680098593742
81,28.5,-2.1099125411295248,-2.338739358101548,-1.8051960518159724
82,29.0,-2.1260527464161076,-2.3496689984562775,-1.8276632660866634
83,29.5,-2.149551525865081,-2.353751345519664,-1.8495954845572382
84,30.0,-2.1616074094962494,-2.3772789401947936,-1.869448244247442
85,30.5,-2.167813390395537,-2.394737285005691,-1.8916315845320761
86,31.0,-2.169827063025443,-2.420560740014203,-1.9063292103585812
87,31.5,-2.1775140600831104,-2.4394754529318674,-1.9256115643389304
88,32.0,-2.227994853177167,-2.466325604488368,-1.943279980202707
89,32.5,-2.280367204012409,-2.503483397191192,-1.9534989544295391
90,33.0,-2.307567874157113,-2.5121755356775277,-1.9690795659709024
91,33.5,-2.3230743682527253,-2.5160964097973473,-1.9895698994896103
92,34.0,-2.3377930721464644,-2.5227578782365434,-2.0088832088698862
93,34.5,-2.344942607284807,-2.528421138500387,-2.0276548109154917
94,35.0,-2.3524509775028513,-2.5329944319183983,-2.0446079904380543
95,35.5,-2.3538361773573984,-2.5716639515446307,-2.067727421352932
96,36.0,-2.3553879556672097,-2.629538414318031,-2.0818935476735825
97,36.5,-2.3604235206844244,-2.6368320765463844,-2.1004090588873017
98,37.0,-2.383439672077254,-2.6410337709193277,-2.1137123052705284
99,37.5,-2.40620215026661,-2.644032122144152,-2.1258199917455856
100,38.0,-2.4164864392642977,-2.647859472418657,-2.1404597336057436
101,38.5,-2.4214919307771106,-2.65214517616151,-2.147686240002204
102,39.0,-2.4241064317028456,-2.6554852278703533,-2.1652611507342403
103,39.5,-2.4248098717390523,-2.6587826024032557,-2.182588294905335
104,40.0,-2.4269651298821895,-2.6625547214810568,-2.196387017668002
105,40.5,-2.4275755730791904,-2.6668253925292804,-2.211565774536293
106,41.0,-2.4261927224091213,-2.6717018025663632,-2.227510488898049
107,41.5,-2.4239983142940362,-2.6771118958486233,-2.2405857400810727
108,42.0,-2.421704364465472,-2.6830632750583927,-2.2548512690259193
109,42.5,-2.415630856292071,-2.689559339886289,-2.267843388757326
110,43.0,-2.412111780635175,-2.726909578840357,-2.2772153799392383
111,43.5,-2.4058296949050275,-2.7338556244081067,-2.283877745598484
112,44.0,-2.404429232653385,-2.740988566630599,-2.28867469438093
113,44.5,-2.4031623708545666,-2.748307504186585,-2.2940927461682006
114,45.0,-2.4047007568618723,-2.755810194627502,-2.2964122272047414
115,45.5,-2.40650827127151,-2.767112948672686,-2.3023328646018735
116,46.0,-2.409002475340811,-2.775272979285616,-2.306036652962554
117,46.5,-2.409002475340811,-2.7773588029515928,-2.308888486693765
118,47.0,-2.409002475340811,-2.779380129099575,-2.3112468623197997
119,47.5,-2.409002475340811,-2.7813393522893275,-2.3118944773166454
120,48.0,-2.409002475340811,-2.7832386642851197,-2.3150153084966547
121,48.5,-2.409002475340811,-2.785080063012253,-2.3150153084966547
122,49.0,-2.409002475340811,-2.7868653615404044,-2.3150153084966547
123,49.5,-2.409002475340811,-2.7885961970541957,-2.317284522205975
