,t,rollMed,perc25,perc75
0,-15.0,-0.5418613164893877,-0.7015969458795137,-0.3568400489670469
1,-14.5,-0.5065131658324189,-0.6782935249249937,-0.34894340265264545
2,-14.0,-0.480632303596512,-0.6555949518890694,-0.33978728648107404
3,-13.5,-0.46178112403241434,-0.6373315569830775,-0.33063103690427553
4,-13.0,-0.4240684370538643,-0.5968289794576984,-0.3116733487434362
5,-12.5,-0.3861445860668886,-0.551226857212246,-0.29656147703494895
6,-12.0,-0.35631173248412384,-0.5097631424897557,-0.27535191699369144
7,-11.5,-0.3309724662221154,-0.46795950465965536,-0.25433663352135183
8,-11.0,-0.30676136910700147,-0.427998921950972,-0.23373680187148926
9,-10.5,-0.2771121988168308,-0.38738038831483546,-0.21275549782159686
10,-10.0,-0.25240803945310586,-0.3482800904952579,-0.19202023676451718
11,-9.5,-0.22666161149654673,-0.3087198709556098,-0.17463228386461438
12,-9.0,-0.19869292539961547,-0.27045623228414584,-0.1541942619109522
13,-8.5,-0.17751614263223559,-0.23743337649803054,-0.1355365831725155
14,-8.0,-0.1560076208760719,-0.2073842069224362,-0.11749982357316113
15,-7.5,-0.1355365831725155,-0.17876709948104563,-0.10064224273193234
16,-7.0,-0.11576713681470863,-0.15400199526053227,-0.08691594090946331
17,-6.5,-0.0984521418219535,-0.13132201742209504,-0.07486252325335241
18,-6.0,-0.08288059399729586,-0.11227816957269088,-0.06190470275043136
19,-5.5,-0.06796708705346544,-0.09607828232598004,-0.04926537503789108
20,-5.0,-0.05449898229348027,-0.08125904185361077,-0.0390872282536765
21,-4.5,-0.043003128396675416,-0.06561693326890072,-0.029847271506181938
22,-4.0,-0.03295101562649072,-0.05247581561763792,-0.021671174289313422
23,-3.5,-0.02490318071768316,-0.03979320688901189,-0.015040801187703456
24,-3.0,-0.01794442468253088,-0.029483082976238473,-0.009915197899998507
25,-2.5,-0.011259983644219318,-0.021642964295616407,-0.005237329906204069
26,-2.0,-0.00677299235362927,-0.01473041639966266,-0.0023940328871139283
27,-1.5,-0.0034229180758096334,-0.009870951670186923,-0.0007046139885231728
28,-1.0,-0.0012954471513026977,-0.005143961340614345,-0.00023710184049807737
29,-0.5,-0.0011697996329853577,-0.002661623377093636,-0.00023710184049807737
30,0.0,-0.0011697996329853577,-0.002661623377093636,-0.00023710184049807737
31,0.5,-0.0014224061710523817,-0.004387914737472465,-0.00023710184049807737
32,1.0,-0.003656237798245421,-0.007881528712053942,-0.0005388403349031456
33,1.5,-0.006739925751239273,-0.01300196095067141,-0.002029229107080033
34,2.0,-0.010529607805564112,-0.01893991387343741,-0.004511848104813754
35,2.5,-0.01582286137027289,-0.0249121603180833,-0.008155056064777177
36,3.0,-0.021875379985376142,-0.03340882131238199,-0.013044011278264489
37,3.5,-0.027961098634814885,-0.04148297979912474,-0.018514649353859935
38,4.0,-0.035685565220290094,-0.05016178513625702,-0.024570414662394846
