,t,rollMed,perc25,perc75
0,-15.0,-0.8170860803615203,-1.0889367061236488,-0.5696463353905499
1,-14.5,-0.9044252332487304,-1.021362273286968,-0.5297741927747177
2,-14.0,-0.8366867616704177,-1.007973506814059,-0.5270495519259006
3,-13.5,-0.7717544277068313,-0.9724611468538598,-0.5026359887896761
4,-13.0,-0.7591764874919988,-0.9044252332487304,-0.4717310384464781
5,-12.5,-0.7052618477188659,-0.8414417951946369,-0.4266383219748202
6,-12.0,-0.6949857788392535,-0.8050865419292877,-0.390693745573766
7,-11.5,-0.6397201847597849,-0.7591710596515064,-0.3571621657304844
8,-11.0,-0.5834694483683052,-0.7063014880112309,-0.30956313171635164
9,-10.5,-0.5307382207361364,-0.6538539911346295,-0.261595331630486
10,-10.0,-0.4758605389543362,-0.5955166856217651,-0.22329594811686126
11,-9.5,-0.41197423408415546,-0.5387293997240341,-0.18801907634567727
12,-9.0,-0.3538453154561694,-0.48620839844378594,-0.1557941895866497
13,-8.5,-0.2995508955624473,-0.4339935237594652,-0.13770433523856185
14,-8.0,-0.25074018974476076,-0.38475187150619217,-0.11676152627221159
15,-7.5,-0.20622482416780485,-0.3401175359919364,-0.10038920114231598
16,-7.0,-0.16787718753320036,-0.2914766795012039,-0.08141835353210486
17,-6.5,-0.13576783708244644,-0.24605861932885184,-0.06900200470822915
18,-6.0,-0.11244091482767127,-0.20758281637183645,-0.056007910290361784
19,-5.5,-0.08895218765974056,-0.17465519448854022,-0.045234231892005594
20,-5.0,-0.07090311000354133,-0.14324243221163807,-0.035994967413524405
21,-4.5,-0.058728520287886665,-0.11469581538976975,-0.029295169858142664
22,-4.0,-0.04691704531022056,-0.08950458484412768,-0.02421067851684844
23,-3.5,-0.033268039913337155,-0.0676457426224071,-0.018816518353856213
24,-3.0,-0.02404969543557489,-0.04906251982195156,-0.011921634045922502
25,-2.5,-0.015608892682337228,-0.03366876617672776,-0.007108178737513238
26,-2.0,-0.01043161352213473,-0.021353265787344117,-0.004374634089738816
27,-1.5,-0.005364896503565975,-0.01370402252007663,-0.001269853012128161
28,-1.0,-0.002304316358316072,-0.007795352520029608,-0.00041283863881778904
29,-0.5,-0.0015189862749351024,-0.004683287096900912,-0.00035738739367988104
30,0.0,-0.0015189862749351024,-0.0034281396486951776,-0.00035738739367988104
31,0.5,-0.0019252764820738566,-0.005615677743128461,-0.00035738739367988104
32,1.0,-0.0028488800966333105,-0.009333117289649473,-0.0005384832215984264
33,1.5,-0.00630011947490311,-0.014649440222877397,-0.0022193589108123746
34,2.0,-0.01173937737795347,-0.021078738577295475,-0.005313801289692374
35,2.5,-0.017954006401667943,-0.028448708918503485,-0.00956601198166751
36,3.0,-0.02643240990370299,-0.040029373422580505,-0.014521491092074457
37,3.5,-0.033924112876035556,-0.05177292221992483,-0.02076747016542757
38,4.0,-0.04186275532681155,-0.06256695930521206,-0.02756239942174886
39,4.5,-0.052403719304142615,-0.07557641699895012,-0.035643546864917705
40,5.0,-0.06354035537143776,-0.08951298752404213,-0.044290817068148414
41,5.5,-0.07600594149900752,-0.10464804250237592,-0.05394717811090341
42,6.0,-0.0891507153673472,-0.12370467322114109,-0.06451375143766347
43,6.5,-0.10075398859143653,-0.14309240979066118,-0.07643546599906492
44,7.0,-0.11115733337688466,-0.1635320402525835,-0.08876626474538407
45,7.5,-0.12275228072246364,-0.18505390942384992,-0.0999668046367023
46,8.0,-0.1330566388253387,-0.1974146744819123,-0.11114966399849407
47,8.5,-0.1455310165073722,-0.21074486379998802,-0.12128250584945974
48,9.0,-0.16015754129782767,-0.2365100138715519,-0.13155997414412413
49,9.5,-0.1693752651263613,-0.2675748295960183,-0.14317270122007217
50,10.0,-0.17852724788124874,-0.2992903627552508,-0.15511722993255178
51,10.5,-0.19162402050937666,-0.3314777894103784,-0.1666705681230721
52,11.0,-0.2059824262099308,-0.3574605838367546,-0.1782296887847347
53,11.5,-0.2188309822247032,-0.3835444787117268,-0.18880944327712468
54,12.0,-0.23467020148214057,-0.4096419772069062,-0.19815992614650565
55,12.5,-0.25179809480878496,-0.4356701933208953,-0.21180931321570476
56,13.0,-0.2692604168783428,-0.4615508838580773,-0.22402476263274318
57,13.5,-0.28702748782615223,-0.4872104544591025,-0.2335749293850091
58,14.0,-0.3050702218821546,-0.5125799424286335,-0.24376511695794198
59,14.5,-0.3233601951233856,-0.5375949788908834,-0.2559254260966769
60,15.0,-0.3418697051733811,-0.5621957326054208,-0.2671719355853668
61,15.5,-0.36057182317654357,-0.5743216866407224,-0.280156330051227
62,16.0,-0.3794404384008175,-0.5981987108922695,-0.2970127049018182
63,16.5,-0.39845029584081026,-0.6215312135239657,-0.3116538584847035
64,17.0,-0.4173426501818778,-0.6272558226814056,-0.32438507834081226
65,17.5,-0.42966040364056335,-0.6095069800610305,-0.33990129511117945
66,18.0,-0.4431779978493018,-0.53876319993804,-0.3574093749207523
67,18.5,-0.46080173722947704,-0.5429240728105147,-0.37363437745423733
68,19.0,-0.48059224866247496,-0.5561900603435015,-0.38910574268203213
69,19.5,-0.4939122077183764,-0.570624894260141,-0.4044405642212954
70,20.0,-0.504869181383274,-0.5880256242086441,-0.42031164897804274
71,20.5,-0.5234820552715929,-0.6130679582274792,-0.43850288171183216
72,21.0,-0.5426983868918731,-0.6319327597060075,-0.45503727775022373
73,21.5,-0.5674535423860445,-0.6499771191969939,-0.4765899598094306
74,22.0,-0.5884907709510426,-0.6659591178290661,-0.49860044998122355
75,22.5,-0.6074926060523506,-0.6814578900011257,-0.521054575989522
76,23.0,-0.6292109251973204,-0.7008155501652034,-0.5439367297475529
77,23.5,-0.6500977024623307,-0.7221302727426341,-0.5676771421861189
78,24.0,-0.6666476392817817,-0.7402485558031858,-0.5930959639067122
79,24.5,-0.6882937035526062,-0.7606364384081539,-0.6125520210842332
80,25.0,-0.7061511042151745,-0.7890031912015686,-0.6327322598243897
81,25.5,-0.7231983464544707,-0.8074714601054901,-0.654075095953449
82,26.0,-0.7467726900857432,-0.8313788276779063,-0.6751696390392371
83,26.5,-0.7622817691075934,-0.8467331235611311,-0.6924476836520419
84,27.0,-0.7813444907441944,-0.8650100317202347,-0.7117116557666157
85,27.5,-0.7920580788394427,-0.8883751293571638,-0.7182166219433375
86,28.0,-0.8108480799692064,-0.9033616837465386,-0.7299924783990066
87,28.5,-0.8272972992993248,-0.9186840293048256,-0.7509441544369018
88,29.0,-0.8386106148058632,-0.9415239441060826,-0.7622817691075934
89,29.5,-0.8562767827905327,-0.9681185085570491,-0.7844786256234326
90,30.0,-0.8698216476908742,-0.9944556892929253,-0.7948658055968592
91,30.5,-0.8873683543156021,-1.0205157339932207,-0.8077420034682468
92,31.0,-0.8999939277172855,-1.0462798126888875,-0.8226066369963747
93,31.5,-0.9172735496116562,-1.0716748576375452,-0.8323872136744782
94,32.0,-0.9293107089951603,-1.091756959293644,-0.8437681679533526
95,32.5,-0.9422332230446213,-1.1116070499176431,-0.8549231935195051
96,33.0,-0.9597614884569036,-1.1312164586672913,-0.8658591698557709
97,33.5,-0.9767087259662464,-1.1505769441080878,-0.8765832504583217
98,34.0,-0.9896999674987181,-1.1696806873994143,-0.8871028207164456
99,34.5,-1.0023849244272747,-1.1885202851925822,-0.8974254576995437
100,35.0,-1.0147618486095116,-1.2070887422723635,-0.9075588918664237
101,35.5,-1.0268293304988103,-1.2344189025698606,-0.9125573546227196
102,36.0,-1.038586284427527,-1.2522815014252078,-0.92242172725576
103,36.5,-1.0500319342693591,-1.2698515793865637,-0.9321166594456805
104,37.0,-1.0611657994840231,-1.2871238813372252,-0.9416501448211114
105,37.5,-1.0719876815459304,-1.3040935164793508,-0.9510301818391901
