,t,rollMed,perc25,perc75
0,-15.0,-0.4587647439021936,-0.8561891384573392,-0.36563117005367296
1,-14.5,-0.5425915773313726,-0.8103388168973793,-0.3613847783005486
2,-14.0,-0.5888595041653282,-0.7656201841191952,-0.34258047823786253
3,-13.5,-0.5507316961846671,-0.719996705927565,-0.3352530211136089
4,-13.0,-0.5252731399451429,-0.6916628395862267,-0.3217781283670913
5,-12.5,-0.512364902050376,-0.6615394225025043,-0.30523601189044003
6,-12.0,-0.4740660476631364,-0.6153286908101254,-0.27955820964491807
7,-11.5,-0.4324043029601714,-0.5714620438062993,-0.26552353591078415
8,-11.0,-0.3968965975392557,-0.5231631908250816,-0.2409663595399114
9,-10.5,-0.36229749810957323,-0.4744908723167771,-0.2182947364179224
10,-10.0,-0.32687545633768467,-0.43241389527169527,-0.19942895427608387
11,-9.5,-0.29270992217760916,-0.3917834975960117,-0.1808756442816637
12,-9.0,-0.2599719885247913,-0.352601918809925,-0.16280374376225104
13,-8.5,-0.22881203441676434,-0.31531821170251906,-0.1460983522326924
14,-8.0,-0.1993605381825695,-0.28195027369457115,-0.1264949309743324
15,-7.5,-0.16662689427786992,-0.24747342789240867,-0.11200449319541178
16,-7.0,-0.1403224599231334,-0.21030432275976696,-0.09391495169497499
17,-6.5,-0.11724843090902926,-0.18155110118595386,-0.07977455213047224
18,-6.0,-0.09995507492818123,-0.1514548792822633,-0.06394110902862593
19,-5.5,-0.08070354153655934,-0.12409575497026837,-0.051442892707486365
20,-5.0,-0.06303778945533889,-0.10060168864617536,-0.040698738128376544
21,-4.5,-0.04951047688158272,-0.0822557757047675,-0.032067766637322526
22,-4.0,-0.03948089397531429,-0.06582260853770883,-0.024104071448552034
23,-3.5,-0.027926151429173984,-0.05056556789172045,-0.017261802788639757
24,-3.0,-0.02240410175571772,-0.03893270439955243,-0.010666730561686655
25,-2.5,-0.015368039694628077,-0.026360988715168565,-0.006361481119227075
26,-2.0,-0.009226030061788792,-0.01754490502021011,-0.0028917806922929
27,-1.5,-0.004497939885689917,-0.01090808324251974,-0.0007953916463570021
28,-1.0,-0.0018694752234245104,-0.006483368623771413,-0.00020554434540309696
29,-0.5,-0.0012533344088469511,-0.0039491391534509646,-0.00012303803039676042
30,0.0,-0.0011830313188931907,-0.0031292832640530677,-1.5115018274558523e-05
31,0.5,-0.0011538877890922006,-0.004414922919800279,0.0
32,1.0,-0.0022954247823814278,-0.007910715529762635,0.0
33,1.5,-0.005021050659358206,-0.01319048309299331,-0.001115853556081292
34,2.0,-0.00892807783646865,-0.018819777456401954,-0.002959290798920766
35,2.5,-0.013509085880408,-0.025506896868734974,-0.005642422693563298
36,3.0,-0.019254118380473972,-0.033472184764433255,-0.009075062001767442
37,3.5,-0.026897993789627872,-0.04467128513284124,-0.013304172389502933
38,4.0,-0.03432090638363061,-0.056563154092636125,-0.01755866888836377
39,4.5,-0.04383713760688179,-0.06905265329835336,-0.02329898108565248
40,5.0,-0.055648701838536985,-0.0808953601967935,-0.029133975707011095
41,5.5,-0.06451708330896,-0.09320749222109509,-0.03452936202891027
42,6.0,-0.07481819187816718,-0.10746822753376556,-0.04159816487479706
43,6.5,-0.08740257779831939,-0.12191599903798894,-0.04879881923805096
44,7.0,-0.10073191954888117,-0.1371834125406312,-0.05725940275983832
45,7.5,-0.11292678535015321,-0.15462560506538586,-0.06725860568871056
46,8.0,-0.1250656965066419,-0.17408061286141602,-0.07802179346596916
47,8.5,-0.1385736018055882,-0.18889899608565236,-0.087892281210664
48,9.0,-0.15385718644395652,-0.2063985303163624,-0.09719620488119901
49,9.5,-0.1685625831369535,-0.22549108921465094,-0.1068266173007586
50,10.0,-0.18158368976071015,-0.2453402051568681,-0.11600144063398482
51,10.5,-0.19516055399130283,-0.2664319949219434,-0.12753909832738336
52,11.0,-0.20908249359461384,-0.28812673632410385,-0.14003360879782073
53,11.5,-0.2257957367196547,-0.31232394763445315,-0.15205617120637005
54,12.0,-0.24101114788939326,-0.33701582455512047,-0.16317158123565034
55,12.5,-0.25288856119395675,-0.3603828293954918,-0.1742222436042562
56,13.0,-0.26837090508664585,-0.385662497390423,-0.18298670987134996
57,13.5,-0.2860249138937362,-0.4130492064861929,-0.1941082036036338
58,14.0,-0.3058237987509377,-0.4406003102532621,-0.202129976225709
59,14.5,-0.33478125999606234,-0.46530493355896274,-0.21434694285412992
60,15.0,-0.3570607587614252,-0.4935250534142479,-0.22453606491472983
61,15.5,-0.3777421580419872,-0.5152766674621012,-0.2417466527748317
62,16.0,-0.4079722216644778,-0.5388642368957282,-0.2548032279884406
63,16.5,-0.42972650295831805,-0.5603177847706364,-0.27021113984994527
64,17.0,-0.45174286535460817,-0.5814582909875288,-0.28420904261909574
65,17.5,-0.4739959430833792,-0.6067019168896415,-0.3009622516205843
66,18.0,-0.4956457949160715,-0.6328665834759297,-0.31778579853928124
67,18.5,-0.5157160388354014,-0.6555257592983592,-0.331636944465043
68,19.0,-0.53577867161457,-0.6748402169309751,-0.34569501298478744
69,19.5,-0.5569386462526721,-0.694895518845035,-0.359955144534821
70,20.0,-0.5797096098389959,-0.7160458635054991,-0.37778840545933356
71,20.5,-0.6004109508927367,-0.7408752588950647,-0.4068925155435196
72,21.0,-0.6214665697492827,-0.7609301185113488,-0.4272929727161803
73,21.5,-0.6449306773815655,-0.7790673572617353,-0.447200332312911
74,22.0,-0.6679921761784362,-0.8013614117334171,-0.47288570730233737
75,22.5,-0.6891883629606419,-0.8249876581945494,-0.4950173678389941
76,23.0,-0.71313624528263,-0.8478399368791653,-0.5179242447388688
77,23.5,-0.7385719851693014,-0.8727425010087029,-0.5421262777419589
78,24.0,-0.75917241128192,-0.890410965294139,-0.576859253894118
79,24.5,-0.7786149033240999,-0.9136945390883224,-0.611241639532146
80,25.0,-0.7957547160336569,-0.9332364791512537,-0.6306934112537208
81,25.5,-0.8132471639804263,-0.9546136635744922,-0.649968809004271
82,26.0,-0.8307157604272292,-0.9751684643400607,-0.6690447330457694
83,26.5,-0.8462876665210741,-0.993073429490374,-0.6878990635037772
84,27.0,-0.8613916106381769,-1.0112584624732608,-0.7065106776638341
85,27.5,-0.8788492096065594,-1.0282668748468957,-0.7183553002307344
86,28.0,-0.8907005904632692,-1.0484648250784154,-0.733193887227837
87,28.5,-0.9050623726946281,-1.0660213070175129,-0.74742512646971
88,29.0,-0.9178890992967834,-1.0877030899033495,-0.7606931951225322
89,29.5,-0.9297385863901919,-1.1049009467587763,-0.7738006463729645
90,30.0,-0.9406464263755459,-1.1231677621938703,-0.7867435386528814
91,30.5,-0.9561164628231686,-1.1411264560032572,-0.7995179303941571
92,31.0,-0.9720435663840163,-1.1574068182578445,-0.8120285089504886
93,31.5,-0.9860872598721544,-1.1748566416294168,-0.8202775213995741
94,32.0,-0.9997608521446362,-1.1901195457311193,-0.8284351605935241
95,32.5,-1.0075660798015047,-1.2043726176051341,-0.832513980190499
96,33.0,-1.0259878196665686,-1.2178056359894538,-0.8364982401180603
97,33.5,-1.0407007118399694,-1.2291997593788597,-0.8450495328101058
98,34.0,-1.0551026587337096,-1.238948627356507,-0.8538895752262461
99,34.5,-1.076152389721957,-1.2540973945683485,-0.865049195631379
100,35.0,-1.0963964661137697,-1.2748705911455411,-0.8758833075720058
101,35.5,-1.1133810940803242,-1.3010336507748836,-0.8809677432227759
102,36.0,-1.1286007283850734,-1.318192256530165,-0.8938798963692216
103,36.5,-1.1469750832173293,-1.3410377660156731,-0.8997507506584315
104,37.0,-1.1644261125764226,-1.3564849577926839,-0.9121708822370764
105,37.5,-1.1756866768246548,-1.3763141329595039,-0.9197212028228742
106,38.0,-1.1871031217791517,-1.3935558312680039,-0.9310107043222413
107,38.5,-1.197176883965052,-1.4082228554210658,-0.9422282470629497
108,39.0,-1.219302199713625,-1.4228432160450293,-0.9570319449029461
109,39.5,-1.2516206476198652,-1.4408091275166797,-0.9716737767689767
110,40.0,-1.2845807938814309,-1.4564848187533816,-0.9861451798745324
111,40.5,-1.3097486383949173,-1.4611945624965172,-0.9968647026886428
112,41.0,-1.32671698069278,-1.4703177585925098,-1.0110173817907904
113,41.5,-1.3438467605627054,-1.4777106696118367,-1.0249776058325035
114,42.0,-1.3524518162700154,-1.4782746990805533,-1.0353104489885934
115,42.5,-1.3611360674443453,-1.47883872854927,-1.0455406443835882
