,t,rollMed,perc25,perc75
0,-15.0,-0.5790803960815909,-0.6380791055187769,-0.37875283240886426
1,-14.5,-0.5634433614045375,-0.6166655912659937,-0.3736231793776558
2,-14.0,-0.5301642553863075,-0.5960271600767402,-0.3684935263464474
3,-13.5,-0.49988468214126397,-0.5816650242492085,-0.36336387331523895
4,-13.0,-0.46622050408859056,-0.54339580889219,-0.34264903019147774
5,-12.5,-0.42701229759627085,-0.507925062906236,-0.3217847450697163
6,-12.0,-0.38941060362579577,-0.4735540416069093,-0.3009128472789574
7,-11.5,-0.3534609161241139,-0.4308031435088735,-0.28016470729584897
8,-11.0,-0.3192031499162544,-0.3902975384911428,-0.2596612034180032
9,-10.5,-0.286671583394638,-0.35490926253047567,-0.23701311001054745
10,-10.0,-0.2558947457772718,-0.3224833568037552,-0.21439898410911062
11,-9.5,-0.22724695244949467,-0.2913406058707537,-0.18867836720235318
12,-9.0,-0.1959209152708331,-0.2558947457772718,-0.1602584260720461
13,-8.5,-0.17089975866870283,-0.22055922495398572,-0.1346190321513414
14,-8.0,-0.14304634856285803,-0.1879778660189806,-0.11586031649350947
15,-7.5,-0.12662027472780502,-0.16332894511066942,-0.10098842132194291
16,-7.0,-0.11183190373883489,-0.13956321429800156,-0.09043829437953183
17,-6.5,-0.09726017374082352,-0.12248119623698642,-0.07752389911944801
18,-6.0,-0.0838383048108085,-0.10436334438084521,-0.06319764426298025
19,-5.5,-0.06969833222867916,-0.08755089638464036,-0.05050423893659298
20,-5.0,-0.056711026994414104,-0.0737589691493783,-0.04025708651287119
21,-4.5,-0.04504963209707091,-0.061392107161889475,-0.030664339179438616
22,-4.0,-0.03541819915961719,-0.050229474740530716,-0.022140178354565276
23,-3.5,-0.026922382846882142,-0.03938848394840011,-0.015384652394261122
24,-3.0,-0.019527116295558422,-0.030136989121744395,-0.009959271397425168
25,-2.5,-0.013392379911795593,-0.02185103994791715,-0.005885283121490059
26,-2.0,-0.008300176142964633,-0.014556070793381837,-0.0028768559589988363
27,-1.5,-0.004152519145191547,-0.009027133837431672,-0.0009209483221669368
28,-1.0,-0.001451877330696072,-0.005323689679713417,-0.00023844671956735342
29,-0.5,-0.0010885381038553965,-0.0027008894938944095,-0.00023844671956735342
30,0.0,-0.0010885381038553965,-0.0026299612354937496,-0.00023844671956735342
31,0.5,-0.0010885381038553965,-0.0038432791120550647,-0.00023844671956735342
32,1.0,-0.0026642901587288215,-0.007002680979058928,-0.0002769065558054229
33,1.5,-0.005355580246299119,-0.011051513221884052,-0.0019170956871683575
34,2.0,-0.009460770750332359,-0.01625730724442412,-0.004780152803770754
35,2.5,-0.014424902935709749,-0.02270822022079816,-0.008013422272758308
36,3.0,-0.019902034310490757,-0.029041155792299433,-0.012026324094600443
37,3.5,-0.026122983234589947,-0.03600450219462864,-0.0168877850273855
38,4.0,-0.03337051898045895,-0.044008250600187704,-0.02301285959975613
39,4.5,-0.04175785478801708,-0.05258154117495731,-0.030040829883903386
40,5.0,-0.050971856803911836,-0.06264927874781251,-0.03695250398403643
41,5.5,-0.05942817463423147,-0.07351963294192426,-0.04452385181040569
42,6.0,-0.06798203841296807,-0.08416405298468473,-0.052647827524205354
43,6.5,-0.07716065729393914,-0.09495303355098743,-0.06187893997685334
44,7.0,-0.08847060713238833,-0.10532231529617248,-0.07165811884266682
45,7.5,-0.10028712553794877,-0.1192954938454922,-0.08194289063347131
46,8.0,-0.11034519266233117,-0.1329496839697612,-0.09269192572157765
47,8.5,-0.1211623613083343,-0.1470863218673098,-0.10257746030051429
48,9.0,-0.1322005092595644,-0.1616663849578791,-0.112225422046874
49,9.5,-0.1434255939643847,-0.17597426572145736,-0.12227222624321579
50,10.0,-0.15480538559732282,-0.19229335353042853,-0.13243105484350481
51,10.5,-0.16539801832862003,-0.21005739892933184,-0.14418287053156076
52,11.0,-0.1757515279941337,-0.2282544298365961,-0.15665827946611277
53,11.5,-0.1866364117362984,-0.24656202691882545,-0.16539801832862003
54,12.0,-0.20556917467078809,-0.2657704261309531,-0.1746145783633635
55,12.5,-0.22242124404896746,-0.28772586839201186,-0.18551357353259895
56,13.0,-0.24046130056616014,-0.31377472497700004,-0.20693051838192428
57,13.5,-0.2613464106014973,-0.34019218715951505,-0.22663114556095643
