,t,rollMed,perc25,perc75
0,-9.5,-0.884676262023742,-1.5340901824252589,-0.6415576889587289
1,-9.0,-0.816391282147606,-1.4795088569805444,-0.5605449449196356
2,-8.5,-0.7474898311461864,-1.4593331942505046,-0.527903197310162
3,-8.0,-0.6788336388923142,-1.312204632390702,-0.48593337139938053
4,-7.5,-0.5858677759745816,-1.1631214938917456,-0.43744829105426586
5,-7.0,-0.5452144484367749,-1.0082784950771555,-0.38345344225920597
6,-6.5,-0.48593337139938053,-0.8663273818015557,-0.33561065307698434
7,-6.0,-0.4284071375183949,-0.7352492612789232,-0.2868132600045331
8,-5.5,-0.3570324441395556,-0.613388061050798,-0.24099314332787625
9,-5.0,-0.30069892606238735,-0.5016825082530245,-0.19855849312956242
10,-4.5,-0.25012219241068734,-0.40360129822748103,-0.15826423012727386
11,-4.0,-0.1986172412110292,-0.32324013205346747,-0.12206076757550521
12,-3.5,-0.15584196808843376,-0.24457785661889786,-0.0903402042464091
13,-3.0,-0.10918532447975515,-0.18496697864263023,-0.06842293196148563
14,-2.5,-0.07997129351324261,-0.13348888009122195,-0.0440267733089269
15,-2.0,-0.05055005296266657,-0.09844312605176819,-0.021290653365770407
16,-1.5,-0.02756498070415425,-0.06329758866322022,-0.007403478227876792
17,-1.0,-0.008606764976618608,-0.036490304777234917,-0.0006997851192904747
18,-0.5,-0.004772887761012257,-0.017570114281373117,-0.0007474583562929737
19,0.0,-0.006009130829608189,-0.011581706600433894,-0.001073472590572777
20,0.5,-0.006154740980511497,-0.013148580878407506,-0.0012866506150173151
21,1.0,-0.008040587583099779,-0.022489373264734602,-0.001526117896782253
22,1.5,-0.016445690098548016,-0.03841176643331168,-0.0027982919631286407
23,2.0,-0.031703356637706626,-0.06001894307877287,-0.011352076734194694
24,2.5,-0.048211437637202426,-0.08608500965089683,-0.022284495840253743
25,3.0,-0.07458650675829337,-0.1193195663072727,-0.038082838581419365
26,3.5,-0.09671114710023104,-0.15789617648081594,-0.058032372996828174
27,4.0,-0.12553535082804562,-0.20410011062181888,-0.08127099326640769
28,4.5,-0.16363252688723584,-0.24510603711681678,-0.1078161651656534
29,5.0,-0.2045367907566784,-0.2863270448056006,-0.1377420977203847
30,5.5,-0.2410542460729675,-0.3323617429910085,-0.16555825945006486
31,6.0,-0.28369985697096434,-0.3839189096473673,-0.18868887560742723
32,6.5,-0.32769435711985373,-0.4472062603637825,-0.21989255511741018
33,7.0,-0.38100801201613343,-0.5159477943375457,-0.2578080466463666
34,7.5,-0.4386551349738016,-0.5825828843557255,-0.3039565520218199
35,8.0,-0.4888871545516389,-0.6534406577449694,-0.3453229569900292
36,8.5,-0.5384822189009726,-0.7237592046954614,-0.38193316672013733
37,9.0,-0.5878269824393757,-0.7863671640631182,-0.4290583111588351
38,9.5,-0.6430179165847514,-0.8497168286468509,-0.4779468705272176
39,10.0,-0.7059307287643506,-0.9176715636817189,-0.528430396771491
40,10.5,-0.7692046151151408,-0.990704504807146,-0.5817802660317364
41,11.0,-0.8237982802053101,-1.0739918868541976,-0.6371460818426645
42,11.5,-0.8794378581256752,-1.1605535298812475,-0.6871330764747571
43,12.0,-0.9422179385085037,-1.2339008953872879,-0.7358866889680358
44,12.5,-1.0087627803811898,-1.3010742051403827,-0.8005217598094907
45,13.0,-1.078411480482532,-1.355896766321667,-0.8661835800695236
46,13.5,-1.1483138549900942,-1.4230677566434562,-0.9164770427423299
47,14.0,-1.2182408044524122,-1.4772815048846852,-0.9730596514438785
48,14.5,-1.2879716204924774,-1.5410313134564184,-1.029513456785525
49,15.0,-1.353028066270149,-1.5874538453675209,-1.081842564012762
