,t,rollMed,perc25,perc75
0,-10.0,-0.8076372825905231,-1.2212505148223487,-0.6203899001956472
1,-9.5,-0.7592044579334509,-1.0394285581903544,-0.5524640871518862
2,-9.0,-0.6771669968786966,-0.859983703099747,-0.47172549444463385
3,-8.5,-0.6086599925777885,-0.773846781047471,-0.4191594478120184
4,-8.0,-0.5372781681227057,-0.7160451294958925,-0.38471796560690175
5,-7.5,-0.486853403266806,-0.6737646934937274,-0.3358292085899056
6,-7.0,-0.4138056166739008,-0.5890065505708204,-0.3078742755347288
7,-6.5,-0.365097939578245,-0.5095612140462071,-0.2745677804699485
8,-6.0,-0.3157027433242803,-0.4201054823867869,-0.2360296765611687
9,-5.5,-0.27543201934084127,-0.3717993991434718,-0.19681374470809132
10,-5.0,-0.2360296765611687,-0.3152655293481714,-0.1702068938070737
11,-4.5,-0.1944072483633872,-0.2810142556115456,-0.13614311930696577
12,-4.0,-0.15513332543651837,-0.23612912827280996,-0.10575364418031308
13,-3.5,-0.12504599177742648,-0.18933638327396968,-0.07807876195173238
14,-3.0,-0.09335858363605087,-0.14494805922462856,-0.04894086550415355
15,-2.5,-0.06033977312235983,-0.10639815453047774,-0.031188585018441017
16,-2.0,-0.03807822192191068,-0.07518313539214294,-0.017111741467713104
17,-1.5,-0.021777913145584193,-0.04773421980288717,-0.006586877335914343
18,-1.0,-0.011502538891453806,-0.03169390209405287,-0.0011166483398417082
19,-0.5,-0.004785908580811515,-0.017426782697278043,-0.0009980746099792492
20,0.0,-0.004762078661619817,-0.011160601256857694,-0.0009980746099792492
21,0.5,-0.004762078661619817,-0.011537265677195041,-0.0009980746099792492
22,1.0,-0.005172924996615258,-0.019301880956267725,-0.0009980746099792492
23,1.5,-0.01408290704020003,-0.03463512801684635,-0.0027512950803861846
24,2.0,-0.027568312981294696,-0.053030572680849764,-0.010420199615011061
25,2.5,-0.04406759360431778,-0.07599168723305882,-0.019344701505154438
26,3.0,-0.06499954330925473,-0.10144302908318542,-0.03534411500343903
27,3.5,-0.08844161842693277,-0.12977589597655198,-0.052777326885073084
28,4.0,-0.11673762295767798,-0.16203106933470257,-0.07518863442964085
29,4.5,-0.1495279563456544,-0.20053795649980444,-0.09864447079714456
30,5.0,-0.18334184871223025,-0.24321927334448668,-0.12456195192326458
31,5.5,-0.21578846564921517,-0.29121835437804133,-0.1576218753053557
32,6.0,-0.2537838983708307,-0.33812891171074205,-0.18593451921600032
33,6.5,-0.2941999108928739,-0.3828553763706191,-0.22330065267477273
34,7.0,-0.3419283415636324,-0.42727158099030016,-0.2610109198022754
35,7.5,-0.38876098752845234,-0.47405465498957194,-0.2992084889129618
36,8.0,-0.4343542682815187,-0.5214781583298462,-0.3392860478299082
37,8.5,-0.47985712637195466,-0.577634180544912,-0.3808676221034472
38,9.0,-0.5261828779419195,-0.6351313188561662,-0.42279426613257215
39,9.5,-0.5733970927437562,-0.6863463635905489,-0.46465501102069995
40,10.0,-0.6238648394488067,-0.7413242055303153,-0.5080902386818118
41,10.5,-0.6796992085862801,-0.7945419433229362,-0.5498618227469838
42,11.0,-0.7308399133937993,-0.8460204052538407,-0.595674479236183
43,11.5,-0.7794272674037493,-0.9034419379514986,-0.6404134391597089
44,12.0,-0.8275837514180423,-0.9639155662040237,-0.6868209150552302
45,12.5,-0.8789737192784297,-1.0234009702989888,-0.733700026770016
46,13.0,-0.9291581466089349,-1.079421345910719,-0.7806514412374255
47,13.5,-0.9758248981796216,-1.1306613563044472,-0.8274994642556566
48,14.0,-1.0219670049151457,-1.183537473044769,-0.8756656743468461
49,14.5,-1.0675094409530317,-1.2339983354209316,-0.9190227114199878
50,15.0,-1.1106017047212142,-1.2827577774532024,-0.9627533461330418
