,t,rollMed,perc25,perc75
0,-15.0,-0.8060764490974579,-0.9906223187387123,-0.46932789456793644
1,-14.5,-0.7959581863852991,-0.9571907001977086,-0.45042782287985084
2,-14.0,-0.7603636289750506,-0.9456219836619628,-0.4412109035431948
3,-13.5,-0.7095821735754004,-0.9286281924465738,-0.42780332144428823
4,-13.0,-0.6729369576970119,-0.8869061110228974,-0.41923396512271194
5,-12.5,-0.629691295583684,-0.8292956258708388,-0.4086046658811995
6,-12.0,-0.5722560431944563,-0.7603636289750506,-0.384917860745277
7,-11.5,-0.5261235461202283,-0.6958833401290598,-0.3562996690629303
8,-11.0,-0.48064931807081734,-0.6472990001727963,-0.3384167306359416
9,-10.5,-0.4481742389124572,-0.5959657869167991,-0.3138898281169771
10,-10.0,-0.4154546334107827,-0.5476314432135467,-0.29342766643560214
11,-9.5,-0.3794125356866722,-0.503831266041644,-0.2647131788567554
12,-9.0,-0.340107637735386,-0.4573857146472844,-0.23794916231468388
13,-8.5,-0.30691471780055357,-0.4146304674729728,-0.20860278638305207
14,-8.0,-0.2715733777291318,-0.36818745447485246,-0.18520433637683664
15,-7.5,-0.23578955401737556,-0.3218393375541981,-0.15262025291102455
16,-7.0,-0.20306405589928023,-0.2805994496231139,-0.12956057525839793
17,-6.5,-0.17233850006959361,-0.2486124238191334,-0.1095883770735595
18,-6.0,-0.1452452708444616,-0.2089639120784853,-0.08983223332268331
19,-5.5,-0.11967802497488145,-0.17464331170681557,-0.07240161142060231
20,-5.0,-0.09714367478212382,-0.1459306790955862,-0.05878879637732179
21,-4.5,-0.076707413118838,-0.12068786175619817,-0.04684781148138417
22,-4.0,-0.058833582361522474,-0.09769362967531592,-0.034241626718336526
23,-3.5,-0.043856207637162026,-0.07639966432695355,-0.02347656917223162
24,-3.0,-0.029966327242135993,-0.056216911349999066,-0.01507497375635114
25,-2.5,-0.01999052866936779,-0.03979323662684919,-0.008696579162492224
26,-2.0,-0.011609234318665784,-0.02630207444956345,-0.0040912505320704895
27,-1.5,-0.005064083414008103,-0.015520699050597386,-0.0009613549460532056
28,-1.0,-0.0024497128446943073,-0.00876101261889528,-0.0003916348270012193
29,-0.5,-0.001856425337027845,-0.00460130086605659,-0.0003916348270012193
30,0.0,-0.001856425337027845,-0.005049559680288973,-0.0003916348270012193
31,0.5,-0.00249700087276139,-0.007911306364904114,-0.0003916348270012193
32,1.0,-0.00558256741804497,-0.015044634503580845,-0.000908476846183337
33,1.5,-0.010208214047933761,-0.02284780321449459,-0.003681201693554348
34,2.0,-0.016691658393185982,-0.030946627125013282,-0.008074200086386485
35,2.5,-0.02656443908236028,-0.04539434291461808,-0.015010946119532242
36,3.0,-0.0367853448535953,-0.0575365765134368,-0.022297561140874833
37,3.5,-0.047411442091766176,-0.07104767284566882,-0.03088196857278358
38,4.0,-0.06178548433406794,-0.09179364811372492,-0.038789073049744216
39,4.5,-0.07444427770348083,-0.11318110881003013,-0.050346576870867854
40,5.0,-0.09154804741480982,-0.13613988637516705,-0.061655874626765916
41,5.5,-0.10787123203936977,-0.1600415295806017,-0.07390614448663113
42,6.0,-0.12489493180338229,-0.18681229018380652,-0.08746037815260577
43,6.5,-0.14097467349557458,-0.2128058855242061,-0.1017427645764335
44,7.0,-0.15975089745675852,-0.23759340602620105,-0.11755705953696138
45,7.5,-0.18112262664793022,-0.2622336305289732,-0.13360371697368878
46,8.0,-0.20182646617082511,-0.2869501564706347,-0.1496755357252959
47,8.5,-0.22210053238657146,-0.31782384707264466,-0.16717776637710524
48,9.0,-0.2419083869562808,-0.34909357137030844,-0.18535507561075004
49,9.5,-0.2635641362942951,-0.38236365434560177,-0.2041545636541291
50,10.0,-0.2842513367434174,-0.41667384767638843,-0.2228752172800632
51,10.5,-0.30563969542819924,-0.45151429652506625,-0.24178439164592547
52,11.0,-0.32711667593139104,-0.4826859470483873,-0.26236891557079267
53,11.5,-0.34854775474414224,-0.5132935496281705,-0.2817905281654667
54,12.0,-0.369944010504051,-0.5439446342355589,-0.30111487499445
55,12.5,-0.3908531325643061,-0.5756250254100186,-0.32067252888751185
56,13.0,-0.41292207627251676,-0.6073001099195752,-0.340423600183816
57,13.5,-0.43471302644060383,-0.6397141916917897,-0.3629836677311403
58,14.0,-0.45868591552082094,-0.6720109014378979,-0.382765063028349
59,14.5,-0.4819608086645113,-0.7023471841960092,-0.40256481504853914
60,15.0,-0.5055903601270195,-0.7304923917573296,-0.42229728633036345
61,15.5,-0.5318847541069291,-0.7608436401469119,-0.4404457735141494
62,16.0,-0.5528485019505314,-0.7898311556755973,-0.46091124486120116
63,16.5,-0.5749635789442613,-0.8241939706744215,-0.48109608864240405
64,17.0,-0.5998562233635618,-0.8541509265024736,-0.5043065613521127
65,17.5,-0.6217060221934194,-0.88130632274828,-0.5248888524845048
66,18.0,-0.6392131145683952,-0.9063523649216974,-0.5461765880186581
67,18.5,-0.6609518159857597,-0.9300723669996591,-0.566122165692111
68,19.0,-0.6862315912076946,-0.9547917312543452,-0.5850212212106977
69,19.5,-0.7058857883089837,-0.9805588299475092,-0.604111340937398
70,20.0,-0.7288067164814667,-1.0056137840397028,-0.6244994828620778
71,20.5,-0.7539635842630488,-1.0318783221916386,-0.6404474386271739
