,t,rollMed,perc25,perc75
0,-15.0,-0.6876285873906862,-1.0693885990990566,-0.5020336392360623
1,-14.5,-0.6876285873906862,-1.0635076481020285,-0.5020336392360623
2,-14.0,-0.713082641764567,-1.0516415595034676,-0.5112578244340447
3,-13.5,-0.7801354343185175,-1.0279093823063459,-0.500632864414289
4,-13.0,-0.7782741330813518,-1.0012120985715494,-0.49598397066418487
5,-12.5,-0.7727065046027768,-0.9645106607532803,-0.47296594432289
6,-12.0,-0.7500805868935272,-0.957726327801264,-0.47605525232892315
7,-11.5,-0.7087218067192493,-0.9000624808057829,-0.4571727786550646
8,-11.0,-0.6613474218774567,-0.8502128987779116,-0.4296709135991996
9,-10.5,-0.6176723228425702,-0.7859892862605298,-0.38678892172620766
10,-10.0,-0.5632896951734407,-0.7372756034444947,-0.3558948358050893
11,-9.5,-0.5044515859891767,-0.6716558252920803,-0.32505483484140696
12,-9.0,-0.4538598706768032,-0.6031580274227157,-0.29628710137423603
13,-8.5,-0.4021168845567593,-0.5554032124212807,-0.26599492396411506
14,-8.0,-0.3545067287274044,-0.4878596627083791,-0.2330224201986999
15,-7.5,-0.3056383234221185,-0.4294685013593109,-0.2095657667839343
16,-7.0,-0.2677010309923027,-0.3838303768308826,-0.18218490705188367
17,-6.5,-0.23230486733550038,-0.32870501513268957,-0.15486223848969205
18,-6.0,-0.1949771136854821,-0.28452872956138187,-0.12812204362526813
19,-5.5,-0.16260216335739974,-0.24286868301810527,-0.1041082012589456
20,-5.0,-0.1315709226250923,-0.200998721289956,-0.08114487059075337
21,-4.5,-0.10370765782749114,-0.16227984231483905,-0.06406569081218885
22,-4.0,-0.07970023148232538,-0.12800134932749252,-0.04687789972983236
23,-3.5,-0.060760183586581196,-0.09855735195170401,-0.034370470268387965
24,-3.0,-0.04247729919114196,-0.0783408481949186,-0.02249535443794315
25,-2.5,-0.029281077641293007,-0.05645884208542806,-0.013603773057946689
26,-2.0,-0.017535497647618747,-0.03861629492929186,-0.007073355412983928
27,-1.5,-0.009371348881545671,-0.02401875892886718,-0.0021966797092585755
28,-1.0,-0.0038920545189782274,-0.013718686467263833,-0.0006156193388511255
29,-0.5,-0.002705077584488791,-0.007807618166319363,-0.0003639725305837338
30,0.0,-0.0026394799368656408,-0.006005839513731459,-0.0003662498088790045
31,0.5,-0.002705077584488791,-0.00794659429101996,-0.00038412788367825357
32,1.0,-0.0050295082816749215,-0.014473403900733928,-0.0006156193388511255
33,1.5,-0.010925820265204278,-0.02428664386648416,-0.0029299440594821036
34,2.0,-0.019015468310641825,-0.036602529596099664,-0.007712111929819798
35,2.5,-0.027705140950575746,-0.05107020489006753,-0.014006100458389348
36,3.0,-0.040239008237215046,-0.06785077834045716,-0.022752924162336985
37,3.5,-0.05556767199617951,-0.08763931315050555,-0.03262309319546908
38,4.0,-0.07038495497619923,-0.11172409103791092,-0.043928884736986085
39,4.5,-0.08814628754992793,-0.13608718403740316,-0.05561819677688362
40,5.0,-0.10871535630769191,-0.1662728152492654,-0.06795005094001733
41,5.5,-0.12726419166415504,-0.19644529120344945,-0.08312451308595609
42,6.0,-0.14993788647928952,-0.22819346663159346,-0.10018474198518028
43,6.5,-0.17428218663013695,-0.2642795937882594,-0.11831477205847918
44,7.0,-0.2002274297493818,-0.2993152164849562,-0.13537803608035687
45,7.5,-0.22354488671888695,-0.3336071613494802,-0.15287023262847393
46,8.0,-0.24714513435345786,-0.3724252058017543,-0.1719065377116391
47,8.5,-0.27181337846088205,-0.4172745783340063,-0.19320616999728385
48,9.0,-0.296916327622307,-0.45844041895473575,-0.2143242748440093
49,9.5,-0.32253989085859036,-0.4938805082179256,-0.23624687741876782
50,10.0,-0.3520030872012363,-0.5359745366136077,-0.25763370976829436
51,10.5,-0.38228712165082257,-0.5766730959210669,-0.2820812458151132
52,11.0,-0.4130402495271337,-0.6169854919053401,-0.31037216002184564
53,11.5,-0.4408811414051099,-0.6536261940017372,-0.33510400999254264
54,12.0,-0.47180199185665117,-0.6963062639126489,-0.36047494241137534
55,12.5,-0.4987376064144555,-0.7405210020205955,-0.3869868374197363
56,13.0,-0.5268199242305946,-0.7810787415566427,-0.4134102816128302
57,13.5,-0.5553302875751334,-0.8215764697423555,-0.43965957634929387
58,14.0,-0.5837252546963032,-0.8560813344399278,-0.46589484432385914
59,14.5,-0.6119618636899802,-0.8897470857660696,-0.4917422867187182
60,15.0,-0.6392015847631158,-0.9248652743833004,-0.5155827371416035
61,15.5,-0.6742983624647563,-0.9568770226687515,-0.5375122594559836
62,16.0,-0.7010112398510682,-0.9927793874160029,-0.5660020869167711
63,16.5,-0.7267540176906115,-1.027712267549357,-0.5911458813470116
64,17.0,-0.7505167699533268,-1.0664797451071522,-0.6170596191578919
65,17.5,-0.7738272230029903,-1.0942594502434722,-0.6415044127350422
66,18.0,-0.7990436994958606,-1.1226777438327844,-0.6672297026264495
67,18.5,-0.8259988720845342,-1.1519421595728876,-0.6899989459115907
68,19.0,-0.8509381537455798,-1.1787842860078885,-0.7140765094828796
69,19.5,-0.8769181292264914,-1.2053732743464738,-0.7381429573067824
70,20.0,-0.9037061596339628,-1.2277250921992031,-0.7647972669647022
71,20.5,-0.9326345106859384,-1.2646614489377317,-0.7861402364748936
72,21.0,-0.9512061493127002,-1.290994415905322,-0.8074276424644845
73,21.5,-0.9765366426871525,-1.31241563276349,-0.8316335887880608
74,22.0,-0.9970121402149228,-1.3312497203766387,-0.8537098717435044
75,22.5,-1.0165806193426377,-1.349639850524191,-0.8737562277304595
76,23.0,-1.0353083132713776,-1.3697673153350285,-0.8943520553257773
77,23.5,-1.0567406315526424,-1.389734703898448,-0.914089381098404
78,24.0,-1.075387958519625,-1.4125344631283667,-0.9332254637419075
79,24.5,-1.0909778205509886,-1.4359603052070298,-0.9517940033414296
80,25.0,-1.112658227010566,-1.4564004241613406,-0.9723811268859084
81,25.5,-1.1262377616071089,-1.4770669771529128,-0.9888127856274816
82,26.0,-1.1446630907857216,-1.4980006397077226,-1.0054307352871883
