,t,rollMed,perc25,perc75
0,-7.5,-0.5468326781213242,-0.7715990100981696,-0.4355114548798344
1,-7.0,-0.5216500900907581,-0.7162279956231679,-0.3958254964978265
2,-6.5,-0.5030964222645729,-0.6964357768544662,-0.35603762497272173
3,-6.0,-0.4469768141093229,-0.6431833991607352,-0.31631415631364845
4,-5.5,-0.4124066807056943,-0.5991356865924344,-0.2773556029112172
5,-5.0,-0.3424378723213173,-0.5167317849061432,-0.2416022708171558
6,-4.5,-0.2622612681435008,-0.4124066807056943,-0.19361063854718807
7,-4.0,-0.2083638669881901,-0.3261054529796981,-0.14211566992662716
8,-3.5,-0.16479115554951607,-0.25198148531859066,-0.10366448571498932
9,-3.0,-0.12070956478165362,-0.19430790697091815,-0.0718665280668227
10,-2.5,-0.09499946988038843,-0.14622942361758318,-0.04772272500488839
11,-2.0,-0.06452580140959197,-0.10655965749998697,-0.02594265434605747
12,-1.5,-0.040719347945058715,-0.07753247249247952,-0.011159554012575512
13,-1.0,-0.021346777538367334,-0.04826549637917932,-0.0026483475078429297
14,-0.5,-0.00803177208531558,-0.027249609138112196,-0.0019179181403674583
15,0.0,-0.00778299441866892,-0.01960691332446629,-0.001996555022673263
16,0.5,-0.007881669915448697,-0.0193818858745729,-0.0021447778476804125
17,1.0,-0.008677817837465573,-0.03396436993166141,-0.002293000672687562
18,1.5,-0.024012317324618948,-0.060846946656502254,-0.004805966154531438
19,2.0,-0.04447076049595999,-0.09383788952570171,-0.016730097776708752
20,2.5,-0.07607683727261616,-0.13170956975695214,-0.033674361177519874
21,3.0,-0.1147196679472331,-0.18157498881938816,-0.057644672183946755
22,3.5,-0.15565188214694903,-0.22719830608570923,-0.08452648901187676
23,4.0,-0.19291041657913555,-0.28270268284550015,-0.1192620557868671
24,4.5,-0.24835735392357838,-0.3457138785496956,-0.16415250896554467
25,5.0,-0.2993769132256059,-0.42108330713938136,-0.20773254580225142
26,5.5,-0.35478673695452523,-0.47912272073028195,-0.2550391764206279
27,6.0,-0.41473843620859396,-0.5460276555589791,-0.3056399690248468
28,6.5,-0.4678588856656729,-0.6172615035980884,-0.3547720562024985
29,7.0,-0.5187595938595919,-0.6771497637362371,-0.4009411110854386
30,7.5,-0.5757932162134729,-0.7622202365230994,-0.453160509923876
31,8.0,-0.6394592554218796,-0.8560915530120234,-0.5083941915422077
32,8.5,-0.6935542873386162,-0.9508986023709514,-0.5592397889761971
33,9.0,-0.7644349550290652,-1.0645248515430854,-0.6064890342041465
34,9.5,-0.8866472061948545,-1.2058102882410893,-0.6348298705702566
35,10.0,-0.9983428153776606,-1.3125241064311477,-0.6850807660169798
36,10.5,-1.1063097970631706,-1.4115578457081384,-0.7302282840577465
37,11.0,-1.181063376587642,-1.5335666853840038,-0.7806303655734719
38,11.5,-1.2535234051708428,-1.675494424378555,-0.8566126972180905
39,12.0,-1.3794592181277814,-1.795034470944453,-0.9420760343265577
40,12.5,-1.4642120809958794,-1.8631642340716903,-0.9706880808216618
41,13.0,-1.5789107472555242,-1.9399580020306635,-1.0423685928598614
42,13.5,-1.6749982767408764,-2.019113301992754,-1.1140665555079954
43,14.0,-1.7889171606978724,-2.1003779723622316,-1.1855907742354237
44,14.5,-1.8674099234404835,-2.165694557564918,-1.2708212399661
45,15.0,-1.9347672237108178,-2.222353002907427,-1.3552643750517799
46,15.5,-1.999945830604024,-2.301992370321365,-1.465909416995725
47,16.0,-2.09309218980266,-2.3958100388260406,-1.6202501870188983
48,16.5,-2.1607823807078637,-2.471072972722241,-1.6884623912192023
49,17.0,-2.229634911530886,-2.5420348836532023,-1.7551508579706074
50,17.5,-2.295923915039017,-2.614907562514241,-1.8201831291378614
51,18.0,-2.3595734760925113,-2.684430808815187,-1.883440078985462
52,18.5,-2.420522834787641,-2.7505441291861388,-1.9448154862776035
53,19.0,-2.524639907698057,-2.8214809193154844,-1.9455939776954119
54,19.5,-2.593188942142513,-2.8658866622350576,-1.8761922155981647
55,20.0,-2.65882358221467,-2.907514393930615,-1.899549611012512
56,20.5,-2.65882358221467,-2.9329635360242015,-1.9456820698309754
