,t,rollMed,perc25,perc75
0,1.5,-0.00831488476614467,-0.020651288753017194,-0.0006158913534763388
1,2.0,-0.014619527894028983,-0.03074594130614461,-0.005349790431553342
2,2.5,-0.022766270229869434,-0.04395301981702815,-0.010347306440336684
3,3.0,-0.03643856230030629,-0.05990465030002845,-0.016717851774565
4,3.5,-0.049096385611374915,-0.08184599236844115,-0.024964752546075886
5,4.0,-0.0624486050448928,-0.10670931875062184,-0.035299221747238985
6,4.5,-0.07728181622983915,-0.13479356999804715,-0.04726091727079254
7,5.0,-0.09357053590950098,-0.16770709543145035,-0.06080481445896019
8,5.5,-0.11129462954703773,-0.20344356630649774,-0.07589943931300733
9,6.0,-0.13043823463382298,-0.24178251558135955,-0.09252512525830062
10,6.5,-0.15098869848322216,-0.2824946845605547,-0.11067219978448245
11,7.0,-0.17293555449533124,-0.32534483228057276,-0.1303391555625975
12,7.5,-0.19626955570648066,-0.370094312452915,-0.15044654581059486
13,8.0,-0.22098177983152525,-0.41650341423662596,-0.17161433124811548
14,8.5,-0.24706281596218826,-0.46433346734784564,-0.19400969099916193
15,9.0,-0.27450203958110886,-0.513348715497278,-0.21760082405197184
16,9.5,-0.30328697956025713,-0.5633179649548694,-0.2423548718027659
17,10.0,-0.3365747162224775,-0.6140160172490443,-0.2682377174399849
18,10.5,-0.3718098639407277,-0.6652248966883114,-0.2936278531468684
19,11.0,-0.4089587111912163,-0.716734884615212,-0.3245149454082356
20,11.5,-0.4480359547775219,-0.7683453731300043,-0.3570601418679026
21,12.0,-0.48904902109249804,-0.8198655515141295,-0.39118426150765406
22,12.5,-0.531997550642533,-0.8711149387941077,-0.4246304202474707
23,13.0,-0.5768730430861257,-0.9219237758647436,-0.4563610035033326
24,13.5,-0.6236586495775853,-0.9721332903780926,-0.4888943484991108
25,14.0,-0.6723290987264114,-1.0215958472408513,-0.5191114770665144
26,14.5,-0.7228507423190624,-1.0701749970803416,-0.5492355079146283
27,15.0,-0.775181707046924,-1.117745434466781,-0.5796001441249109
