,t,rollMed,perc25,perc75
0,-5.0,-0.08079103529027465,-0.16301493974832248,-0.03723039039628162
1,-4.5,-0.06643055423577582,-0.1379116587658722,-0.030393427509729815
2,-4.0,-0.051854942525001224,-0.10728529734072878,-0.026042409559527163
3,-3.5,-0.04290920459486547,-0.08416424781325094,-0.021579875541707344
4,-3.0,-0.029510570661131108,-0.059678914713237274,-0.014765111588132207
5,-2.5,-0.01788730540218858,-0.041061074684344945,-0.008694686389096873
6,-2.0,-0.010420549014824698,-0.029337519563871067,-0.003979524873263834
7,-1.5,-0.005452203183085869,-0.01677255358779875,-0.0007970667633583062
8,-1.0,-0.00248880388158651,-0.009404489213867884,-0.000572199739218876
9,-0.5,-0.0021147192839414686,-0.006247433494270954,-0.000572199739218876
10,0.0,-0.002179413589358248,-0.005322634875040783,-0.000572199739218876
11,0.5,-0.00248880388158651,-0.0068779956358104855,-0.000572199739218876
12,1.0,-0.005087479706458009,-0.012850482563091264,-0.0007017322733593456
13,1.5,-0.010054870242473424,-0.023220934927063785,-0.00324394019800725
14,2.0,-0.017681027170330543,-0.036639260389376815,-0.007529808264973958
15,2.5,-0.02427419794552832,-0.0543146247653894,-0.013177566097528542
16,3.0,-0.03323982997670183,-0.07570536499998903,-0.018192545118525666
17,3.5,-0.0493271125062229,-0.10028282170351788,-0.02453778619249969
18,4.0,-0.06639273656528383,-0.12742922917863098,-0.03261815407655899
19,4.5,-0.08277440525461621,-0.153089581118399,-0.04132864684636117
20,5.0,-0.10050060240041353,-0.18028303317960903,-0.04892192937393089
21,5.5,-0.11942663594050784,-0.2062475571746063,-0.05783000985818437
22,6.0,-0.1394163850815291,-0.23983752846646045,-0.06750122158266639
23,6.5,-0.1603420264337752,-0.2778381727012096,-0.08000633447058325
24,7.0,-0.18208371695419623,-0.30941866546265917,-0.09343573859063395
25,7.5,-0.20452924778399761,-0.33898303388860995,-0.10383715327318788
26,8.0,-0.22757368061392924,-0.37324970398812307,-0.11584946572714128
27,8.5,-0.2511189760440129,-0.4144641573771981,-0.12840960753792796
28,9.0,-0.2750736215200914,-0.44731928562784584,-0.14443854644818863
29,9.5,-0.29935226479368693,-0.4804563295122395,-0.16121574660604654
30,10.0,-0.32387535745644125,-0.5137848385869332,-0.17863949441227228
31,10.5,-0.34856881191231065,-0.5472195182549928,-0.19665354370615917
32,11.0,-0.37336367415715094,-0.5806800070436964,-0.21520151729720072
33,11.5,-0.3981958139083848,-0.6140906702197002,-0.23422721670571972
34,12.0,-0.4230056329516804,-0.6473804086028065,-0.25367490294181233
35,12.5,-0.44773779202587766,-0.6804824813156185,-0.27348954924532454
36,13.0,-0.4723409561347794,-0.7133343411430064,-0.29361706685983524
37,13.5,-0.49676755783855153,-0.7458774811599271,-0.3140045050293522
38,14.0,-0.5209735778255749,-0.7780572913055459,-0.3346002264921193
39,14.5,-0.5449183418826478,-0.8098229236346757,-0.35535405980531465
40,15.0,-0.5685643332562863,-0.8411271650446949,-0.37621742987103324
41,15.5,-0.5629312532532296,-0.7656465312979073,-0.36422646416046717
42,16.0,-0.5740155411946386,-0.7708372921871014,-0.3616468531189294
43,16.5,-0.5850998291360475,-0.7760280530762955,-0.35465503824775
44,17.0,-0.5960266740304889,-0.7810770775889004,-0.3654135256019413
45,17.5,-0.6069535189249303,-0.7861261021015054,-0.3761775110197294
46,18.0,-0.617705434748314,-0.7911751266141103,-0.3869435678447536
47,18.5,-0.6284573505716976,-0.7962241511267152,-0.39770826942065307
48,19.0,-0.639018083048734,-0.8011300087716826,-0.4084610644011343
49,19.5,-0.6599333238567633,-0.8206092190233729,-0.42277674435828294
50,20.0,-0.6804222666590092,-0.8395108438721568,-0.43705483788042576
51,20.5,-0.7004583771395549,-0.8487442696689964,-0.458375670730361
52,21.0,-0.7200174221407143,-0.8667752104702213,-0.47250964654490113
53,21.5,-0.7390774089022305,-0.8842247089260766,-0.4865672135778434
54,22.0,-0.7576185194617966,-0.9010933125245693,-0.5005383812052729
55,22.5,-0.7756230410313978,-0.9173826517472268,-0.5144136274740664
56,23.0,-0.793075293098179,-0.9330953753586488,-0.5281838872969827
57,23.5,-0.8099615519355265,-0.9482350914564108,-0.5418405404890376
58,24.0,-0.8262699731499844,-0.9628063132733491,-0.5553753997082025
59,24.5,-0.8419905128325825,-0.9768144088650406,-0.5687806983561239
60,25.0,-0.8571148478292103,-0.9902655539402829,-0.5820490784878373
61,25.5,-0.8716362955938122,-1.003166687206722,-0.5951735787732246
62,26.0,-0.8855497340404127,-1.0155254677080734,-0.608147622547441
63,26.5,-0.8988515217652603,-1.0273502337204086,-0.6209650059824299
64,27.0,-0.9115394189686186,-1.0386499628553114,-0.6336198864070286
65,27.5,-0.9236125093668774,-1.0441062264095482,-0.6522857415261225
66,28.0,-0.9350711233496117,-1.054636552463684,-0.6645110596279329
67,28.5,-0.945916762602846,-1.064666827583789,-0.676556105440855
68,29.0,-0.9561520263889988,-1.0742079644812979,-0.6884165219871342
69,29.5,-0.9657805396456841,-1.0832713445043698,-0.7000882527322335
70,30.0,-0.9748068830395606,-1.091868780889957,-0.7115675312917815
