,t,rollMed,perc25,perc75
0,1.5,-0.011450392511651808,-0.02380036244077921,-0.0025550432882112672
1,2.0,-0.019005742067128573,-0.03610619028178458,-0.007177187963225029
2,2.5,-0.03062104254446396,-0.051062493989852076,-0.014944847290714769
3,3.0,-0.04521266190431916,-0.07039709437683733,-0.025923315224428922
4,3.5,-0.058890953321160566,-0.09008948080237489,-0.038288607717860856
5,4.0,-0.07629306494056731,-0.1141910308085593,-0.0518746764305158
6,4.5,-0.09827232083222892,-0.1422841604076317,-0.07294894729161344
7,5.0,-0.12448282861684468,-0.17323087458666875,-0.09405497229292004
8,5.5,-0.14826383126247045,-0.20974200340621785,-0.11329393060021509
9,6.0,-0.1741619061840216,-0.25105733962023746,-0.13432709720470726
10,6.5,-0.2083227380967081,-0.2954821949337908,-0.15726751213687284
11,7.0,-0.24711033613519784,-0.34259178334971774,-0.18045764617903792
12,7.5,-0.28867243561002653,-0.3835764412043149,-0.21039905541173454
13,8.0,-0.33268148641825435,-0.42911145093661796,-0.2427581314832078
14,8.5,-0.37316827864706137,-0.4763859312539249,-0.27717980207042225
15,9.0,-0.4152739593774446,-0.5252298385916142,-0.3135705004075563
16,9.5,-0.4588531219708638,-0.5800858633968303,-0.35048874635419147
17,10.0,-0.5037593396568167,-0.6392980954098539,-0.3879024061792259
18,10.5,-0.5498461454479617,-0.7000573202570538,-0.42719572199886013
19,11.0,-0.5969679276844635,-0.7621488676986624,-0.4683271902419073
20,11.5,-0.6449807422242404,-0.827568739673989,-0.5112490232939694
21,12.0,-0.6937430430231744,-0.896116349750125,-0.5559074461074237
22,12.5,-0.743116333452273,-0.9655776574123074,-0.6022430353443311
23,13.0,-0.7929657411892581,-1.0357319678017003,-0.6501910933479732
24,13.5,-0.8431605199114431,-1.1063655972984616,-0.699682049719866
25,14.0,-0.8935744813161168,-1.1772725001535171,-0.7506418837967191
26,14.5,-0.9440863612142634,-1.2482547895581355,-0.8029925618583827
27,15.0,-0.9945801235929888,-1.3191231607959963,-0.8566524834433169
28,15.5,-1.048158104599545,-1.3544525478381004,-0.8989137816163524
29,16.0,-1.1034572652730978,-1.4248149594149524,-0.9549257333025976
30,16.5,-1.159189089132005,-1.4946297222809655,-1.007194214909241
31,17.0,-1.2152620337941027,-1.5637396605674745,-1.0591201058176245
32,17.5,-1.2715861879205352,-1.6319970708840188,-1.1117642938027485
33,18.0,-1.328073516649368,-1.6992637361790823,-1.164434443658999
34,18.5,-1.3846380838723022,-1.7654108865956832,-1.2170396777307166
35,19.0,-1.4318814110924976,-1.8303191131269383,-1.273679454647648
36,19.5,-1.4863901872214873,-1.8938782395377487,-1.3344360099857864
37,20.0,-1.5419481017058732,-1.9559871576763737,-1.3956613170942955
