,t,rollMed,perc25,perc75
0,-6.0,-0.45467579831076677,-0.5513422628174973,-0.32748968834135894
1,-5.5,-0.3806686434351434,-0.500577955038036,-0.3026687042509826
2,-5.0,-0.3308917551837425,-0.461408453892324,-0.2643204232039871
3,-4.5,-0.2892974530187007,-0.399675197524342,-0.2156680954893504
4,-4.0,-0.2643204232039871,-0.3315641075054536,-0.17278805091401672
5,-3.5,-0.2011712413654152,-0.2859579208210741,-0.13612964953759743
6,-3.0,-0.15094730899478725,-0.2278721423947334,-0.10084030453565163
7,-2.5,-0.10736602361618353,-0.18367845740010402,-0.06486337371448003
8,-2.0,-0.06865405355142684,-0.1298716190337572,-0.03160389847539591
9,-1.5,-0.04013590648536791,-0.09081044284311313,-0.01176478608744802
10,-1.0,-0.01678483992749591,-0.05665043490187638,-0.0024819882076694277
11,-0.5,-0.007145445532072303,-0.030702995647938547,-0.0014205783181271414
12,0.0,-0.006925454896864469,-0.01678483992749591,-0.001477456466318472
13,0.5,-0.006952091521856163,-0.01635633610919207,-0.0014782534866704111
14,1.0,-0.006952091521856163,-0.029493560318999634,-0.0014782534866704111
15,1.5,-0.017616418096713105,-0.0488188476102871,-0.0035036971490294277
16,2.0,-0.035893248393305655,-0.07232659523472024,-0.013450117982909848
17,2.5,-0.06016108707864154,-0.1052148680882356,-0.02976493742859887
18,3.0,-0.09011512248114784,-0.14385006601678274,-0.04983248711933719
19,3.5,-0.12198325877249028,-0.18861945265483393,-0.07474057392562033
20,4.0,-0.15775280579333018,-0.2354158897667311,-0.10937225633828745
21,4.5,-0.19743132129296104,-0.28155536484307575,-0.1493169452583638
22,5.0,-0.2422136077182041,-0.3296088325946904,-0.18967752905228674
23,5.5,-0.29251787916752603,-0.3858273780770354,-0.22723144010813678
24,6.0,-0.3431235511792181,-0.44476735136766976,-0.27399513756633675
25,6.5,-0.39264349294305845,-0.5013861063284238,-0.32236118559164284
26,7.0,-0.4521688345079511,-0.5584484422382938,-0.3676182133962178
27,7.5,-0.5082261665755343,-0.6103230058084079,-0.41397916714858285
28,8.0,-0.5600416467452067,-0.6695461058892886,-0.4613582234789
29,8.5,-0.6089921592541373,-0.7370528543270649,-0.5170868201722171
30,9.0,-0.6659583319609367,-0.8042304878950244,-0.5686318459809216
31,9.5,-0.7333943991667106,-0.8688205709821304,-0.6195362373044677
32,10.0,-0.7982590646802912,-0.9375810249372911,-0.6699109340203
33,10.5,-0.855115816977559,-1.0048297942211317,-0.7203585909877654
