,t,rollMed,perc25,perc75
0,-10.0,-0.614143669769537,-0.9029514066047651,-0.4051979612366785
1,-9.5,-0.5423417282419196,-0.8447175759613023,-0.35898093753597937
2,-9.0,-0.4357263606553943,-0.7570985935527645,-0.3002714167299869
3,-8.5,-0.3827748134197497,-0.6721306023247426,-0.24768937713885408
4,-8.0,-0.3130459399376715,-0.5733234249994994,-0.21228534155126255
5,-7.5,-0.25711039439344163,-0.4904981712990518,-0.18764370946307973
6,-7.0,-0.22331378826826254,-0.41037373955809364,-0.1628184766926789
7,-6.5,-0.1992744278554266,-0.32312230102174777,-0.1380359318640556
8,-6.0,-0.17003996723527015,-0.2698008445780805,-0.11658050274413911
9,-5.5,-0.13840097504782478,-0.22134763899839238,-0.09676817368441415
10,-5.0,-0.11584679138049392,-0.17784490382973162,-0.0785790706947882
11,-4.5,-0.09562177641381497,-0.13931978791470756,-0.062107387948532766
12,-4.0,-0.07678222033173243,-0.1080224054345052,-0.04728397382467797
13,-3.5,-0.05545750238191549,-0.08186602182866665,-0.03239665205921938
14,-3.0,-0.037505641066636675,-0.06372069641500944,-0.017342608355437605
15,-2.5,-0.024267066947998295,-0.04731158853338613,-0.008865104663178691
16,-2.0,-0.014687541631676737,-0.03303786103172346,-0.0036318897071598855
17,-1.5,-0.008126129787432212,-0.021423800994841757,-0.0009632819595140063
18,-1.0,-0.003319559442927167,-0.010211633470475046,-0.0005683490050178985
19,-0.5,-0.0030828844367054575,-0.005359469957419982,-0.0005683490050178985
20,0.0,-0.0030828844367054575,-0.0056779653734264635,-0.0005683490050178985
21,0.5,-0.0034739000531068265,-0.009594788729456238,-0.0005683490050178985
22,1.0,-0.005923793025746749,-0.014465902310000445,-0.0010120584336872351
23,1.5,-0.012373908205645767,-0.025671228445780514,-0.003686513287365578
24,2.0,-0.019810139112107272,-0.035779035139080456,-0.00853318920457885
25,2.5,-0.030080309946883155,-0.047449477776481286,-0.015761983159151782
26,3.0,-0.042270621889333615,-0.06092634663405505,-0.02715954573963586
27,3.5,-0.05670789517022623,-0.07810131111093987,-0.03710107050077327
28,4.0,-0.07182958611143908,-0.09378989781749114,-0.047746273092452274
29,4.5,-0.08671947941051528,-0.11069399921559508,-0.06189856140470015
30,5.0,-0.10514552784897746,-0.13030192145305386,-0.08028563483371975
