,t,rollMed,perc25,perc75
0,-11.5,-1.1411379887890232,-1.3526940836081485,-0.9774018495918781
1,-11.0,-1.0720055084470914,-1.2123242294953798,-0.8775075559559519
2,-10.5,-0.9911416597278144,-1.1565243044199762,-0.796393778065442
3,-10.0,-0.9102702575860526,-1.0738880784712994,-0.70509409323038
4,-9.5,-0.8249194822634478,-1.01750861825266,-0.636039976602516
5,-9.0,-0.7172928851034936,-0.9416335606483699,-0.5747059694732064
6,-8.5,-0.6489379983776749,-0.8374203993126164,-0.51928617944787
7,-8.0,-0.5799594042619343,-0.7433831905220948,-0.44525526654263325
8,-7.5,-0.5049545625108767,-0.655766554684038,-0.3765667464877902
9,-7.0,-0.4291953707404996,-0.5757479345983234,-0.3208244358705352
10,-6.5,-0.360655602798601,-0.489423087886633,-0.25719176449729686
11,-6.0,-0.2949673364088786,-0.41442775348489214,-0.20086329514981247
12,-5.5,-0.23456778452501237,-0.3508160147549191,-0.1614701240908678
13,-5.0,-0.18538841795232733,-0.2816717144446865,-0.12197058866050597
14,-4.5,-0.13996767511909236,-0.22740102679067897,-0.0941849795908643
15,-4.0,-0.10453135338926667,-0.17985720982876752,-0.06841598421943429
16,-3.5,-0.08311528725464079,-0.13637184111607165,-0.048378081918469595
17,-3.0,-0.06073890019265704,-0.09957660616385089,-0.03128485496420619
18,-2.5,-0.03992232221391667,-0.07049332806851277,-0.01814264726713699
19,-2.0,-0.02542085394193716,-0.04838481725449478,-0.00922853487187325
20,-1.5,-0.015169358600915395,-0.030812717440255932,-0.0031737704735681493
21,-1.0,-0.006679821636566885,-0.017546538487016483,-0.001164592825868116
22,-0.5,-0.0030470186955189327,-0.00912071978164164,-0.001164592825868116
23,0.0,-0.0030470186955189327,-0.006969488361498577,-0.001164592825868116
24,0.5,-0.0030470186955189327,-0.009482134127310138,-0.001164592825868116
25,1.0,-0.0058900852696355255,-0.01687410505540221,-0.0012356822716301785
26,1.5,-0.012279532851956043,-0.027942192781801545,-0.0034508087628311035
27,2.0,-0.021276124915192374,-0.03975703656077734,-0.009391472901430165
28,2.5,-0.03297528813256001,-0.05347167445348244,-0.017604634307032185
29,3.0,-0.04702202673853684,-0.0692813175003324,-0.02829191993537261
30,3.5,-0.06357121086875939,-0.08743875809800755,-0.04007007019420605
31,4.0,-0.08262429921105774,-0.11109680414269169,-0.053592746326939
32,4.5,-0.10142808178885598,-0.13593701205380487,-0.0695762891731877
33,5.0,-0.12112145747698255,-0.1611219950599126,-0.0889218645706012
34,5.5,-0.1428299463674203,-0.1862341974531283,-0.11035902582963603
35,6.0,-0.1673816530578245,-0.21104207304954153,-0.13181388215567846
36,6.5,-0.1956115290981666,-0.23673761498096957,-0.1571632182852687
37,7.0,-0.2219629501626046,-0.2666645175855429,-0.18266379054712711
38,7.5,-0.24867792003661382,-0.3004033333146632,-0.2064798477923171
39,8.0,-0.27815407769162626,-0.3348652470794342,-0.2315820363538872
40,8.5,-0.3092188221814819,-0.36662890492192135,-0.25756609610202563
41,9.0,-0.33895584865221484,-0.3976348679845323,-0.2843728270535131
42,9.5,-0.3677637031422498,-0.4287583619915684,-0.3122685550552047
43,10.0,-0.3966870448691173,-0.4599830373372699,-0.3401825215842019
44,10.5,-0.4267855873809183,-0.4920813392357121,-0.3714077642560735
45,11.0,-0.4572056138756042,-0.5300886189861465,-0.4037694459151493
46,11.5,-0.4878759496025702,-0.5678950049010649,-0.4366076062019633
47,12.0,-0.5203298527530791,-0.6043946037524832,-0.46982720237159953
48,12.5,-0.5538589437087076,-0.6357913729316074,-0.5033370439888187
