,t,rollMed,perc25,perc75
0,0.0,-0.012919243325445806,-0.02426422605351275,-0.0007208926535515747
1,0.5,-0.014781317259390025,-0.02727611462004742,-0.000992462785676329
2,1.0,-0.01637405591230845,-0.04173489726232027,-0.0024730940745070207
3,1.5,-0.028967274517014863,-0.05939179500071495,-0.006292121909318604
4,2.0,-0.050506755649361246,-0.08612954041739534,-0.020726389620762342
5,2.5,-0.078654337617587,-0.12014137932633018,-0.04173489726232027
6,3.0,-0.10523567755184782,-0.15910988820652405,-0.06527339276591976
7,3.5,-0.13412563359006135,-0.20113932448530503,-0.08987385987169311
8,4.0,-0.1746211024376364,-0.2535756655905317,-0.12693664252814274
9,4.5,-0.2083905555113481,-0.3154333594404024,-0.15246708211775528
10,5.0,-0.2597582797401685,-0.3803948198597733,-0.1891367569194991
11,5.5,-0.31853706148964456,-0.4416634594419673,-0.22080364764540122
12,6.0,-0.3804416443614871,-0.502124525160113,-0.25245120759106643
13,6.5,-0.44479030322715474,-0.5644281509087068,-0.2776459872856086
14,7.0,-0.5053232797309306,-0.6283403855081966,-0.31879151242633347
15,7.5,-0.5677104185417727,-0.6935411828821361,-0.36579064894187346
16,8.0,-0.6318367816653971,-0.7597257442810301,-0.414642458119532
17,8.5,-0.697397375438229,-0.8266053572186702,-0.46503905592873374
18,9.0,-0.7640989229597874,-0.8939079784607296,-0.516685515560357
19,9.5,-0.8316609337918108,-0.9621308839976903,-0.5693010885035934
20,10.0,-0.8998165297797693,-1.0316647071895588,-0.6226201237050755
21,10.5,-0.9683130512480265,-1.1002661981757191,-0.6763927164219234
22,11.0,-1.0369124669496945,-1.1678394119807454,-0.7303851172235778
23,11.5,-1.1053916100731187,-1.2343157564487357,-0.7843799301439496
24,12.0,-1.1735422613784205,-1.299648536342366,-0.8381761273202057
25,12.5,-1.2411710992082883,-1.363808147183571,-0.8915889056487979
26,13.0,-1.3080995347295348,-1.4250705988588663,-0.9444494091015162
27,13.5,-1.4018478480217809,-1.5023259593341405,-1.1835895727140606
28,14.0,-1.4655080020166853,-1.5751410128365486,-1.2935236833293557
29,14.5,-1.5280740670093564,-1.6411821172421241,-1.4018478480217809
30,15.0,-1.5987394417694922,-1.7078451466418383,-1.4727502216634816
31,15.5,-1.6597929036621308,-1.7894382260597297,-1.5256361935220872
32,16.0,-1.7344979807480563,-1.8543888059076608,-1.6122760594112933
33,16.5,-1.7932886428869903,-1.9110308638438132,-1.6820422480534203
34,17.0,-1.8429806577595595,-1.9629938680348573,-1.7410351833674074
35,17.5,-1.8912540818780332,-2.0137742203755735,-1.797959634760054
36,18.0,-1.941798369593685,-2.063228610248558,-1.8486847318336102
37,18.5,-1.995375424692627,-2.1101420993828075,-1.8982032691439352
38,19.0,-2.0429271762068226,-2.161076423110001,-1.9483645113176569
39,19.5,-2.0883947445414055,-2.2102852898405594,-1.999471380531669
40,20.0,-2.128639201801084,-2.257731626926572,-2.043424939562822
41,20.5,-2.164530561174255,-2.3120588348311277,-2.058261554834133
42,21.0,-2.2047658315045173,-2.3534577943322734,-2.1024087081917076
43,21.5,-2.2431580024521116,-2.3934147177702307,-2.147522940301333
44,22.0,-2.2870309962253694,-2.431892796625468,-2.192347240505513
45,22.5,-2.3302427759108215,-2.4688560677533733,-2.23294877822089
46,23.0,-2.371832597743868,-2.504269801033851,-2.264034007314712
47,23.5,-2.4117732700656074,-2.5383447093661324,-2.2904603138135453
48,24.0,-2.4500397555613813,-2.5708919625933886,-2.312860481686956
49,24.5,-2.486609313919547,-2.6015381745045576,-2.333710405875081
50,25.0,-2.5212177791151476,-2.6302870395324547,-2.3530504451041434
51,25.5,-2.554248837016248,-2.6571455291665362,-2.370921654933362
52,26.0,-2.5858741151510825,-2.6825055641048183,-2.387365558619779
53,26.5,-2.615706576981876,-2.70627035499614,-2.4024239413352007
