,t,rollMed,perc25,perc75
0,-5.5,-0.41976238659820425,-0.5173185712175599,-0.3179586477151173
1,-5.0,-0.34259547541204166,-0.44297287025755927,-0.2547503517425382
2,-4.5,-0.25666415750718996,-0.36831271849172953,-0.18581873399123455
3,-4.0,-0.19745683817031423,-0.29805612995557895,-0.1308659715642836
4,-3.5,-0.13685203666745238,-0.23333765898168923,-0.08308193476279624
5,-3.0,-0.09452679907234357,-0.17513996042732424,-0.057915860954166926
6,-2.5,-0.06471551669458964,-0.12636181948127345,-0.03605139692391318
7,-2.0,-0.04926796023523755,-0.08541216523795464,-0.019800939455783956
8,-1.5,-0.029920275772553184,-0.057915860954166926,-0.008404739636314218
9,-1.0,-0.01441906386491798,-0.0343644436049835,-0.0021641549874715227
10,-0.5,-0.005099574079527547,-0.018244078161028937,-0.0010054813774353355
11,0.0,-0.00461689433337753,-0.013197749327414174,-0.0010054813774353355
12,0.5,-0.00461689433337753,-0.012651874355833717,-0.0010054813774353355
13,1.0,-0.00461689433337753,-0.022357322181073724,-0.0010054813774353355
14,1.5,-0.014802162110729045,-0.03641678962739421,-0.004166229529650317
15,2.0,-0.03014892600944541,-0.05819571881916774,-0.01250171550522812
16,2.5,-0.04712934962381615,-0.08529216787801414,-0.02505018989692026
17,3.0,-0.06676962207957599,-0.11649627617416874,-0.041425154895523106
18,3.5,-0.08977911285372248,-0.1468142479794385,-0.06286486095341592
19,4.0,-0.11713991099810761,-0.17893542978258842,-0.08755233786969066
20,4.5,-0.15042378954950314,-0.21303042533406982,-0.11525805791132246
21,5.0,-0.18636745787137698,-0.24879906502667284,-0.1441254226618044
22,5.5,-0.21858896958465585,-0.2859543471262789,-0.17483951161193662
23,6.0,-0.2522156945327982,-0.3285278912317941,-0.20743764251196556
24,6.5,-0.2869906790353516,-0.3708477606767089,-0.24164340695227782
25,7.0,-0.3299717151325271,-0.41402009807409,-0.27719009433218605
26,7.5,-0.3752318897950313,-0.45556608148389854,-0.3108154306694724
27,8.0,-0.42164673668406455,-0.49907984641719855,-0.3454476844449534
28,8.5,-0.46448922867501524,-0.5507085471755484,-0.38054203761774374
29,9.0,-0.5048032084402813,-0.6025866096030894,-0.41590018877815704
30,9.5,-0.5449801173799653,-0.6426984738171684,-0.45133604469916155
31,10.0,-0.5848462860135777,-0.6812049751119615,-0.4868911699295207
32,10.5,-0.6242431846032337,-0.7189249107602468,-0.5261003035760392
33,11.0,-0.6630269379658258,-0.762190569097698,-0.5661192956445273
34,11.5,-0.7010677828004375,-0.8031447848148857,-0.6057252170647756
35,12.0,-0.7382494808847668,-0.8432111878711068,-0.6447685377655809
36,12.5,-0.7744686998240101,-0.8822981779992446,-0.6795876916271912
37,13.0,-0.8096343715154142,-0.920326272392835,-0.7151967057274602
38,13.5,-0.8436670371146751,-0.9572273295349871,-0.7498824466549429
39,14.0,-0.8764981860483136,-0.9932458936353507,-0.783553684172581
40,14.5,-0.8928641219642585,-1.074154817829725,-0.8064396319314848
41,15.0,-0.9233807931270632,-1.1674479051662943,-0.8235415615978314
42,15.5,-0.9381312702285975,-1.233914466294662,-0.8512701620236954
43,16.0,-0.9531788343953411,-1.29870499065043,-0.8671108869147099
44,16.5,-0.9939693185017846,-1.361882411504422,-0.8823044693267974
45,17.0,-1.032369414987501,-1.4233683589625086,-0.896847313925051
