,t,rollMed,perc25,perc75
0,-15.0,-0.9373282612282384,-1.0525814607907864,-0.5835236605742626
1,-14.5,-0.8885860555276849,-1.0045426520381961,-0.5609749911610962
2,-14.0,-0.8375147249762729,-0.9928120266397913,-0.5361396876338166
3,-13.5,-0.7848323040649203,-0.9548436480602849,-0.50940634498325
4,-13.0,-0.6850580194941562,-0.8795050721535906,-0.4665895633471127
5,-12.5,-0.635387062891885,-0.8085590063587886,-0.4215683177172149
6,-12.0,-0.6086186372555522,-0.7685726450398762,-0.40629102160811237
7,-11.5,-0.5854107163900539,-0.7250518424664836,-0.3909199655141378
8,-11.0,-0.5413101364471772,-0.6754726798299064,-0.37553255840562616
9,-10.5,-0.5272601926606219,-0.6656882610142938,-0.3678306793441017
10,-10.0,-0.48050477426629434,-0.6486412916713267,-0.3524269212210528
11,-9.5,-0.44319491502725455,-0.5987659114310167,-0.33381254951853767
12,-9.0,-0.4090634741435798,-0.5503312476750093,-0.3009851162349892
13,-8.5,-0.35982095351281607,-0.49414376989172615,-0.26509415720823487
14,-8.0,-0.3135712984521708,-0.45214647652488277,-0.2312300014652508
15,-7.5,-0.27399109795086574,-0.3955765863858603,-0.19463086873855812
16,-7.0,-0.24136016221579862,-0.34909228481987176,-0.1668974922812111
17,-6.5,-0.20662477168839505,-0.2950851522323674,-0.14100915723230759
18,-6.0,-0.17989984687568655,-0.25399336912558035,-0.11774448958954492
19,-5.5,-0.1520809969424861,-0.2164242578109191,-0.09372683801525614
20,-5.0,-0.11973960485536672,-0.1790180042430478,-0.0716918815158003
21,-4.5,-0.0926337201550364,-0.13568890460633876,-0.050064324060433985
22,-4.0,-0.06649987591628559,-0.10672104089352749,-0.03919401301451747
23,-3.5,-0.04731810205353226,-0.08293117820741445,-0.02785009905324301
24,-3.0,-0.03327767720456315,-0.06200051043825805,-0.018869808531171706
25,-2.5,-0.024442837552886648,-0.04471457951735999,-0.012300795430910935
26,-2.0,-0.014869839803538176,-0.029908837498546142,-0.005910960164534268
27,-1.5,-0.008041125726829024,-0.01886269374102631,-0.001137193580924567
28,-1.0,-0.003470481445809581,-0.012236665784795875,-0.0008833747472951625
29,-0.5,-0.002911745768210461,-0.006260084612337291,-0.0008738895779559774
30,0.0,-0.0028200556934240284,-0.006046140485071294,-0.0008644044086167924
31,0.5,-0.002596349495330552,-0.008806650044783426,-0.0008549192392776073
32,1.0,-0.007019704509175995,-0.016658142492547157,-0.0012447503484622757
33,1.5,-0.013752401750671023,-0.02731762358084522,-0.005047559273928942
34,2.0,-0.022778233981771062,-0.037508728957677706,-0.01063092637435381
35,2.5,-0.03346128023204928,-0.050830723440525416,-0.01793378437154214
36,3.0,-0.04522853730976495,-0.06630679061373429,-0.02786572893082928
37,3.5,-0.05958317074651198,-0.08221457530800985,-0.03843091151808736
38,4.0,-0.07458411475277771,-0.09894785537581718,-0.05163310252126174
39,4.5,-0.08955479294408025,-0.11826229004049432,-0.06707013309899995
40,5.0,-0.1080418885366185,-0.13922863174111927,-0.08265676458661458
41,5.5,-0.12669131195546388,-0.16151254642179397,-0.10031865894298403
42,6.0,-0.14659912318693946,-0.185128233190602,-0.1173503752667368
43,6.5,-0.1655976336643166,-0.20840343655917004,-0.13686661158352473
44,7.0,-0.1863746916606692,-0.2327673183461783,-0.154192995754119
45,7.5,-0.21135137791077357,-0.2579700628998712,-0.17245749113010977
46,8.0,-0.23171321816975327,-0.2878898997551304,-0.19125166458269444
47,8.5,-0.2554203284407719,-0.31865792501728635,-0.2118319461371944
48,9.0,-0.2801780819444255,-0.35016650335188076,-0.23186138418362276
49,9.5,-0.30397617837186364,-0.38141318316867234,-0.2556257591417761
50,10.0,-0.32975429872241513,-0.41311204727258044,-0.27758180247963815
51,10.5,-0.3573923438919929,-0.4463798703539905,-0.30375113365772977
52,11.0,-0.38659342638830196,-0.48157748516763377,-0.32975429872241513
53,11.5,-0.424904981494143,-0.515455780601388,-0.35545417906505683
54,12.0,-0.4655719105463317,-0.5496309411377613,-0.381336892348724
55,12.5,-0.506525197221529,-0.5869454591851366,-0.412578418901767
56,13.0,-0.5393327875718104,-0.6258166769654602,-0.4406335764485592
57,13.5,-0.5749469167091155,-0.6661186148425466,-0.474930125711334
58,14.0,-0.6180733609694661,-0.7076191815719479,-0.5129231691971392
59,14.5,-0.6476592672273738,-0.7468970055068977,-0.5544262766190085
60,15.0,-0.6762014176381053,-0.7831023191312083,-0.5836974307296962
61,15.5,-0.7165917697020721,-0.8189558859361883,-0.5913794932039049
62,16.0,-0.7460119809003634,-0.852626104341184,-0.6197505136988676
63,16.5,-0.7745251019508841,-0.885943687193851,-0.6494587543804463
64,17.0,-0.8030205008975599,-0.9188748946138252,-0.6793643611203284
65,17.5,-0.8369615150016844,-0.9513893859033987,-0.7094450030121313
66,18.0,-0.8709892217758245,-0.9834600287301914,-0.7396778833310036
67,18.5,-0.9050270247476847,-1.0150627121297173,-0.7647926859267602
68,19.0,-0.9390383204772507,-1.046869730695104,-0.7912866484214708
69,19.5,-0.9729872318469238,-1.080625212436662,-0.817673503211498
70,20.0,-1.0068386488660854,-1.1137082871812933,-0.8439001064043236
71,20.5,-1.009614103529909,-1.1405963117973488,-0.8561784884761878
72,21.0,-1.0405582698520734,-1.1688500244602413,-0.8795422902406967
73,21.5,-1.0731986505819506,-1.1908223548022439,-0.9083056411712107
74,22.0,-1.1027468034567889,-1.2145416830050408,-0.9321237478027284
75,22.5,-1.1283825794769022,-1.2399250839629499,-0.9491823331275231
76,23.0,-1.1495871341568367,-1.2680422634364712,-0.9660861098573669
77,23.5,-1.1752870359457497,-1.2925987631223812,-0.9828343513246546
78,24.0,-1.2060404778877403,-1.3073232070577885,-0.9993477211884962
79,24.5,-1.2364934565079082,-1.3387111857598044,-1.0157038307849104
80,25.0,-1.2532561460221707,-1.3673010139287356,-1.0319025047339316
81,25.5,-1.2822176306868442,-1.3939353852600285,-1.0532117541933608
82,26.0,-1.3107052675122115,-1.4240630402710062,-1.0742057669500236
83,26.5,-1.3387111857598044,-1.4537368808145357,-1.0948850618542671
84,27.0,-1.366228612759668,-1.4829331372489527,-1.1152506023659239
85,27.5,-1.3805418085754138,-1.5090621823374812,-1.1253160705443435
86,28.0,-1.4052881546202567,-1.5358874261889037,-1.1452136142030311
87,28.5,-1.4322299754147387,-1.5626121331386498,-1.1648014057158584
88,29.0,-1.4587407305381532,-1.5873995849954499,-1.184081556258256
89,29.5,-1.4848093540012854,-1.611205121059018,-1.2030564050751962
90,30.0,-1.5104254289601666,-1.6326286424802026,-1.2217284818872858
91,30.5,-1.5378454469905485,-1.6530376894615604,-1.240100472662247
92,31.0,-1.565023926085563,-1.677977493432033,-1.258175188548364
93,31.5,-1.5889327252060599,-1.7024793524709658,-1.2759555377730192
94,32.0,-1.6114887935081401,-1.7247681730324214,-1.293444500316268
95,32.5,-1.6335390993903363,-1.7433289273670816,-1.310645105176662
96,33.0,-1.655084354529889,-1.7612866209836697,-1.327560410053867
97,33.5,-1.6794419449152787,-1.7788218371630429,-1.3441934832801872
98,34.0,-1.7049366826991708,-1.8017472745504968,-1.3726229328066593
99,34.5,-1.7265188235294464,-1.8219821171765713,-1.4002307706395594
100,35.0,-1.7500105672803095,-1.8388171950023384,-1.4270318228382348
101,35.5,-1.7688530675368714,-1.8627716950709516,-1.4566449825962642
102,36.0,-1.790355301351442,-1.8804621147079388,-1.4816847718514528
103,36.5,-1.8083077128742178,-1.8971606635635645,-1.5059642708114864
104,37.0,-1.8328206098706286,-1.914658838911042,-1.5294957465056198
105,37.5,-1.8538135522606947,-1.9331122332660513,-1.5522908079770628
106,38.0,-1.8735244712414412,-1.9497323272422782,-1.5743010472612362
107,38.5,-1.8959607485826158,-1.9639529167993723,-1.595597979986328
108,39.0,-1.9110786015645131,-1.9792126518439632,-1.6161910436083375
109,39.5,-1.9266832734940762,-1.9929263254164808,-1.6360890819259062
110,40.0,-1.94541747501669,-2.0054951511449994,-1.790895911614599
111,40.5,-1.9585540240471104,-2.0163947806893643,-1.8048471510981017
112,41.0,-1.9712355792538911,-2.026790797346583,-1.818494522123828
113,41.5,-1.9835235539648215,-2.0366883260625888,-1.8318406625855013
114,42.0,-1.9965076665204462,-2.047042345872327,-1.8448880413319846
115,42.5,-2.008966271464856,-2.0575401207322206,-1.857638964372021
116,43.0,-2.0209009138792124,-2.067272337504861,-1.8700955816833995
117,43.5,-2.0323135247351294,-2.0760276985984203,-1.8822598945307234
118,44.0,-2.040525162553635,-2.080609443480705,-1.8385621426329968
119,44.5,-2.045887650124529,-2.0846315424117803,-1.7364672860285846
120,45.0,-2.0518948329872306,-2.0867284092617995,-1.7386755156564857
121,45.5,-2.0518948329872306,-2.0867284092617995,-1.7386755156564857
