,t,rollMed,perc25,perc75
0,-11.5,-0.8813419357154946,-1.061221877846367,-0.25931279808754004
1,-11.0,-0.7758093156055168,-0.9885391969404618,-0.14870126449350113
2,-10.5,-0.6985149918479299,-0.9153006363275179,-0.3015498105522342
3,-10.0,-0.5974855804413584,-0.8233552200149802,-0.3655836147107123
4,-9.5,-0.5135013953795362,-0.7429151605687299,-0.3561227629389706
5,-9.0,-0.4617652850692784,-0.6827280373427631,-0.33743926374383026
6,-8.5,-0.42399218072514644,-0.636908095869858,-0.3141098054902317
7,-8.0,-0.3894942114401717,-0.5780542997518969,-0.28301328353452704
8,-7.5,-0.3541204258825216,-0.5060820429656563,-0.24669102776545032
9,-7.0,-0.31663169093861565,-0.44624098359398084,-0.21310364953281383
10,-6.5,-0.27419170789420866,-0.3818865732225176,-0.18278836118407715
11,-6.0,-0.24265053034942008,-0.3396069153678882,-0.15550994756204467
12,-5.5,-0.20227896854768068,-0.28199504525345265,-0.12612599595226592
13,-5.0,-0.16006854942810667,-0.2400447178270591,-0.10067109628369236
14,-4.5,-0.12477500006955533,-0.19736970552853325,-0.07770471192372899
15,-4.0,-0.09941683805542623,-0.1544799650424017,-0.05483884758580859
16,-3.5,-0.06879793562221548,-0.11823656976023034,-0.03435144695164516
17,-3.0,-0.04686800905413446,-0.0834060091346025,-0.022129624717357466
18,-2.5,-0.028970028634728112,-0.057953945795892164,-0.011859589075295829
19,-2.0,-0.015536160925460507,-0.03920749002732227,-0.004654947341331206
20,-1.5,-0.007790209258091707,-0.02491772660646109,-0.0011493863443993169
21,-1.0,-0.0027895340833092863,-0.014613893838741288,-0.0003280099669817904
22,-0.5,-0.0023038404330005813,-0.0070643383912616375,-0.00030486140740643153
23,0.0,-0.00254703514974719,-0.006584262789387729,-0.00031257759393155116
24,0.5,-0.0026593692824619097,-0.00925728974733897,-0.0003176507418317098
25,1.0,-0.0061296661223519955,-0.01791611496505574,-0.0004860935827327717
26,1.5,-0.013066219764954923,-0.02974300734086016,-0.00260320221610455
27,2.0,-0.022135201207153177,-0.0443147309777871,-0.009249670653755315
28,2.5,-0.033237387296423004,-0.05976130987138631,-0.01945664874194364
29,3.0,-0.0488937029568136,-0.07312930247604979,-0.031820346173142555
30,3.5,-0.0649791855271907,-0.09459816654876396,-0.04504136951786786
31,4.0,-0.08141265633538508,-0.11676078017574232,-0.05834064459389495
32,4.5,-0.0991724697749614,-0.14235889275684277,-0.0716303644505468
33,5.0,-0.12253464904861788,-0.16874055165920565,-0.08773906018439306
34,5.5,-0.14475247598686442,-0.1947528263243708,-0.1064839164886851
35,6.0,-0.16926337157926397,-0.22004246032127656,-0.1253654632270162
36,6.5,-0.1950862854030132,-0.24528459553997511,-0.14534947948366828
37,7.0,-0.21893634041823395,-0.27102247450328104,-0.16694101794953564
38,7.5,-0.24237790999523978,-0.3022284323111434,-0.18666654510310232
39,8.0,-0.26609324738650664,-0.3376953277952137,-0.20522320460987759
40,8.5,-0.2916425211670913,-0.37578599268383306,-0.22954264490397017
41,9.0,-0.31939824754757323,-0.4131315787204535,-0.2549998848486895
42,9.5,-0.34958600822106445,-0.44855471171446715,-0.2767148902438658
43,10.0,-0.37994192798773496,-0.48351684257404604,-0.2988219636823388
44,10.5,-0.4046681389627569,-0.5191450712147267,-0.31963571028573345
45,11.0,-0.4272996085243545,-0.5569457665302419,-0.34178557033508994
46,11.5,-0.4579037631580898,-0.5959439602609677,-0.36481212475956615
47,12.0,-0.49359904706918906,-0.6413124702531168,-0.38690742403196615
48,12.5,-0.52235945541249,-0.6875947904837048,-0.4084265754942743
49,13.0,-0.5706787450347466,-0.7343820938998087,-0.4357345133399362
50,13.5,-0.6057643758022487,-0.772538937311907,-0.4586061752750914
51,14.0,-0.6408974781857673,-0.8103578306197826,-0.4811215312049719
52,14.5,-0.6760070197532182,-0.8480441885373068,-0.5032348801663071
53,15.0,-0.7174380124724989,-0.8927620995669341,-0.52235945541249
54,15.5,-0.74947228195064,-0.9299995906056151,-0.5325434074607819
55,16.0,-0.7966240988496626,-0.9662987665384205,-0.5531644940800918
56,16.5,-0.8427741224532993,-1.0020056669915745,-0.5714563077604431
57,17.0,-0.8827885398010527,-1.0384274413373338,-0.5854000199805469
58,17.5,-0.9299995906056151,-1.076021701135303,-0.6051494594115873
59,18.0,-0.9631753087262651,-1.1127623915820077,-0.6475580516868134
60,18.5,-0.9953185010453651,-1.1476280977889148,-0.6717451062567867
61,19.0,-1.026968406915177,-1.1819994817755095,-0.6958705172960744
62,19.5,-1.0529910594478682,-1.2121573818868692,-0.719913395649594
63,20.0,-1.0833870375181935,-1.239868235583541,-0.7438541972773792
64,20.5,-1.1133172522524886,-1.2663080903980655,-0.7676746930962471
65,21.0,-1.1426950981758326,-1.2906828910565866,-0.7913579344768764
66,21.5,-1.171508326049971,-1.3183547519491998,-0.8148882150791291
67,22.0,-1.1947783695319643,-1.3474019020640329,-0.8382510296565212
68,22.5,-1.2155525255842554,-1.3704851212983136,-0.8556490351669228
69,23.0,-1.2368715466378506,-1.3847137966337884,-0.8729520109095651
