,t,rollMed,perc25,perc75
0,-8.5,-0.4932585032274273,-1.399701651294155,-0.3091671562061463
1,-8.0,-0.44705017845188616,-1.2318287836787256,-0.27403440029615833
2,-7.5,-0.41333190167959255,-1.056813105820277,-0.2422671995152677
3,-7.0,-0.36887581356025123,-0.9377034842732854,-0.2321007031689447
4,-6.5,-0.34214529163553564,-0.8023692903321411,-0.20489222890359177
5,-6.0,-0.29521697299223515,-0.655249195748933,-0.1771488146707105
6,-5.5,-0.2651235984913569,-0.5297940189031323,-0.1509442218862231
7,-5.0,-0.2184089027110403,-0.42241240941901825,-0.12805737075900847
8,-4.5,-0.17123212444170766,-0.32988812114166777,-0.10519975147838001
9,-4.0,-0.13705637987654384,-0.25905638437146905,-0.08423628397975705
10,-3.5,-0.1133679480379044,-0.20262212599804386,-0.06539630815907244
11,-3.0,-0.07834029995864578,-0.15291828791017364,-0.044352610701539064
12,-2.5,-0.05298587113246361,-0.1133679480379044,-0.029199277920621824
13,-2.0,-0.03646345711035878,-0.07202519001694199,-0.016466170247221038
14,-1.5,-0.02111685422777626,-0.04792007492096939,-0.007716665471620213
15,-1.0,-0.010018212150786132,-0.0291392265139514,-0.0006877017907487293
16,-0.5,-0.004377095269125969,-0.01576835716408307,-0.0003710977440893881
17,0.0,-0.004070386263010484,-0.009927531775533072,-0.00037985797316331116
18,0.5,-0.004377095269125969,-0.011327580512628596,-0.00043646195820119804
19,1.0,-0.005721753932562024,-0.017751376560482868,-0.0006040645168570724
20,1.5,-0.011992170515298023,-0.03169577472110112,-0.0019202758106942053
21,2.0,-0.022226452342382047,-0.046788096203738826,-0.006652912033991237
22,2.5,-0.03430318107416347,-0.06473379387570709,-0.017154276294354717
23,3.0,-0.05407394764906273,-0.09018177483149167,-0.02740765886728208
24,3.5,-0.0726272383542769,-0.11881934327002064,-0.03942344926955703
25,4.0,-0.0951203569219143,-0.14793474749182955,-0.05457943308839053
26,4.5,-0.11669548219760084,-0.17670803910209187,-0.07037683103553206
27,5.0,-0.1396232755547559,-0.21243448753097638,-0.08916312482441735
28,5.5,-0.16659696021282455,-0.24993683742964592,-0.10483771730794963
29,6.0,-0.1929679298852574,-0.29404713615067973,-0.1240713140811631
30,6.5,-0.2187178981331679,-0.3357506748822717,-0.14888203974021907
31,7.0,-0.24941493793309838,-0.38298739288087175,-0.1758314995551058
32,7.5,-0.2905326492436241,-0.4332777690915388,-0.19779257039639236
33,8.0,-0.33433473218188325,-0.48770675134391084,-0.2226744995659248
34,8.5,-0.3794430586067649,-0.5505224853370276,-0.24394119992121935
35,9.0,-0.42320308842360177,-0.6115955993168365,-0.2677753469949911
36,9.5,-0.46990813210592297,-0.6700965613811763,-0.29062783064781694
37,10.0,-0.514103894341126,-0.7223751411509884,-0.3034366940446934
38,10.5,-0.5566635503808071,-0.7748476382217722,-0.3234343798023804
39,11.0,-0.5997706953272033,-0.830153527413984,-0.34645228223799396
40,11.5,-0.6524451492719908,-0.8945942007003884,-0.3803165155261049
41,12.0,-0.705257997468591,-0.9570385204771443,-0.41311210419389255
42,12.5,-0.7637231077747849,-1.015381257436091,-0.4976374094381547
43,13.0,-0.8271537013544484,-1.0712302597146728,-0.6060994895187259
44,13.5,-0.8759225600053124,-1.1376743253251527,-0.6762030838495519
45,14.0,-0.9303555570613142,-1.2108861817433811,-0.7454812217477564
46,14.5,-0.9786200532705449,-1.2625076470217778,-0.7878793042821164
47,15.0,-1.026365902407048,-1.3132338234200538,-0.8299352310225566
48,15.5,-1.0735009594700833,-1.3765406883011968,-0.8364135629321736
49,16.0,-1.1164862509139826,-1.424468682025763,-0.8757917536273374
50,16.5,-1.158045666824131,-1.471709982077778,-0.9159333354741812
51,17.0,-1.1984593506403929,-1.52142210757694,-0.9556703913085132
52,17.5,-1.2348054905833548,-1.5698473399428234,-0.9955580103889266
53,18.0,-1.277100391255753,-1.621938737264295,-1.0486735877739504
54,18.5,-1.3212028201031871,-1.6691765173338093,-1.098557746597334
55,19.0,-1.3741361455145427,-1.7118144052724293,-1.142365020716162
56,19.5,-1.4202089010281858,-1.7593371958767499,-1.1855487761449162
57,20.0,-1.4675543335173886,-1.8078565126026502,-1.2259599316419347
58,20.5,-1.506450582397781,-1.8657388223081917,-1.2590966143101463
59,21.0,-1.5503245109467385,-1.9065768371773086,-1.2985221769175994
60,21.5,-1.5894241271474867,-1.9479778204618334,-1.337938189994404
61,22.0,-1.636030893431737,-1.9837333139594953,-1.3695517520897957
62,22.5,-1.6667643520929567,-2.014628287135025,-1.396208275624622
63,23.0,-1.6970014023354318,-2.039402990602845,-1.4264215170276708
64,23.5,-1.7267110344866756,-2.062678154635292,-1.456230513400898
65,24.0,-1.7553067759400447,-2.0845246273360027,-1.484732179592588
66,24.5,-1.7828034770945267,-2.1093142741065645,-1.506228330727104
67,25.0,-1.8092184777996851,-2.1331959010575225,-1.5279345474276171
68,25.5,-1.8345713597338869,-2.150928357956774,-1.549573495331014
69,26.0,-1.8588837102696099,-2.1713060000737783,-1.573152732623726
70,26.5,-1.882178897832314,-2.188091604275594,-1.5907777773093237
71,27.0,-1.9044818587017351,-2.2075817683769596,-1.6082765084042236
72,27.5,-1.9258188951536146,-2.2197024407784403,-1.630384759983484
73,28.0,-1.9462174847940177,-2.234303091561949,-1.6448964898351215
74,28.5,-1.9635848482404903,-2.2497209842537966,-1.6596323940204334
75,29.0,-1.982201396889949,-2.2583105570477473,-1.6765946712953184
76,29.5,-2.000061867877921,-2.2702135533838224,-1.6877801672036363
77,30.0,-2.017104393889589,-2.2827825459767404,-1.7046421092118076
78,30.5,-2.033359231303475,-2.290699796763242,-1.7143347086019292
79,31.0,-2.0488569059438015,-2.303578563049171,-1.7221256550654065
80,31.5,-2.063628097174216,-2.310148014336562,-1.7295502781999383
81,32.0,-2.076430330419233,-2.3207008878037128,-1.7362588126068144
82,32.5,-2.0891161083702414,-2.3356570163332457,-1.7427275920774732
83,33.0,-2.102029083244798,-2.3496786901077558,-1.7495186931096052
84,33.5,-2.1143358989626826,-2.3628072655275223,-1.7529326312667113
85,34.0,-2.126066033264182,-2.3750838838749853,-1.757432679149702
86,34.5,-2.137248627064835,-2.386549335494157,-1.75920027685031
87,35.0,-2.1468380370699567,-2.397243936788981,-1.7602587433925927
88,35.5,-2.156409960134561,-2.403758551107337,-1.760443305082227
89,36.0,-2.1662664780667558,-2.4139347149150603,-1.7635051197826486
90,36.5,-2.175682443851488,-2.4227168887490818,-1.769168849059744
91,37.0,-2.184684158689521,-2.4308784603459035,-1.775044136533559
92,37.5,-2.193297334033719,-2.438456032269653,-1.7804845169140266
93,38.0,-2.20041310461738,-2.445159644559528,-1.7855100549032459
94,38.5,-2.2082610932942934,-2.4521650766302447,-1.7901401711547527
95,39.0,-2.2159912425389265,-2.4592208697588838,-1.7943936239120948
96,39.5,-2.223422072157235,-2.46569800824886,-1.798288495020075
97,40.0,-2.2305758141150265,-2.4707601605689202,-1.8018421799716835
98,40.5,-2.2374740056314337,-2.475457807186743,-1.8050713816664663
99,41.0,-2.2441374755553074,-2.4795365260126196,-1.807992107569083
100,41.5,-2.2505863335021172,-2.4841244603314747,-1.8106196699706771
101,42.0,-2.2568399615770343,-2.4885996652774267,-1.8129686890693808
102,42.5,-2.2629170085168124,-2.4926393000200653,-1.815053098600174
103,43.0,-2.2639509795421455,-2.4942103649758223,-1.8164433951469192
104,43.5,-2.2667009363019983,-2.4962848742244206,-1.8177127553046963
105,44.0,-2.269450893061851,-2.498801586168259,-1.8188642841095533
106,44.5,-2.2721750874241016,-2.500265715554035,-1.8198478907138682
107,45.0,-2.274899281786352,-2.502178419066815,-1.8207251124490416
108,45.5,-2.2803044806461825,-2.5017557808141255,-1.82127446531611
109,46.0,-2.282989360038357,-2.502142119258772,-1.8219467936435452
110,46.5,-2.282989360038357,-2.5029147961480644,-1.822273874599854
111,47.0,-2.282989360038357,-2.5036390406552735,-1.8224798176275145
112,47.5,-2.282989360038357,-2.502700064289557,-1.8226558334153102
113,48.0,-2.282989360038357,-2.50149792368325,-1.822801921963241
114,48.5,-2.282989360038357,-2.500595399131235,-1.8229383582878294
115,49.0,-2.282989360038357,-2.499992490633512,-1.8230651423890754
116,49.5,-2.282989360038357,-2.499307414258456,-1.8231953900829119
