,t,rollMed,perc25,perc75
0,-3.0,-0.01623526256095642,-0.025953584763149518,-0.009129663655467468
1,-2.5,-0.010944896541417504,-0.01958235056535057,-0.004976639264513805
2,-2.0,-0.006654527828897194,-0.013729084537956404,-0.002058776069684909
3,-1.5,-0.003397276204450961,-0.008360007963277016,-0.00039327235364960966
4,-1.0,-0.001269450457509258,-0.00427943850696072,-0.00012751452642012495
5,-0.5,-0.001269450457509258,-0.0031489650055060436,-0.00012751452642012495
6,0.0,-0.001269450457509258,-0.003281643803094314,-0.00012751452642012495
7,0.5,-0.0012933584624462702,-0.005114884792893903,-0.00012751452642012495
8,1.0,-0.0038428388875073605,-0.009000283181369695,-0.0009498853310088706
9,1.5,-0.0076605785896251,-0.013969059668390404,-0.002930267853958557
10,2.0,-0.012723138223721064,-0.0202339424628869,-0.005937451260146109
11,2.5,-0.01877313514269896,-0.02803091880711961,-0.00996630766203449
12,3.0,-0.025519940545120634,-0.03703226145265498,-0.015001720156029907
13,3.5,-0.0332277186747969,-0.04720228416608663,-0.02136621302020908
14,4.0,-0.041860711430007025,-0.05850119873232057,-0.029420273151472498
15,4.5,-0.05138038896279229,-0.06974887255919487,-0.03868162921597834
16,5.0,-0.0617459115917417,-0.08150059899127932,-0.049108624057200734
17,5.5,-0.07367240042772771,-0.09452631879722773,-0.060655741695264165
18,6.0,-0.08671449474453086,-0.10829734740435376,-0.07251628138972693
19,6.5,-0.10065879187125248,-0.1227485309889002,-0.08447286240811835
20,7.0,-0.1154586128141899,-0.13782403374670887,-0.09711793919730971
21,7.5,-0.13106593351544937,-0.15425655169674374,-0.11041069739367476
22,8.0,-0.1466431576282562,-0.17051297186133302,-0.12430038710082597
23,8.5,-0.16188184405165573,-0.18664741569569454,-0.13873630784406116
24,9.0,-0.1787344404321849,-0.20321967622953802,-0.15366808137685178
25,9.5,-0.19652017118982157,-0.22019009463790723,-0.1690458977197848
26,10.0,-0.21478224152651137,-0.23809275948097142,-0.18482073536669485
27,10.5,-0.23346472423351183,-0.25701071551597043,-0.20094455671122907
28,11.0,-0.2525125302682242,-0.27762475378231366,-0.21737047983839902
29,11.5,-0.27056139286266045,-0.2992013551349574,-0.23405292789297732
30,12.0,-0.28825288847112407,-0.32113994425877734,-0.25094775728264934
31,12.5,-0.30609822786314633,-0.34338855741549734,-0.26801236600142797
32,13.0,-0.3239105281768061,-0.36589653299925307,-0.28520578337035213
33,13.5,-0.34066943216430146,-0.3886146388708419,-0.3024887424902257
34,14.0,-0.3586128277149193,-0.4121961539961093,-0.3197475949615605
35,14.5,-0.37657775040410973,-0.4361726716309623,-0.336605196837035
36,15.0,-0.39453669870455677,-0.46021423102567705,-0.3553019443624646
37,15.5,-0.42129466310004854,-0.47664802929742833,-0.3700398914326391
38,16.0,-0.4380163859682109,-0.49794650025040854,-0.38897976895833375
