,t,rollMed,perc25,perc75
0,-13.0,-0.8238846047174508,-1.3982533455787092,-0.2469217244291888
1,-12.5,-0.8011516381899462,-1.3591937293527039,-0.23505588384100873
2,-12.0,-0.7543981418679584,-1.2842084666294227,-0.29976182678467617
3,-11.5,-0.7303776120734753,-1.176431527137595,-0.48255281195804234
4,-11.0,-0.6720043426600668,-1.0449150465614707,-0.4366494344214985
5,-10.5,-0.6001542256646566,-0.9250363644028994,-0.39215477191076364
6,-10.0,-0.5304766950882437,-0.7639361810580736,-0.3161714432307171
7,-9.5,-0.47727725236282126,-0.6947027839938578,-0.26257713946775685
8,-9.0,-0.42836777643363,-0.6281069152066721,-0.21643141359693274
9,-8.5,-0.36563664068236434,-0.5434679820928792,-0.20234587329221476
10,-8.0,-0.3360028310918164,-0.4841127129163141,-0.18833658755643334
11,-7.5,-0.29457413077671823,-0.42554743713267795,-0.16771995720539834
12,-7.0,-0.2495318911725235,-0.4054007579501189,-0.14290274099993638
13,-6.5,-0.21130047835446852,-0.34616769552316695,-0.1223694084910818
14,-6.0,-0.18109014313949423,-0.29651548449208054,-0.1026373838349377
15,-5.5,-0.15737521584299596,-0.25586989203360844,-0.09007827473911423
16,-5.0,-0.12466153002045743,-0.20990972013932208,-0.07165030840577793
17,-4.5,-0.09487471432198163,-0.16933355628327007,-0.05301023384045278
18,-4.0,-0.07374764715398324,-0.13177350730462667,-0.03763095967066432
19,-3.5,-0.05398979624821543,-0.10172048076023854,-0.025211760817249962
20,-3.0,-0.03977318697624366,-0.07584904815769744,-0.015933252235353912
21,-2.5,-0.02452583209743331,-0.05510062384704717,-0.01020474841245056
22,-2.0,-0.01499198809656832,-0.039221625801964866,-0.004120687713902671
23,-1.5,-0.0072792888112303,-0.02399704185322804,-0.001401987608305677
24,-1.0,-0.0027452176586320043,-0.0108065084233962,-0.00035325108980335806
25,-0.5,-0.002357706721155761,-0.0062430222810943015,-0.0003086107078693612
26,0.0,-0.002382794775845243,-0.006452026328158805,-0.0003086107078693612
27,0.5,-0.002686509361341627,-0.009161708758800069,-0.0003086107078693612
28,1.0,-0.0061671173029693716,-0.016898822211672937,-0.0008352333413306212
29,1.5,-0.011585703856617724,-0.025901625036261644,-0.002954068134166432
30,2.0,-0.01942552794047414,-0.03993693275399046,-0.007936082839400171
