,t,rollMed,perc25,perc75
0,-2.0,-0.053163163630499666,-0.10974065614718409,-0.02607151364390281
1,-1.5,-0.033023316997225605,-0.07180564217832897,-0.010877882756608948
2,-1.0,-0.014331990716303977,-0.039942250903261534,-0.0013069861523007376
3,-0.5,-0.008295710311292614,-0.018167728468583055,-0.0011222166996965877
4,0.0,-0.007337686445825664,-0.015612367128096771,-0.0011557119966099094
5,0.5,-0.008295710311292614,-0.01793683039554761,-0.0012313490744553235
6,1.0,-0.010542841705937,-0.031137267031951188,-0.0013069861523007376
7,1.5,-0.022032966818280153,-0.049010262171090335,-0.005838303796208644
8,2.0,-0.03693614112845167,-0.0670714789530279,-0.01741437745827734
9,2.5,-0.05819237287365098,-0.09456805035790872,-0.032470386791647265
10,3.0,-0.08005888563869301,-0.1358586810518121,-0.049295099009061205
11,3.5,-0.09926029819538296,-0.18101706250592375,-0.06723853781373956
12,4.0,-0.13192863717928371,-0.23134880104835176,-0.08766694207869086
13,4.5,-0.15195559823930715,-0.2863657568475828,-0.10768810867372258
14,5.0,-0.18220743343516577,-0.3455862122416704,-0.12658315211545684
15,5.5,-0.2204102001715671,-0.4085386959398942,-0.14199292657148715
16,6.0,-0.261464133250251,-0.474765134192193,-0.15924606408829944
17,6.5,-0.3051008734078158,-0.5430518266359297,-0.18302420209123854
18,7.0,-0.35105884458887515,-0.6149410480498094,-0.1982559214151139
19,7.5,-0.39908470805415064,-0.6922769765546137,-0.2151030701191145
20,8.0,-0.44893445901894835,-0.7711029091166299,-0.23802163521778302
21,8.5,-0.5003742187949727,-0.8509702356072646,-0.25111270363984334
22,9.0,-0.5531807703237557,-0.9314652811769095,-0.27237395514549045
23,9.5,-0.607141879866893,-1.0122088494424268,-0.2988794609470134
24,10.0,-0.6620564426232727,-1.0928554477636903,-0.3258672356792329
25,10.5,-0.7177344852909846,-1.1730922548365479,-0.35325333593588865
26,11.0,-0.773997054158057,-1.2526378841654697,-0.38096237328754434
27,11.5,-0.8306760132355093,-1.3312409906790172,-0.4089269447404348
28,12.0,-0.8876137732602045,-1.4086787618599521,-0.4370869985832095
29,12.5,-1.1980454740851059,-1.4913212803967175,-0.5283555961271027
30,13.0,-1.3139225332084443,-1.5725230390423137,-0.5911861314639528
31,13.5,-1.428824283472867,-1.6527113585437547,-0.654729741689327
32,14.0,-1.5417938376629738,-1.7349090030742245,-0.7187800522139025
33,14.5,-1.6527113585437547,-1.813450279584126,-0.7830844460876507
34,15.0,-1.7447768193882123,-1.8876742580149384,-0.8474679941848782
35,15.5,-1.7802537666105582,-1.9676230081050914,-0.9025875166834348
36,16.0,-1.8481813666101434,-2.0284505320128554,-0.9392427746300442
37,16.5,-1.9142021775638325,-2.087097718468257,-0.9757901418281001
38,17.0,-1.9782504123830087,-2.1421963777877613,-1.0121995573413514
39,17.5,-2.040273530902562,-2.1984512900929425,-1.048441177943759
40,18.0,-2.1002311195406174,-2.2545703010741533,-1.084485290348672
41,18.5,-2.1553861450587117,-2.3086499886188587,-1.1203022578548372
42,19.0,-2.2097215486026487,-2.3606761334241044,-1.1558624968981994
43,19.5,-2.2632216476360227,-2.410641543483657,-1.1911364791885632
44,20.0,-2.314629312699889,-2.4541972614256,-1.2260947553504526
45,20.5,-2.3419957009431265,-2.504392816161265,-1.2778752055526017
46,21.0,-2.3902932612304024,-2.5481939839477787,-1.3119163138379193
47,21.5,-2.432156207846476,-2.5834366099717916,-1.34553998345276
48,22.0,-2.475234430921388,-2.6163247835628307,-1.3787178086728757
49,22.5,-2.5173987562046047,-2.648321393783859,-1.411421822227649
50,23.0,-2.5575770829694653,-2.6813532388366714,-1.4436245795756837
51,23.5,-2.5957992502723304,-2.7163465909253235,-1.4752992435498067
52,24.0,-2.632098087581933,-2.7429347830549733,-1.5064196677846509
53,24.5,-2.6637165754587473,-2.7663137100801283,-1.5369604775860521
54,25.0,-2.6926066505864075,-2.7907393573249215,-1.5668971471284663
55,25.5,-2.7235994462701223,-2.819447127236333,-1.5962060720743314
56,26.0,-2.7528391481992234,-2.8356914698020788,-1.6248646368975832
57,26.5,-2.7791035406998414,-2.8540709639504134,-1.6528512763629917
58,27.0,-2.799193525874313,-2.8767947034135655,-1.6801455307639976
59,27.5,-2.815303680238861,-2.8937530778579665,-1.7197473134030927
60,28.0,-2.8317685438368123,-2.9092311037512846,-1.745228731250167
61,28.5,-2.854001785432281,-2.9227888147235666,-1.7699555038622798
62,29.0,-2.8737119128873703,-2.939029632234874,-1.7939126534740346
63,29.5,-2.885526887190094,-2.961407946806526,-1.817086493662601
64,30.0,-2.896329875275506,-2.9820271557519815,-1.8394646420852347
65,30.5,-2.9061607283856232,-3.0009279668114983,-1.8610360272193387
66,31.0,-2.915057456882588,-3.0181521002807177,-1.881790889393388
67,31.5,-2.9230562630937853,-3.0337420944656914,-1.901720776425392
68,32.0,-2.9301915823924514,-3.0477411255545013,-1.9208185342064663
69,32.5,-2.936496131139335,-3.060192841238326,-1.9390782925815215
70,33.0,-2.9420009602438317,-3.0711412074205313,-1.956495446887736
71,33.5,-2.9467355132273303,-3.0806303673598388,-1.9730666355152624
72,34.0,-2.950727687787388,-3.088704512604722,-1.9887897138541129
73,34.5,-2.9540038999690927,-3.095407765088919,-2.003663724987068
74,35.0,-2.956589150149716,-3.0983076108558905,-2.017688867481324
75,35.5,-2.956960636747422,-3.0936113980901387,-2.037138243825833
76,36.0,-2.956960636747422,-3.0936113980901387,-2.0490493780438914
77,36.5,-2.956960636747422,-3.0909375846636102,-2.0601209155611158
78,37.0,-2.956960636747422,-3.084486840232416,-2.0703577950355756
79,37.5,-2.956960636747422,-3.07719553640041,-2.07976589630164
80,38.0,-2.956960636747422,-3.069099339853115,-2.0883519970722757
81,38.5,-2.956960636747422,-3.060233044392915,-2.096123728971864
82,39.0,-2.954982598833315,-3.0506305608373228,-2.103089533129415
