,t,rollMed,perc25,perc75
0,-10.5,-0.22339958245637725,-0.654278618290017,-0.14605600226565707
1,-10.0,-0.23232019956412797,-0.667443514022789,-0.14322319413486856
2,-9.5,-0.4946102638697504,-0.6904647516573351,-0.14958185273056207
3,-9.0,-0.48698172995953826,-0.8683463300974381,-0.16202121600700958
4,-8.5,-0.47798910942963757,-0.8683463300974381,-0.16202121600700958
5,-8.0,-0.45982225158433465,-0.768246187888586,-0.16202121600700958
6,-7.5,-0.4381138595669718,-0.7161139040381244,-0.26241172352360476
7,-7.0,-0.4084294665949759,-0.6724641493613746,-0.22442866818223628
8,-6.5,-0.3543058429536926,-0.5832428049551943,-0.13628992470566703
9,-6.0,-0.3029461791778938,-0.4906129296005908,-0.1280061649339812
10,-5.5,-0.24762548705059828,-0.4127495980757594,-0.11385790126456552
11,-5.0,-0.19936511188955408,-0.35540983409420335,-0.09913556755494501
12,-4.5,-0.1504782384226745,-0.2796342578592217,-0.08024098122762452
13,-4.0,-0.11758067220427304,-0.22297830698483234,-0.062004583024495685
14,-3.5,-0.08856629536653315,-0.16724845450089987,-0.04476764995683702
15,-3.0,-0.06417030117950429,-0.12681914216136236,-0.033974662823656104
16,-2.5,-0.04476623714604755,-0.09245478431829446,-0.023691592631455205
17,-2.0,-0.028518082145962728,-0.06313774708323339,-0.014025180783633018
18,-1.5,-0.01662687801686502,-0.04184168157233281,-0.0058177036288724615
19,-1.0,-0.009105454214953568,-0.025869799262479676,-0.0011821871093919967
20,-0.5,-0.003567486525160035,-0.01438612100301162,-0.0006959520366880412
21,0.0,-0.003405714168357221,-0.008455507190183308,-0.0007166950186556775
22,0.5,-0.003831051449133094,-0.008603121076010911,-0.0007374380006233139
23,1.0,-0.004282023037176508,-0.014085646421356013,-0.0007457198777198748
24,1.5,-0.009396522232618665,-0.024372710805772968,-0.001276941582097596
25,2.0,-0.01694531986137804,-0.037155544965775666,-0.005457122075968601
26,2.5,-0.027935999881261164,-0.05196120215123656,-0.012425736163082846
27,3.0,-0.042098250017625016,-0.07100678982231123,-0.022330480392790786
28,3.5,-0.05979423589436028,-0.0940697556916435,-0.03216756740353954
29,4.0,-0.07953840413637797,-0.12235973555252277,-0.04856775918684253
30,4.5,-0.09954433830310494,-0.1477872351660463,-0.06325004414437663
31,5.0,-0.12322070179825761,-0.17521037697550534,-0.08094581098626397
32,5.5,-0.14723055027204968,-0.20671590113265442,-0.09995752070817554
33,6.0,-0.17092591437005988,-0.24036586405984472,-0.12306446413069105
34,6.5,-0.19822948748278113,-0.27505477889662094,-0.14600218779618535
35,7.0,-0.22243559388338807,-0.3100837608981306,-0.1677788447357447
36,7.5,-0.2500765039970565,-0.346734366696266,-0.19264688170839728
37,8.0,-0.2797700983483278,-0.3869292073343047,-0.21766881126002424
38,8.5,-0.31084787816031945,-0.42581075172631166,-0.24480689029877967
39,9.0,-0.34805285549083465,-0.46841238522255324,-0.2717213340059983
40,9.5,-0.3844626062844566,-0.5146077966951683,-0.29831967263610926
41,10.0,-0.4167040813474099,-0.5568331568016731,-0.3245618285933638
42,10.5,-0.4506474795500987,-0.6005308738751505,-0.3549951914952939
43,11.0,-0.4858281530292407,-0.6445560955685603,-0.3852679640111805
44,11.5,-0.5254575227693896,-0.6885847926767763,-0.4153260250899655
45,12.0,-0.5657310176700671,-0.724925553369145,-0.44684673756546767
46,12.5,-0.6038137349968264,-0.7602551559540558,-0.4809486251715587
47,13.0,-0.6426064510833931,-0.800235459721029,-0.515642700381171
48,13.5,-0.6825808195061938,-0.8420239070951019,-0.5458639828051317
49,14.0,-0.723715817071304,-0.8824744720122237,-0.5749606960521381
50,14.5,-0.7664539090293658,-0.9217883069483181,-0.6040062418605823
51,15.0,-0.804721463048538,-0.9610230789336476,-0.6329520380955134
52,15.5,-0.8288333266913012,-1.0037379798260915,-0.6607804223230844
53,16.0,-0.8697569236561549,-1.0447753189851383,-0.6904669820411922
54,16.5,-0.8984245600465961,-1.0870664424294842,-0.718253845097958
55,17.0,-0.931740950157308,-1.129517705345446,-0.7452633811504166
56,17.5,-0.9651657197995118,-1.1719535475411416,-0.7714106794270217
57,18.0,-1.0017465198266393,-1.2141754708201447,-0.8000565610812194
