,t,rollMed,perc25,perc75
0,-10.0,-0.6970735143108868,-0.8288113414561167,-0.24011069100677745
1,-9.5,-0.6397275821359472,-0.7956303918597755,-0.23021139770182408
2,-9.0,-0.5518635176285898,-0.7205115351783712,-0.20757716949693653
3,-8.5,-0.49340263783108185,-0.6690841162465053,-0.18859749157189493
4,-8.0,-0.43287654257475816,-0.627588513507669,-0.17516706897659162
5,-7.5,-0.4015955494432901,-0.5837215947103344,-0.16493869988983495
6,-7.0,-0.3742257955424193,-0.52338415078617,-0.15473464024068165
7,-6.5,-0.3406158951341579,-0.49667583395960957,-0.1446445294093589
8,-6.0,-0.2913482167522039,-0.4553436108856205,-0.13466836739586674
9,-5.5,-0.24164897230203736,-0.39864146409932666,-0.10596441859583534
10,-5.0,-0.19632671312753913,-0.34258773971902173,-0.08058734330993447
11,-4.5,-0.14513392986847162,-0.28185375548008795,-0.06830271390862938
12,-4.0,-0.11008496721629848,-0.21805473620516524,-0.05677614298432566
13,-3.5,-0.07936491469608886,-0.16598696072060193,-0.04627746446331965
14,-3.0,-0.06358106684994258,-0.1244811781350047,-0.030503342370352876
15,-2.5,-0.04403977565466308,-0.092135567026644,-0.017588533445904414
16,-2.0,-0.026611709104030573,-0.06308142531798153,-0.009244909050877215
17,-1.5,-0.015602084802758986,-0.037306187002842946,-0.0041545601780028085
18,-1.0,-0.006875319564652038,-0.02333653282351955,-0.001069580746534432
19,-0.5,-0.002577968727334068,-0.014155496089104602,-0.0005815674769169554
20,0.0,-0.0026571244797766735,-0.0075052161402475726,-0.000523074888002184
21,0.5,-0.0028192311623108646,-0.007559441920737875,-0.00046458229908741266
22,1.0,-0.0031116622531985882,-0.014159120588135288,-0.0007221335043593458
23,1.5,-0.00766789348171848,-0.026214575425001385,-0.002001808337917188
24,2.0,-0.017749117630947664,-0.04016027170024286,-0.00730568304598167
25,2.5,-0.030630766416619437,-0.05685938877408675,-0.015239389545985027
26,3.0,-0.04582235826624792,-0.08156399324649613,-0.02655492686298433
27,3.5,-0.06245450019190957,-0.1027910495197292,-0.038197990931702286
28,4.0,-0.08410471280969478,-0.12362628542125889,-0.05248692594040705
29,4.5,-0.1042821331337791,-0.14997016881403985,-0.06851377651154333
30,5.0,-0.1258576108644665,-0.1754574687993595,-0.08422112857801656
31,5.5,-0.15007266154316323,-0.20285512876981354,-0.10439080435384085
32,6.0,-0.175678040771916,-0.23212381261696577,-0.12598018089081456
33,6.5,-0.1997660504083214,-0.26103163672817375,-0.1480181793379172
34,7.0,-0.2227690459810301,-0.2908779936983912,-0.17155470645351656
35,7.5,-0.24305834280578953,-0.3208221927702475,-0.1928723500683418
36,8.0,-0.2647809539289474,-0.3494280567283443,-0.2119621157134297
37,8.5,-0.2915329268964193,-0.3778606212076494,-0.23190063633294766
38,9.0,-0.32052605950789825,-0.40078883736713067,-0.2543020781151295
39,9.5,-0.3459275659144032,-0.42638670194386286,-0.26824886539191084
40,10.0,-0.3723797078674363,-0.45549147753863994,-0.27934062009671834
41,10.5,-0.3938109800895928,-0.4941383110665307,-0.2898993415922789
42,11.0,-0.4207742443730851,-0.5287888794066475,-0.3020225254741173
43,11.5,-0.45521618291607874,-0.5589235376910566,-0.3164337127694623
44,12.0,-0.4858093728712036,-0.5911336216979988,-0.33050844513733757
45,12.5,-0.5162009793700824,-0.6231171962324804,-0.34204015840589364
46,13.0,-0.5454112060729247,-0.6559330326055948,-0.3533191622269396
47,13.5,-0.570206037260268,-0.6908870276452781,-0.3667569086424881
48,14.0,-0.5990316100073687,-0.7256402927512733,-0.3747215553829619
49,14.5,-0.6273750324838323,-0.7601263646233694,-0.3864213124439382
50,15.0,-0.6456601751639931,-0.8028020092940444,-0.39178535265909886
51,15.5,-0.6456601751639931,-0.8697013895476928,-0.40244960097425064
52,16.0,-0.6554172647332542,-0.9104836707084782,-0.4070066211807746
53,16.5,-0.6651743543025154,-0.9504473076423192,-0.41485176642504484
54,17.0,-0.6744071470534799,-0.9895320024700895,-0.4225418810084368
55,17.5,-0.6836399398044445,-1.0276854893756173,-0.4273281374171347
56,18.0,-0.6991770705455582,-1.1757202133248654,-0.43897848003744244
57,18.5,-0.7241461995264429,-1.2085300785420996,-0.4535632225472567
58,19.0,-0.7487934176827284,-1.2404229369358992,-0.46814245219198747
59,19.5,-0.7730963454972819,-1.2713906406545665,-0.4827222928889634
60,20.0,-0.7970348837117254,-1.3014289339794889,-0.4973082790362693
61,20.5,-0.8130371061727995,-1.340198151435672,-0.5009149148194407
62,21.0,-0.8364250513877372,-1.3681978396050618,-0.5157527286319052
63,21.5,-0.8594110275023685,-1.3952641865872542,-0.5306182252314017
64,22.0,-0.8819809439851247,-1.4214052944132125,-0.5455117659312789
65,22.5,-0.9041224213046859,-1.446631478150585,-0.5604327849469748
66,23.0,-0.9258246722185868,-1.470954974792385,-0.5753797605990919
67,23.5,-0.9470783875246398,-1.4943896728123351,-0.5903502021930116
68,24.0,-0.9678756266151309,-1.51695086193283,-0.6053406509109116
69,24.5,-0.9882097130800325,-1.5386550025343149,-0.6203466931300124
70,25.0,-1.0080751355229611,-1.5595195140408684,-0.6353629846201819
71,25.5,-1.0274674536820472,-1.5795625815426875,-0.6503832841748056
72,26.0,-1.0463832098857262,-1.5988029798601413,-0.6654004952882616
73,26.5,-1.0648198458204903,-1.6172599142130313,-0.6804067145946854
74,27.0,-1.0827756245425015,-1.6349528766320696,-0.6953932858615713
75,27.5,-1.0958483793885794,-1.6575232947221628,-0.702863337898607
76,28.0,-1.113093738043269,-1.6734862358280145,-0.7180184399897755
77,28.5,-1.1298525853810142,-1.6887414399317495,-0.7331188925092423
78,29.0,-1.1461252539224265,-1.7033088977620594,-0.7481533241520268
79,29.5,-1.161912651839528,-1.7172083680308567,-0.7631099907613266
80,30.0,-1.1772162090913467,-1.7304593075163286,-0.7779768373608359
81,30.5,-1.192037827626577,-1.7430808111864973,-0.7927415599324844
82,31.0,-1.206379835462013,-1.7550915615685443,-0.8073916664196762
83,31.5,-1.2202449444393053,-1.7665097866009885,-0.8219145364988298
84,32.0,-1.233636211459468,-1.777353225239127,-0.8362974797271389
85,32.5,-1.2465570029933373,-1.7876391001194913,-0.8505277917294004
86,33.0,-1.2590109626673256,-1.7973840966246781,-0.8645928081407367
87,33.5,-1.2710019817263232,-1.8066043477263598,-0.878479956071563
88,34.0,-1.2825341721797947,-1.8153154240205966,-0.8921768029061687
89,34.5,-1.2936118424421892,-1.8235323284056277,-0.9056711022866877
90,35.0,-1.3042394752850117,-1.8312694948879427,-0.9189508371749815
91,35.5,-1.3128863229278844,-1.8394656414186061,-0.9310217634360093
92,36.0,-1.3227792532761236,-1.8460457861802553,-0.9459321987778417
93,36.5,-1.3322295076964688,-1.8521892427283566,-0.9573867442812521
94,37.0,-1.3412422046278956,-1.8579084833129045,-0.9696939753797065
95,37.5,-1.3498225724349537,-1.863215434263557,-0.9817312920535785
96,38.0,-1.3579759355343541,-1.8681214906877863,-0.995960409473748
97,38.5,-1.3657077019254928,-1.8726375326964524,-1.0098838071442728
98,39.0,-1.3730233520004826,-1.8767739428778905,-1.019625906188386
99,39.5,-1.3799284285169944,-1.8805406247667817,-1.030377382198464
100,40.0,-1.3864285276246402,-1.8839470220779702,-1.041571805083721
101,40.5,-1.3925292908429547,-1.887002138497897,-1.0543544255290933
102,41.0,-1.6646857636851546,-2.0741190437175314,-1.061840574694528
103,41.5,-1.6729984367042245,-2.2648250721028056,-1.0707684557486763
104,42.0,-1.6803895745401007,-2.459174316115393,-1.0814927853451146
105,42.5,-1.6847202511732124,-2.0863409999014975,-1.0858864421894325
106,43.0,-1.6886162894042993,-1.7058001126900884,-1.0956850470337258
107,43.5,-1.6903520434069543,-1.705781624672646,-1.0975409813631911
108,44.0,-1.6920877974096094,-1.7057631366552037,-1.1052588051232175
