,t,rollMed,perc25,perc75
0,-15.0,-0.25889251253627776,-0.8891647080600847,-0.24165690970323794
1,-14.5,-0.25889251253627776,-0.8506568491338358,-0.23520119484268348
2,-14.0,-0.25889251253627776,-0.8105240060701614,-0.22932290073077438
3,-13.5,-0.28726482297599976,-0.6000674475687908,-0.22234763375526698
4,-13.0,-0.3045186328904279,-0.41527633927512325,-0.21340149763246516
5,-12.5,-0.3045186328904279,-0.558405309886448,-0.20007731357134476
6,-12.0,-0.31563713341572175,-0.6551280936937434,-0.1939532913100726
7,-11.5,-0.30483900016398946,-0.7118203023652796,-0.18461647212713064
8,-11.0,-0.29404086691225717,-0.7303484667942182,-0.1755433955443948
9,-10.5,-0.28226776561262357,-0.6728482124687027,-0.17244945693722258
10,-10.0,-0.2644975301082698,-0.6097660854181575,-0.16437669119177967
11,-9.5,-0.23619376414995885,-0.5133304109869803,-0.1507925386105171
12,-9.0,-0.2190354958685683,-0.4335554788653263,-0.14051296343716935
13,-8.5,-0.2024940194178786,-0.37225486197649515,-0.12745119177100017
14,-8.0,-0.1793975418580342,-0.32630183137871294,-0.11363258621595884
15,-7.5,-0.1545121654638189,-0.2822408913271558,-0.09812779508512506
16,-7.0,-0.1286132059497591,-0.2330750229777161,-0.08108285851429553
17,-6.5,-0.10799370620657278,-0.19239406966070716,-0.0674796215292448
18,-6.0,-0.08468017050700061,-0.15290611733176074,-0.054796773011267896
19,-5.5,-0.06860637364338817,-0.12209784846820426,-0.042308079915514274
20,-5.0,-0.05726281584363413,-0.09890728113671077,-0.03441691554145887
21,-4.5,-0.04456598923057031,-0.07413744090672442,-0.027721216513263536
22,-4.0,-0.034440692330291345,-0.05738617279384739,-0.021302743609339425
23,-3.5,-0.027245060547173017,-0.04496094444024301,-0.014449333501836525
24,-3.0,-0.01981186610258412,-0.03397095221721713,-0.010006972866247965
25,-2.5,-0.014087333459419149,-0.025548560816492927,-0.005730204484577506
26,-2.0,-0.00764671109234083,-0.016658315314127314,-0.002531136513472365
27,-1.5,-0.0037097258794558385,-0.010379719774479768,-0.0007062121312346736
28,-1.0,-0.0017783334753306845,-0.0057394667270589395,-0.00019767423906535964
29,-0.5,-0.001153659457457934,-0.002902512619876063,-0.00020049703343388847
30,0.0,-0.001161323523088953,-0.002872328312605532,-0.0002033198278024173
31,0.5,-0.0015433624902156384,-0.0054249985526873545,-0.00021975454343167722
32,1.0,-0.0029420522551220074,-0.009603237610326332,-0.000695641204925157
33,1.5,-0.00596160872827417,-0.014178117578716648,-0.0019285310834791236
34,2.0,-0.010677983090199739,-0.01995271663224285,-0.005039351803300063
35,2.5,-0.016780355249029766,-0.029700676378970448,-0.00861538254062194
36,3.0,-0.022931823120732275,-0.04047723535656722,-0.012267442447657206
37,3.5,-0.030662223159399815,-0.05021448529205319,-0.017163534317841678
38,4.0,-0.041287206106060736,-0.06129229420324123,-0.022982877780292954
39,4.5,-0.05098894833909462,-0.07571689273316728,-0.03070617730877223
40,5.0,-0.06108819366187079,-0.09116592069025575,-0.040629021643659335
41,5.5,-0.0717976343412472,-0.10777722400039602,-0.049899799938383005
42,6.0,-0.083464010310359,-0.1249115803972507,-0.060028834534756825
43,6.5,-0.09581396683355692,-0.14359328996548415,-0.07009423424527317
44,7.0,-0.11027923789310279,-0.1630726235714408,-0.0797838564148653
45,7.5,-0.12607636812575773,-0.18533109334950004,-0.08913264955513162
46,8.0,-0.1419532628408593,-0.2106580814343486,-0.09981499431738794
47,8.5,-0.15667098251616096,-0.2370360810645269,-0.11016107660328595
