,t,rollMed,perc25,perc75
0,-15.0,-0.303786909895935,-0.9375123574013265,-0.11452378443991051
1,-14.5,-0.29421893203904154,-0.87540085676733,-0.11378596262446905
2,-14.0,-0.2846509541821481,-0.8153630398720655,-0.11304814080902759
3,-13.5,-0.275152794865461,-0.757439538546638,-0.11231031899358612
4,-13.0,-0.2562727490711212,-0.6841803557598226,-0.10951796941853331
5,-12.5,-0.2562727490711212,-0.5825503390219127,-0.10816132559455127
6,-12.0,-0.2562727490711212,-0.4808578734076413,-0.12355468777564707
7,-11.5,-0.3434046071642287,-0.47659485366417387,-0.13135895803220557
8,-11.0,-0.34231737970416454,-0.44817915089871385,-0.1435488413130433
9,-10.5,-0.3243171802735456,-0.41699493194473547,-0.13600422353902922
10,-10.0,-0.3161355792800862,-0.39557074709091067,-0.12845960576501514
11,-9.5,-0.29126784333770206,-0.37786365695001756,-0.11411377917739002
12,-9.0,-0.2648229683815183,-0.34706235931815865,-0.10054824827044534
13,-8.5,-0.23860427921586558,-0.32095350344296547,-0.09417123712494985
14,-8.0,-0.20961034955667057,-0.2902214566385925,-0.08484901633572668
15,-7.5,-0.17940553520500702,-0.26177242755159913,-0.0758773865561907
16,-7.0,-0.15237366723943824,-0.22180683643816673,-0.06793953707404052
17,-6.5,-0.13000521156434486,-0.1888097321576323,-0.06351744403390697
18,-6.0,-0.10903644767682286,-0.16350673337541752,-0.057177956916887346
19,-5.5,-0.08816593521545357,-0.1399697457381735,-0.05052929058868638
20,-5.0,-0.06952774474265538,-0.11686194926073501,-0.04035390484034185
21,-4.5,-0.055111225535912925,-0.09682918318988931,-0.030888003639647277
22,-4.0,-0.04118185090021598,-0.08116637395564286,-0.02499371075839063
23,-3.5,-0.030924286349774732,-0.06253215134426227,-0.01698213413267663
24,-3.0,-0.022743973525847005,-0.04775929066072937,-0.011643825205670838
25,-2.5,-0.016389950279273258,-0.036815365304530445,-0.0069167874760722725
26,-2.0,-0.009797694129600298,-0.023814734190276576,-0.0029280354663651365
27,-1.5,-0.005081836121218153,-0.014750005371816588,-0.0008884652587374531
28,-1.0,-0.0023331598510623053,-0.007206380902526899,-0.00028191202199423504
29,-0.5,-0.001709295527387411,-0.0048787819889514195,-0.00029596342381271734
30,0.0,-0.0016900104445163322,-0.004695874978999814,-0.00031001482563119964
31,0.5,-0.002046529247104717,-0.006594980309059292,-0.00031335614670746637
32,1.0,-0.0043738591285205075,-0.011456974905134532,-0.0006452075968049475
33,1.5,-0.007630008535832289,-0.017890415524218585,-0.0025137145262623395
34,2.0,-0.013909929013818711,-0.025915716291254998,-0.005793262786657483
35,2.5,-0.020671590066241308,-0.03581595579017183,-0.011360522235360437
36,3.0,-0.028480539743044708,-0.049634290931533376,-0.017599960827826666
37,3.5,-0.038644371113507936,-0.06292384470739398,-0.024779583140125738
38,4.0,-0.05055751904568084,-0.07653172605132708,-0.03330228817294578
39,4.5,-0.0623603359697531,-0.09364674581936061,-0.04207562918834498
40,5.0,-0.07366131994830738,-0.11177641177725972,-0.04983107644831694
41,5.5,-0.08547080916059091,-0.13034845700769027,-0.057509360305275065
42,6.0,-0.09743192518541477,-0.15190327130075687,-0.0680599976558458
43,6.5,-0.1127321325881816,-0.18332868380216727,-0.07946021729348719
44,7.0,-0.12933936216662542,-0.2125143632388995,-0.09204557378676581
45,7.5,-0.14870857708509577,-0.24204055966572646,-0.10645469048890521
