,t,rollMed,perc25,perc75
0,-0.5,-0.004169571535566519,-0.01722896104047794,-0.000367819746298792
1,0.0,-0.004169571535566519,-0.016150875089870453,-0.0005288057255562473
2,0.5,-0.00606628470184456,-0.01944521488664025,-0.0010083090041901888
3,1.0,-0.008773021099444334,-0.025140823186840022,-0.0014878122828241302
4,1.5,-0.018666958516347254,-0.046361922428591884,-0.0029806505580952936
5,2.0,-0.03437056417400547,-0.07752079118859789,-0.014642246575571949
6,2.5,-0.053831136198499885,-0.11139474632929619,-0.026123445547649615
7,3.0,-0.07711279489223644,-0.15408547497680075,-0.04251963068390088
8,3.5,-0.10429279200681102,-0.21105192154118385,-0.05969463750283424
9,4.0,-0.14218068438578502,-0.2639719100695674,-0.07957085885554321
10,4.5,-0.18362740091777152,-0.3164138777311656,-0.10201975804858107
11,5.0,-0.2207148629792307,-0.3704003454754152,-0.12689638299344924
12,5.5,-0.26025405256251954,-0.4474394126978984,-0.1494250040477748
13,6.0,-0.30205264357200406,-0.5164244240176998,-0.17433914573534748
14,6.5,-0.34591011002775207,-0.580123186563567,-0.20049926826395287
15,7.0,-0.39162019522769936,-0.643320913999744,-0.22767220334577992
16,7.5,-0.4389731757089444,-0.7323196690253084,-0.25999040769388937
17,8.0,-0.48775791784582756,-0.8073008684764977,-0.29464584799174354
18,8.5,-0.5377637285053967,-0.8780631922982389,-0.32435977693138107
19,9.0,-0.5887820040755158,-0.949223700434275,-0.3520830219086416
20,9.5,-0.640607684470329,-1.0204495288222888,-0.3812725301510843
21,10.0,-0.6930405204805976,-1.091428553032063,-0.41824656817181444
22,10.5,-0.7458861641449164,-1.1618698989929648,-0.4568106354395395
23,11.0,-0.7989570927382205,-1.231504190238022,-0.49593306653391106
24,11.5,-0.8520733775662491,-1.3000835658050298,-0.535458443431855
25,12.0,-0.9050633090724092,-1.3673815005232135,-0.575237726063073
26,12.5,-0.9577638898543872,-1.433192456941482,-0.6151287535835467
27,13.0,-1.0100212070939392,-1.4973313956781154,-0.6549966245142336
28,13.5,-1.0616906956611996,-1.5596331685360298,-0.694713969013024
29,14.0,-1.2130523133192614,-1.7558689253390245,-0.8084966502769623
30,14.5,-1.297464654256805,-1.966488826399683,-0.8888733543424846
31,15.0,-1.3795523890764032,-2.1896400725950755,-0.9679246600278341
32,15.5,-1.432521259973711,-2.227079887545335,-1.0340002786955862
33,16.0,-1.5090149906507175,-2.317516284044923,-1.1089555124161175
34,16.5,-1.5823161380003175,-2.401546621166103,-1.181136701278569
35,17.0,-1.6513317975111999,-2.477972742695212,-1.2498937875269243
36,17.5,-1.6952339778151857,-2.5345193762255454,-1.2876697703310018
37,18.0,-1.7372727218502513,-2.5866931798515562,-1.3242420475371808
38,18.5,-1.7774047284851298,-2.6345174018116717,-1.359568502617575
39,19.0,-1.8155952562380224,-2.6780337230365125,-1.3936130236208513
