db,TPM,LS,CI
agnddf_v1.5_10yrs,0.7937996901083545,0.00013512283079209164,2.563237300255377e-06
alt_dust_v1.5_10yrs,0.7969101818304821,0.00016505071458822846,2.435345273174528e-06
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.7250700275850603,0.00015853906745182575,2.4163340830161306e-06
baseline_2snaps_v1.5_10yrs,0.8039584537087262,0.00014406912195138116,2.380803638557066e-06
baseline_samefilt_v1.5_10yrs,0.8332416341501195,0.00014366144321458212,2.753091120285273e-06
baseline_v1.5_10yrs,0.7920202026507029,0.0001430651391024728,2.555476362577168e-06
bulges_bs_v1.5_10yrs,0.6335605699270679,0.00014810735473563027,2.3220700417315428e-06
bulges_bulge_wfd_v1.5_10yrs,0.6214861667031061,0.00014588241232959344,2.288989097953344e-06
bulges_cadence_bs_v1.5_10yrs,0.6256162041441858,0.00014608433228207086,2.3222436755718867e-06
bulges_cadence_bulge_wfd_v1.5_10yrs,0.6303339777367304,0.00014919738774252862,2.2887151101048646e-06
bulges_cadence_i_heavy_v1.5_10yrs,0.6874740739461718,0.00014844354784421482,2.2893209699138613e-06
bulges_i_heavy_v1.5_10yrs,0.6791693923934994,0.00014913948344341189,2.295591239403648e-06
daily_ddf_v1.5_10yrs,0.8227341556017906,0.00014342247832603013,2.4984358827205726e-06
dcr_nham1_ug_v1.5_10yrs,0.5882431862709527,0.00013834196644177423,2.62967508629914e-06
dcr_nham1_ugr_v1.5_10yrs,0.6692868438605029,0.00014103176287966063,2.6244509922113535e-06
dcr_nham1_ugri_v1.5_10yrs,0.643609925482183,0.00014282494607720418,2.606855977190868e-06
dcr_nham2_ug_v1.5_10yrs,0.6917618827893581,0.00013801316461362957,2.6722985771345123e-06
dcr_nham2_ugr_v1.5_10yrs,0.7539983600864711,0.00014741566331959166,2.695155857437445e-06
dcr_nham2_ugri_v1.5_10yrs,0.7162492884731337,0.0001523698585575824,2.644187964141468e-06
descddf_v1.5_10yrs,0.7997690139115256,0.00014190987154504497,2.571253434904599e-06
filterdist_indx1_v1.5_10yrs,0.8294588071936182,0.0001178688329314104,2.697695355109508e-06
filterdist_indx2_v1.5_10yrs,0.8841429837600655,0.00012945739621129202,2.7286565243012325e-06
filterdist_indx3_v1.5_10yrs,0.9332719131958448,0.00010657222861910495,2.5593902670268128e-06
filterdist_indx4_v1.5_10yrs,0.926815033895133,0.0001305273117450599,2.910436380001009e-06
filterdist_indx5_v1.5_10yrs,0.8816991107222912,0.00013540173883620278,2.361609279002535e-06
filterdist_indx6_v1.5_10yrs,0.9494747450680386,0.0001407239204871634,2.815460430154709e-06
filterdist_indx7_v1.5_10yrs,0.9253127408268409,0.00012267693139086765,2.6867913073863493e-06
filterdist_indx8_v1.5_10yrs,0.9127876565819371,0.00013499148398696603,2.5818496225951438e-06
